,弹幕
1,在收音机里听的那种，收音机没有屏幕！所以这个没有画面！
2,哈克：但是我们自己也制造电脑外围设备，就在我自己的选区啊
3,哈克： 这个合同必须被阻止
4,汉弗莱：我们被告知..
5,弗兰克：是匹兹堡制造公司生产的
6,汉佛莱：你能保守秘密吗?    伯纳：当然了
7,汉佛莱：看看我们以往的那些大臣
8,汉佛莱：你不能只是让人得其所愿
9,汉佛莱：知识代表着阴谋和罪行，无知倒有一定的尊严
10,伯纳：如果你能过一下大臣的演讲稿我就可以把它给议会了
11,哈克：我还以为需要不停的说服你们呢
12,汉弗莱：和一个需要你通过的白皮书
13,汉弗莱：请看看这些提议 大臣
14,安妮：不是 我知道我什么意思
15,哈克：抱歉 我可不敢离开电话
16,汉佛莱：你能保守秘密吗? 伯纳德：当然了
17,伯纳德:那你有什么建议呢?
18,哈克：让我们充分相信国家
19,伯纳德：清除掉? 汉佛莱：我想您是说重新部署他们?
20,哈克：不过我们必须清除给彼此制造工作的人了
21,汉佛莱：知识代表着阴谋和罪行无知倒有一定的尊严
22,乐活我了
23,伯纳：我还是更愿意叫你大臣 大臣
24,伯纳：我想如果对于您来说都是一样的话
25,哈克：安妮 他是我的顾问
26,安妮：他就一定会再给你打的 或者你可以给他打
27,安妮：我找不到安定片 所以我才找烟
28,安妮：我找不到安定片 所以我才找烟
29,哈克：安妮 他是我的政治顾问
30,安妮：我只是个不准闹情绪的政治家的妻子
31,哈克：是的，不过关键是哪一个大臣
32,安妮：感觉就像你要做大臣一样
33,哈克：我在等一个重要的电话 是的 再见
34,安妮：刚才是谁打来的？
35,哈克：那随时都会打来了
36,安妮：你等什么呢？
37,哈克：我们的新首相 你以为是谁？
38,旁白：所以在当了这么多年的影子大臣后 吉姆哈克又回来了
39,阿诺德：这个短语本来就互相矛盾（指Minister‘s poilcy）
40,汉佛莱：他把整个日程都吞下了，我想他上周废寝忘食完成了档案盒？
41,汉佛莱：足够缩短一个前途美好的大臣的职业生涯了？
42,汉佛莱：所以这对首相来说就应该算个羞耻了
43,阿诺德：是的现在新首相可以赢得声望了
44,汉佛莱：没问题，所有适当的文件
45,汉弗莱：我相信我们在沃森街道（发配边疆的属于是）还有些空的办公室
46,伯纳：对不起，我们正在跟大臣开私人会议
47,伯纳：然后你的司机会在尤斯登接你
48,伯纳：你要在新街坐7点45分的火车，大臣
49,汉佛莱：这听起来很刺耳，不过有些档案盒带着未完成的工作回来了
50,伯纳：我去拿你的档案盒，大臣
51,伯纳：星期三十一点开始国家雇主工会的会议
52,伯纳：接下来会是很繁忙的一周，大臣
53,哈克：你甚至不知道谁会赢得选举
54,汉佛莱：引自“哈克先生：首相是否知道计划所花的程序”
55,汉佛莱：人们对公务员的却是有一些有趣的看法
56,汉佛莱：我们已经为重组做好准备了
57,哈克：你是说？...  汉佛莱：一切都处理好了~大臣
58,汉佛莱：和一个需要你通过的白皮书，
59,汉佛莱：然后在“观察者”和每日邮报和你宣言所说的那样
60,（汉佛莱和伯纳看着哈克，哈克反应过来自己现在就是“坐在桌子后面”的人）
61,伯纳：辞职小技巧1：人们的确说有两种大臣就有两种对应的椅子
62,哈克:我想要个 新椅子
63,伯纳：家具，装饰品，办公惯例悉听尊便
64,哈克：看起来，这个部门
65,哈克：好了，该谈正事了
66,汉佛莱：长难句3：而他是常任秘书的首席私人秘书
67,哈克：还有谁在这个部门
68,汉佛莱：我很高兴你能这样想，大臣
69,哈克：不管怎样你回答了我所有问题
70,汉弗莱：你问了我所有我不希望任何人问的问题
71,伯纳:我相信你们认识对方
72,伯纳：请不要客气 为您的健康，大臣
73,哈克：（转身弗兰克已经不见了）
74,伯纳：现在是去你的办公室
75,伯纳：谢谢，大臣您真仁慈
76,伯纳：如果你想的话....
77,旁白：行政事务部的大臣位置给了吉姆哈克
78,哈克：是的，我会做下一班火车
79,哈克：是的，当然了，是的，我....
80,哈克：您好，是，首相
81,哈克：给我电话！！
82,安妮：哦~恭喜您，首相，我是安妮
83,安妮：您好...我是哈克夫人
84,安妮：我试着告诉你了
85,哈克：哦，我知道了...是BBC的PM（黄金时间）办公室啊
86,哈克：应该是PM（首相）决定的，你是PM办公室的...？
87,电话：什么？ 哈克：这不是我决定的事啊
88,哈克：这不是我能决定的不是吗？应该是你告诉我
89,电话：告诉我你觉得你会获得什么职位
90,哈克：请您再说一遍？
91,电话：你认为你会获得什么职位？
92,电话：我们可以采访你吗？哈克：是的我一直在等您的电话
93,哈克：是的什么时间都可以
94,哈克：这里是吉姆哈克  电话：你今天下午有空吗
95,哈克：PM ?!!!
96,安妮：PM?
97,电话：在今天接受我们pm（Primetime与首相缩写pm一样）的采访
98,电话：不知道哈克先生是否愿意
99,哈克：你接吧亲爱的
100,哈克：因为首相打不进我的电话
101,哈克：一点也不奇怪，我的事业开始走下坡路
