,弹幕
1,这个理想主义是他上司们愿意指导他的原因之一
2,记住这个苏格兰事务部，哈哈哈哈哈哈哈哈哈哈哈哈
3,看了首相回头看大臣真的都好年轻
4,讲道理为了这个摸鱼看也情有可原（
5,刚刚那个眼神应该是察觉到了
6,但他每天一个辞职小技巧摆烂哈哈哈哈哈
7,其实只有最下面箱子最下面一本是有用的，后面哈克见多了也知道了
8,也就是说你做决定，但是你做出决定的项目由别人来选
9,以后请先上图
10,杀手本能开始形成
11,开始了长难句之旅
12,翻译一下：撤了也无所谓（）
13,简直像拿捏一个三岁孩子
14,校长与给他写稿的主任？
15,这部剧里的女性都极有魅力
16,看似是哈克的成长历程，实际上也是伯纳德的成长历程
17,小天使：你看看你在说什么鬼话
18,看完三季回头看梦开始的地方，真感慨啊
19,夫人总能在关键时刻拉哈克一把，奇女子
20,铁三角doge
21,半部英剧治天下（doge）
22,“你这是什么意思”
23,老狐狸小狐狸一起挤兑哈克
24,伯纳德其实才是boss，汉妃有点太想展现自己了，伯纳德和阿诺德最像
25,这里哈克是指他要看阿斯顿维拉主场对阵利物浦的比赛
26,伯纳居然被说很天真？伯纳的黑是从头贯穿到尾的
27,hsl汉弗莱的钱都花到买衣服上了吧
28,因为他真的懂农业
29,人类非物质文化遗产！！！
30,哈克虽然不算聪明，但是他突发奇想的能力点满了啊，不理解的往后看就明白了
31,我们有灵活的处理方式
32,因为他真的懂农业！
33,这个背景音乐是我们学校的起床号，我现在一听见这个声音就头疼
34,你觉得我把所有都说出来了令我开心
35,川：我怀疑你在内涵我
36,根据是大臣的后记，这剧就是伯纳德的回忆录
37,哈哈哈哈哈哈长难句分析来一波
38,老子直呼内行
39,世界非物质文化遗产
40,然而可笑的是不论再怎么敢拍敢播放，过了30年句里很多情况在现今欧美政治机关坛依然可以对号入座，说明什么都没变
41,好爱老婆啊 桌上放着安妮的照片
42,夫人回答简单得体 镇定自若 厉害
43,汉弗莱从来不和长官明着对立
44,每天一个辞职小技巧
45,这要是英语听力，我已经跪了
46,一个真正在干活的老吏都会有提前准备的作风，否则会被新官搞疯
47,就算有这层外衣依然让人看的毛骨悚然
48,就算有这种原因依然让人看到毛骨悚然
49,这边经典的我想玩游戏，那边好的大臣，这是c++从入门到入土，后面还有一系列书籍
50,上帝界的拿破仑
51,好家伙，秘书这个词我都快不认识了
52,政客和公务员有本质的区别
53,这是最好的年轻人（确信）
54,论语直呼内行
55,首相界的拿破仑
56,后面在是首相里哈克说“你从来不回答我的任何问题”
57,全文背诵
58,马丁——消失的另一个人
59,我们看剧就是愣头青，他提出我们想知道的事情
60,剑桥=间谍之桥
61,维系平衡=每天辞职小技巧
62,全体起立给汉妃行礼
63,这就跟我们以前的师爷体系一样，师爷一定要用绍兴的
64,川宝：？？？什么？？？下克上？？？
65,首相给你的，首相也能收回去
66,这里是汉弗莱给他下的套子，让他自己决定要看红盒子
67,哈克开始给自己挖坑了
68,汉弗莱，这身西装太帅了
69,其实整部剧都是汉妃运筹帷幄
70,那真是悲伤的故事
71,朋友们学学这办事效率
72,说明他早就知道是谁来当部长了.
73,撒切尔还是女王养的猫貌似就是剧里的名字
74,这里边当公务员的基本都是剑桥牛津的，伯纳德两所都上过，一个本科一个硕士
75,我很高兴你这样想哈哈哈哈
76,这其实是在给观众上课
77, 汉弗莱知道做人留一线啊
78,是不是语气变了真的好温柔啊
79,而这又与完全统治的庞大人口需求相冲突
80,流水的大臣，铁打的文官
81,天真的哈克此时还没有意识到事情的严重性
82,惊喜地盘子都摔了
83,半部大臣治英国，班部首相治天下
84,伯纳德的职位，则可以翻译成秘书
85,这一握手就是五季
86,伯纳德：每句一个辞职小技巧
87,23333
88,哈哈哈哈哈哈哈哈哈
89,梦开始的地方
90,白宫练习生
91,哈哈哈
92,救命，有字幕我都跟不上！
93,哈哈哈
94,政客动机也不单纯的
95,哈克很聪明
96,君要臣死臣不得不死
97,第一天就下马威
98,这个真的可以理解，哪怕过了40年看还是精彩
99,哈克要哭了
100,选择由你来做，但是选项由我决定
101,论说好话的艺术
102,灵活一点
103,hhhhh
104,这种电视剧年轻受众少了
105,主角演员有点像汤姆汉克斯
106,笑死
107,阿德纳才是最牛逼的呀
108,小天使伯纳德和汉妃
109,哈克：killer instinct！
110,如果他们不知道你在做什么，那他们就不知道你做错了什么
111,两办的我表示太赞同了
112,察觉到了
113,哈克是lse的三等学位
114,上台就是绑架，生活本就是绑架
115,有人才有实力
116,阿诺德牛津的，他退休的时候想要牛津的荣誉校长，剑桥毕业的不可能去牛津
117,这是真的谁去谁都晕。。。。
118,哈哈哈哈
119,共轭父子
120,哈克杀手本能
121,哈克的眼睛让人毛骨悚然
122,这部剧里的每一个演员的演技都太棒了
123,纸牌屋其实内核还是爽剧
124,翻译绝了
125,论英美的共轭父子关系
126,因为他真的懂农业
127,笑死我了
128,妥协的第一步
129,雷霆雨露俱是天恩 比君恩更适合
130,显示器？一万英镑一台？
131,朱元璋直呼内行
132,BGM让我以为我游戏没关
133,这个录音机再也没有出现过
134,哈哈哈哈哈哈哈哈哈哈
135,雷霆雨露，皆是君恩。
136,《更灵活》
137,这些问题太复杂，剧处理得比较简单化
138,这段翻译不太好
139,这能力，太厉害了
140,掌握一个大臣总比换一个好吧
141,还能翘班看电视，看来确实没怎么在工作（doge
142,这就是专业
143,原来是这样
144,这个剧情好熟悉啊
145,伯纳德就是观众的映射啊，负责提问题
146,汉妃——（破音）
147,这个哈克如果这个时候在坚持自己，也就从政客变成了政治家
148,网络安全大臣不会电脑
149,才反应过来是波莱罗
150,精通辞职小技巧
151,哈哈哈
152,好家伙
153,谢谢你，肖斯塔科维奇
154,老带新，剑桥代代相传
155,650个选区，好家伙
156,发现一个更新完的合集 开心开心
157,成也萧何，败也萧何
158,每天从伯明翰出发到伦敦上班？
159,他的夫人真的蛮厉害！
160,Euston
161,但是哈克是大臣，毫无办法
162,。。。。。。。。。。。。。。。。。。。。。。。。。。。
163,这坑挖的
164,不当家不知柴米贵
165,故意的  
166,屠龙术
167,这一段很真实
168,小丑竟是我自己
169,这就和星际穿越里不敢公开的NASA一样，饭都吃不饱还搞航天
170,我已经头晕了
171,哈哈哈哈NewStreet
172,灵活
173,打字的在最上面哈哈哈
174,剩下半部是YPM
175,但是一般人不会容忍
176,虽然目的是让他什么都不干，但汉妃的效率确实高的离谱，什么计划书，都是哈克说完他直接就要帝国来了
177,博纳本科牛津硕士剑桥，有一集他拿回母带的时候提到过
178,看很多遍都不腻
179,弗兰克·埃瑟尔，代号“雪貂”
180,抽象工厂模式的别走
181,就像在上世纪70年代，肯定有人会说造核武有什么用
182,可以练英语听力了
183,抽象工厂类模式
184,字幕组也是神了
185,又不是他一个人做的，他下属几万人呢
186,妈耶，好复杂
187,红箱是从下面开的
188,梦开始的地方
189,哇
190,首相练习生
191,专业
192,ignorant is power
193,被汉弗莱安排的明明白白
194,常务次长是主抓业务的
195,超爱是大臣，但是最近网上找不到看了
196,这时候还很年轻啊
