,弹幕
1,和120位小伙伴一起学习。
2,梦开始的地方
3,康师傅凉了
4,尊敬的康师傅
5,梦开始的地方
6,第一次学，学完回来还愿
7,梦开始的地方
8,梦开始的地方
9,梦开始启航
10,梦开始的地方​
11,建议从第三十一节课开始
12,建议从第三十一节课开始
13,每天一次[星星眼]​
14,自学四个月，顺利找到工作，特地回来感谢
15,自学四个月，顺利找到工作，特地回来感谢
16,感谢康师傅
17,梦开始的地方
18,工作三年的土木老哥开始转行
19,第一集永远是最多人的
20,肝起来[呲牙]​
21,熟悉的ppt配色
22,永远相信自己​
23,真噩梦开始的地方
24,梦开始的地方
25,学到了[呲牙]​
26,康师傅！！！
27,感谢宋老师
28,努力总会有结果​
29,感谢康师傅！
30,梦开始的地方
31,地震了也不忘打卡
32,奋斗学习[doge]​
33,梦开始的地方
34,感谢宋老师
35,梦开始的地方！
36,爱康师傅
37,细节拉满了
38,白嫖走起[doge]​
39,梦开始的地方
40,来套康师傅
41,来套康师傅
42,坚持开始[呲牙]​
43,努力奋斗的方向​
44,让天下没有难学的技术
45,宋老师太细了
46,老师基本稳稳的
47,你好康师傅
48,康康[星星眼]​
49,挑战高薪，冲击大厂！
50,米鱼摸鱼看视频
51,相信自己[加油]​
52,来套康师傅
53,努力奋斗[呲牙]​
54,梦开始的地方
55,来套康师傅
56,猛击鼠标
57,给自己加油鼓劲[呲牙]​
58,梦开始的地方
59,嘿，好家伙，好一个好家伙
60,和126位小伙伴一起学习。
61,大家好，，看到的给我个信呗！
62,java
63,学完头发肯定没了
64,157人可还行
65,康师傅亲传弟子在此
66,好使不？好使
67,工作搞定，谢谢康老师
68,梦开始了
69,收藏从未停止
70,153人在卷？
71,梦开始的地方
72,开始学习
73,今年准备学完整个900个小时，打卡
74,新年快乐啊60位同学们
75,NullPoint学Java
76,记录第一天
77,康师傅
78,再来一遍
79,开始的地方​
80,好家伙
81,喜欢简单直接的视频
82,尚硅谷做的太好了，康师傅讲的很细
83,滴滴打卡[呲牙]​
84,绘图
85,不错
86,扎娃开始
87,猛男打击
88,第一天√
89,这里面没有工具
90,股海护航
91,开心
92,赞！！！
93,让天下没有难学的技术
94,滴，学霸卡
95,滴滴滴学生卡
96,学习开始
97,继续学习！加油
98,来复习一遍
99,签到签到，坚持学习
100,收藏等于看完？
101,从入门到精通
102,梦开始的地方
103,华东交大回电话
104,打卡，打工人
105,记录第一天学习
106,矜持矜持哈哈哈
107,学习，走起！
108,梦开始的地方
109,非常适合初学
110,明哥，职场老油条了
111,哈哈哈哈哈哈哈
112,明哥职场老油条了
113,优秀的老师
114,循序渐进
115,签到签到[呲牙]​
116,每日坚持
117,签到打卡[呲牙]​
118,康师傅，我男神！
119,优秀得很啊
