,弹幕
1,势在必得的改名
2,工作后回来重新学习
3,大佬的学习方法PICK！
4,再来一遍看还是很好的
5,有人知道这个大佬是谁吗？
6,《模式识别与机器学习》（Pattern Recognition and Machine Learning）
7,淮北师范计算机辅导员田春雨报道
8,还有一个比较好的视频就是这个白板推导(手动狗头.jpg)
9,主讲是清华的大佬
10,李老师的课程比较生动形象
11,哈哈哈哈哈，改名叫志华
12,业内人士感觉的最强大佬，比那些教授强，应该是一线干过的大佬
13,《基本》
14,《简单讲一下》
15,西瓜书算简单的了，还难啃
16,白板推导系列
17,李老师超级可爱
18,《基本》
19,好喜欢up讲课的节奏，娓娓道来
20,这怕不是个神仙，我来学一学
21,李航 第二版已经扩充了一篇无监督学习了
22,白嫖失败，大佬太牛了
23,这个字好可爱我好喜欢！
24,出现了！！大佬！！！
25,传说中的“花书”
26,清华大佬起飞
27,给大佬递烟
28,其它感觉比西瓜书还难
29,这个一百多p只能投两个币就很亏
30,太原理工本科报道（卑微）
31,给大佬煮泡面
32,喜欢这种方式学习
33,太经典了，李航老师这本
34,大佬，能提炼成诗句
35,k近邻法：kd树
36,清华大佬带我飞
37,‘esl是你的最后一本机器学习教材’
38,这就是我跟大佬的区别
39,建议买其中的一本，对照着其他的电子书看
40,听大佬讲课简直就是一种享受
41,我要这三连有何用，直接给老师点赞
42,出现了！宝可梦训练家！
43,最终宝可梦大师还是来了
44,手推过SVM，感觉忘记了，看着笔记还是记得起来一下
45,大佬一月一本书，我一年一本
46,这才是大佬
47,可以把这个视频加进去了
48,命名实体识别
49,宝可梦训练带师
50,超喜欢这个老师哈哈哈
51,每门课都收集了
52,梦开始的地方
53,大佬，请收下我的膝盖
54,喜欢这种平平无奇推公式的大佬
55,只有西瓜书和花书
56,一个西瓜讲完机器学习
57,感知器 K-mean 朴素贝叶斯 决策树 逻辑回归 支持向量机 提升 EM
58,准备改名达志华
59,感觉这是一个很有质量的视频集
60,MD，先定个小目标，一个月把这些看完
61,如果有准备一下语言
62,这里提醒一下，好书不一定好入门，不要盲目都买
63,记忆力真好
64,EM：一个迭代算法而已
65,逻辑回归也可翻译成对数几率回归
66,给大佬一杯卡布奇诺
67,好好学习，天天向上
68,深度学习里面最懂宝可梦的
69,收集宝可梦的大师
70,有幸听过徐老师的当堂讲座，非常有激情
71,现在改名叫志华还来得及吗
72,认真学了肯定记得住
73,林轩田老师讲的确实很好
74,给大佬递烟
75,这是真的把每本书都记得清清楚楚
76,为了学习机器学习，改名叫志华
77,大佬的记忆力为什么这么好
78,李航的书-深度学习花书正在看
79,上节剩的那点内容呢
80,不过大多数了解的人平时说“逻辑回归”更像是一个代号
81,和logic转化来的logistic是两码事，所以翻译成“逻辑回归”确实不恰当
82,logistic regression最初叫Logit regression
83,太感谢up主了，分享型学习
84,我叫志志华华
85,梁启超路过
86,极大似然派呢
87,MIT在读研究生报道
88, 李飞飞
89,监督学习是12章
90,这个也是大佬 
91,徐志华在此
92,徐志华在此
93,简单学习一下
94,曾志华
95,宝可梦老师
96,不，是你的益达
97,字太小了
98,是KNN
99,prlm是贝叶斯学派吧
100,大佬我跪了
101,大二
102,所以西瓜书是入门书吗？
103,文科生路过
104,根本看不完
105,这个偏数学
106,乱码诗
107,幼儿园前来报到
108,先赞后看养成习惯
109,《大概》
110,我们学校用的esl… 关键我们不是统计专业的……
111,ESL有没有中译版？
112,新手建议不要推导公式，否则当天劝退！
113,立志振兴中华
114,娓娓道来
115,40个大佬在观看…
116,范德华
117,李志华路过
118,buaa+1
119,不做介绍=都是不行
120,三连
121,老师太强了吧
122,感动哭了
123,CS229很不错
124,感觉很像我期末给同学讲电气的专业课，区别是电气一会儿就讲完了
125,esl看哭了
126,我叫小华
127,王志华在此
128,赵志华再次
129,buaa前来报到
130,-1
131,你们的李宏毅终于来了
132,是你的亦达
133,博士，，硕士报道，，我一个大三的瑟瑟发抖
134,路过打卡
135,啊啊啊啊啊啊啊啊啊a
136,我为什么要学这个专业
137,不是您谢谢我们啊，是我们要谢谢您！
138,河北工业大学前来报到
139,cs231n
140,李宏毅讲得相对浅了
141,哔大路过
142,好多老师叫志华
143,李宏毅yyds
144,南阳理工本科生报道
145,愣什么，截屏啊
146,贝叶斯yyds
147,李宏毅称林轩田为田神
148,台上十分钟，台下十年功
149,宝可梦老师
150,是你的益达
151,我也定个目标一个月看完
152,我推荐b站小白板
153,适合入门吗
154,大佬致敬
155,吴恩达
156,提升算法
157,新版22章，要死
158,svm真的很好
159,准备边吃午饭边看
160,听不懂怎么办
161,弓虽
162,有无东秦学子出来互动
163,开始机器学习的课程，加油加油！
164,2020报道，更新了2018的课
165,真是前沿
166,喜欢李宏毅
167,手持西瓜书
168,MIT前来学习！
169,推荐书要不要这么硬核
170,太硬核了
171,确实，西瓜书极其粗略，不知道为什么老师拿它当教材
172,kNN
173,对数几率回归
174,争这个没用，大家也不会改口，知道在说什么就行了
175,膜拜大佬有才
176,还有李宏毅吧
177,刚看完，最后一集5个人，第1集54人观看，1/11坚持到最后
178,李宏毅老师真的挺好玩的
179,梁志华路过
180,同感，没有一本书一个视频能讲全了
181,李宏毅也挺好的
182,吴恩达
183,李宏毅
184,提是啥提是啥
185,提是啥
186,水箭龟传奇
187,真神书
188,对大佬来说确实就是一点
189,梅志华路过
190,B站上就有啊
191,李宏毅讲的主要都是深度学习方面的
192,现在出第二版了
193,幼儿园路过
194,数学系表示证明什么的太常见了
195,第二版一共22章
196,大毅博士
197,台大李宏毅机器学习强烈推荐
198,大家好，我是达志华
199,白嫖开始
200,大家好，我叫陈志华
201,志华就是为机器学习而生的。
202,花书
203,吴孟达？
204,器少写了一点
205,大佬看得我一年够呛能看完
206,张志华老师表达能力有点。。。。
207,超级推荐CS231N！！
208,我改名了，叫志华
209,个人更喜欢CS231N
210,没有李宏毅嘛..
211,大家好，我叫李志华
212,PRML是真的神书，完全看不懂
213,新版加入了无监督学习
214,平平无奇推公式？
215,第二遍的牛逼了阿
216,研0
217,马上研一
218,撞衫了
219,定个小目标，1个月把这个看完
220,我就是 大1
221,我叫尚志华
222,加油
223,强推李宏毅老师
224,完全听不懂，是不是要先去看书？
225,西瓜书太难了
226,我摸索半年的东西，大佬讲全了，早看早入门
227,2018都有了
228,书买都买了，看都没看
229,改名志华达吧
230,失业中年
231,b站就有
232,超喜欢这俩
233,研0
234,复旦博士 报道
235,b站有2018的cs229
236,K紧邻
237,对数几率回归更准确
238,买了西瓜书太难了
239,没写PGM啊
240,这个是真的难
241,每门课只能看懂绪论
242,西瓜书
243,在下高中生
244,漏了一个，shuhuai008的白板
245,隐马尔科夫
246,大家都是本科吗
247,好诗好诗
248,李宏毅
249,+深度学习，可以看李宏毅老师的
250,正在看
251,bilibili就有
252,可以加入白板推导
253,我决定以后叫志华了，，，
254,确实  第二版22章
255,CS231N也八错
256,knn
257,看完了就忘了咋办
258,真要基础，推荐吴恩达
259,到后面看你们还有没有时间杠，哼
260,白板推导系统也是必看
261,白平衡一直在跳
262,没有基础的看不懂了....（只学过初等概率论和数理统计
263,David的书怎样
264,这节课超难，上学期midterm平均三十多
265,knn
266,膜拜大神
267,推过会忘
268,我有个同学就叫李航。。
269,大佬是干啥的
270,生物统计加一
271,太全面了 赞啊
272,花书
273,为啥这个视频这么卡
274,不是，是K近邻
275,这是年轻的马老师吗
276,k是kmeans嘛？
277,看了n遍了还是记不住
278,是花书嘛
279,快一点了，还有这么多人，我惊了
280,安利李宏毅，看视频看的挺开心的
281,老二次元
282,好棒
283,好棒
284,李宏毅的pokemon
285,医学生来报道
286,停，好好学习
287,西瓜书好评
288,完全不知道是什么
289,第二版又加了10章无监督学习...
290,多么朴素的口诀
291,看不完。。太多了
292,宝可梦大师
293,徐亦达
294,不知道后面还剩多少？
295,谢谢
296,膜拜大神
297,都看过，你咋这么牛掰啊
298,谢谢
299,逻辑回归是常见翻译好吧
300,刚看了徐老师的课哈哈
301,强烈安利李宏毅
302,我要当大佬
303,给李老师排面
304,都推过，也实现过一批，可惜过了一年忘了一半多。
305,妈呀
306,0
307,前面那个说逻辑回归翻译的真逗……
308,求积分的意义不太明白
309,逻辑斯谛和逻辑有啥区别？？？
310,这口诀...厉害了
311,直译逻辑回归好像不太准确，应该是逻辑斯蒂回归或者logistics regression？
312,花书
313,数量经济前来报道
314,要倍速看了
315,太强了，学习一下。
316,山大本科生报到
317,花书 西瓜书
318,支持向量机
319,简单讲一下
320,西瓜书
321,好帅
322,西瓜书不适合入门
323,哈哈哈哈哈
324,蝙蝠侠前来报到
325,西瓜书
326,生物信息
327,张志华周志华
328,花书
329,西瓜书课太难啃了
330,请收下我的膝盖
331,这个涉及python吗
332,花书
333,膜拜大佬！
334,快一点了，还有这么多人，我惊了
335,wly太好学了
336,大佬牛逼
337,现在第二版有22章了
338,黎平城关一小报道
339,武大本科生报道
340,厦大博士报道。。。又回来看了。。
341,口诀乐了
342,保熟吗？
343,牛人
344,南理工硕士报到
345,大概，就
346,东秦研究生
347,ESL比较难，不推荐新手看
348,西瓜书太难+1
349,万恶的西瓜书
350,北理工博士报道
351,要是有字幕就更好了
352,花花书
353,清华校长报道
354,那就是机器学习
355,武大小老弟报到
356,围观
357,连
358,南瓜书也出来了
359,37个小伙伴
360,大佬来了
361,好好学习！
