,弹幕
1,手机端2倍速度，然后按住屏幕可以2.5倍
2,前端还有threejs那些，太多了
3,worker不就多线程了
4,自己写完还行
5,这个是最清晰的教学视频了吧
6,1.5 备模式
7,绝赞小知识！！
8,开心只是暂时的
9,0.5倍，很惬意
10,0.5倍速，很醒脑
11,java后端路过，这能忍？
12,请详细说一下这三点
13,我乃神眼
14,jsj潜力很大啊
15,b站四位老师：超哥、pink、coderwhy和老陈，都是大神
16,老师你超速了啊啊啊啊
17,死亡强迫症，就放c盘，让他卡死换新电脑
18,带颜色的语句
19,手摸手教学
20,体验极佳，原来是这样
21,Middleware 中间件
22,上着课呢，我也以为外放了。
23,事件驱动  异步非阻塞  高效轻量
24,学完了vue感觉得过来把node学了才能更近一步
25,血脉压制
26,声音太3d了....时常感觉自己在外放
27,挺喜欢这种教学的，又能加速
28,node不是语言啊，是node这个环境使得js成为全栈似语言
29,vue 是 数据驱动
30,事件驱动  异步非阻塞   轻量和高效
31,这清晰度爱了
32,说的是node使得js变成全栈语言吧
33,血脉压制
34,PHP也要自己渲染html模板
35,不是说不是一门语言吗？
36,灵魂画手，笔笔入魂
37,不是语言，是全站语言？？？
38,2020-11-06
39,过于真实
40,面试官：展开说一下这三点
41,那真的是太可怕了
42,黑马程序员的那个因为语速开了两倍速都嫌慢我放弃了，来看这个老师的
43,把这个原理也讲了，是很详细啦
44,老师是尚学堂机构的的讲师，35了
45,从vue，ajax，node
46,又找到个详细的教程
47,是金子总会发光的
48,终究还是太年轻了
49,馋食
50,mvc视图层
51,node内部有个线程池叫libuv处理异步
52,2倍正常速度
53,注意 是太累了 而我第一反应是 写不出来啊
54,视频时间太长是因为一边写bug一边改
55,先是无所不能的利器，然后是无法代替的神器
56,过于真实
57,这是一种颜色的语句
58,老师有故事啊
59,药水哥上线了
60,哈哈哈哈，过于真实
61,1.5倍刚好，2倍更快乐
62,开始新的课程啦，加油
63,药酱上线了
64,有一种学校上课的感觉
65,换工作来学node
66,16.13.1的稳定版
67,111
68,正片开始
69,今天星期三
70,我蔡必卷今天许愿一定要学会node.js
71,2021 12
72,1910年，大清快亡了
73,16.13.1
74,现在是16了
75,好困啊
76,已经16了
77,没点怎么办
78,我知道
79,同学完vue来学node
80,2021-8-30
81,什么时候的视频呀
82,3
83,抓哇
84,2020
85,我知道
86,22了
87,中端
88,后端不用弄得？
89,keyL刘聪
90,CCTV
91,这个清晰度
92,全局吧那个是
93,-
94,2倍速刚刚好
95,方源别学了，学不会的!
96,平壤如果
97,搜得丝内
98,搜嘎
99,有人在看吗10号下午三点
100,直接下一章刚好
101,抓哇
102,10倍刚好
103,20年初录制的吧
104,包租公冲冲冲！
105,轻量高效
106,事件驱动
107,难啊
108,哈哈
109,deno吗
110,来自 2050 年的一条信息
111,哪年录制的？
112,现在有没有人再继续看呢？
113,1.5 倍速
114,1.5 倍数 就可以啦 哈哈哈哈
115,就是都给前端做了
116,bff层
117,中台？
118,小狐狸学Java
119,保姆级的解说
120,卧槽
121,我司是dotNet主管，感觉和前端理念很大
122,爱了爱了郭澳一
123,爱了爱了
124,后端非阻塞io不是基本操作吗
125,deno？
126,学到了
127,为啥环境变量里没有node也可以用node命令
128,抓哇
129,三连了
130,12.28
131,协程
132,周5我在看。。。
133,清晰度。。。
134,生态很重要
135,io密集
136,老师呀
137,不是加瓦？
138,？？？？？
139,针不戳
140,爪哇
141,周二，我在看
142,444444
143,2倍很快乐
144,什么叫老外念，本来就是爪洼岛的音
145,3012年了现在都
146,我装的14.5.0
147,单讲理论还是搞不懂呀
148,不会node学的好困难
149,libuv是什么
150,最新版已经15.2.1了
151,老陈666
152,11-14
153,2020-11-06
154,确实很详细了
155,3倍也不错
156,20了
157,3倍速中。。。
158,不用怀疑
159,php天下第一
160,扎哇
161,耨的
162,2022年考古
163,我们公司还在用6.x 能信？
164,数据分析还是老老实实用python吧
165,中间件？
166,扎心❤️
167,2020-10-23
168,南京的路过
169,抓娃
170,11
171,耨的
172,？？？
173,这一坏
174,2倍速飘过
175,是MVVM
176,抓哇
177,2020/10/5 星期一
178,111
179,18了
180,30分钟了
181,12.18
182,？？？？？？？？？？
183,抓娃
184,替代Java的中间件
185,目前看不出好不好
186,我在看
187,什么时候的视频呀
188,1998啊
189,15倍数有点快
190,node
191,爪哇没问题
192,2080super
193,14了
194,爱了爱了
195,哈哈哈还好
196,我笑了
197,热爱学习
198,抓瓦
199,2060
200,哈哈
201,10geren
202,事件驱动
203,node.js
204,node
205,web开发
206,确实挺困
207,非常好的视频
208,10倍正好
209,药酱晋级了
210,哈哈
211,爪哇
212,困了就休息吧
213,2019-11-22
214,这里是keyL刘波
215,头悬梁，锥刺股发
216,很棒的视频
217,药水上线
