,弹幕
1,但为什么先出现异常，再打印出来元素？
2,直接for循环？
3,那就while循环，异常退出
4,三连走起
5,正是我所需要的
6,没输出哈哈
7,老师 你竟然用try： 我竟然猜错了！！！！
8,我在！ 小伙伴  怎了？
9,while哈哈
10,那就while循环吧
11,这个李明杰是小码哥培训的那个李明杰吗？
12,好办法，for不能用用while，哈哈哈
13,\5
14,while呗
15,递归
16,这还不基础。。。
17,切片
18,print(res)吧
19,不是高级 Python 教程吗，我觉得这些可以简单过一下就可以
20,+1
21,这个课程不错
22,递归?
23,强人所难
24,强人所难
25,有啥用？
26,15   在13+ 迭代器不会工作
27,笑了、
28,while num < len(l1):
29,打印res
30,这内容我喜欢
31,有人吗
32,"是个屁will循环, 明明是while,"
33,输出的顺序而已  你使用debug断点调试顺序就正常了
34,用try 好呀 有事没事 try 一下
35,with True 会不会好一点？ 老师
36,李明杰不是我教的那个学生吗？声音挺像
37,可以用while
38,for
39,小伙伴
