,弹幕
1,《中国经济支柱》
2,《小喇叭》
3,《我觉得没有泡沫》
4,果然是砖家！
5,《支柱企业》
6,《没有泡沫》
7,对对，哈哈哈
8,仔钟
9,支柱产业，那哦豁
10,《支 柱 产 业》​
11,看到北大就可以画过去了
12,支柱产业（指压榨普通人，一辈子只为买一套房）
13,他们有很多困难，需要我们的帮助
14,限涨不限跌，牛逼
15,恒大：老板恒大股份了解一下不
16,货币崩了你兜
17,因为我手里还攥着几十套房子呢
18,能绷得住也是个人才
19,不愧是北大的
20,重工业
21,北大啊 懂了
22,原来是北大的
23,看看这头人 被喂得挺饱
24,日本前车之鉴！
25,不愧是北大经济学院院长！！！
26,《北大经济学院院长》
27,《既得利益者》▼
28,继续涨大涨，一百万一平
29,你说的对，不结婚不管就行
30,哦，北大的啊，那没事了。
31,说完这句话回去就有骨头吃
32,果然北大的人才能说出这样的话
33,人头猪脑
34,严打严查这个人
35,戴着眼镜说假话的人
36,这个并没有泡沫，良心话了吗？
37,一个有地位的人说的话，不是人话
38,既得利益者
39,房价还是太便宜了，不利于年轻人奋斗
40,老东西吃了多少
41,不是我冤，是武举老爷冤
42,吃着人肉念弥陀
43,我挺想把这死猪按地上锤
44,为什么房地产会成为支柱企业
45,你看吃的脑满肠肥
46,百万漕工衣食所系了属于是
47,不管在哪里都有砖家！
48,这人tm咋还活着呢
49,你是砖家，专门骗大家
50,你看看日本泡沫經濟吧！
51,既得利益者
52,不需要污名，直接挂路灯就好。
53,你快去买呀
54,啧啧啧，
55,我也觉得没有，但他脑子里边一定有
56,都快爆了，还自欺欺人呢
57,你看他脑满肠肥的样，就知道这种人不为穷人考虑
58,把你房给我再说这话
59,金融论坛不就是一群吸血鬼研究怎么更好的吸血？
60,这么优秀的人，身上一定全是肌肉吧
61,好家伙，脸都不要了！
62,脑满肠肥
63,继续长吧。迟早要掉路灯。
64,全世界无产者联合起来！
65,仍然是人民的负担
66,呵。呸！
67,你也是个人，也配在我们面前说话
68,你他么整个人就是个泡沫
69,他急了他急了
70,好家伙！我摊牌了，躺平了
71,滚，支柱只有一个，舞铲们顶起来的制造业
72,这位师爷就是装糊涂的高手
73,北大屁股都不正了
74,请他去送两天外卖
75,好家伙，这种人居然是北大院长
76,北大自己都开发房地产了
77,带 恶 人
