,弹幕
1,这里太过分了 这文案要被扣钱啊
2,织毛衣这个，对不起我喷饭了哈哈哈
3,两三个月一次吧！我是九五后，关键是我在自己老家搭了一个我为什么要去
4,开下午厂下午电费都赚不回来
5,佳丽公主都叫上
6,一年至少三次
7,重新定义《最爱》
8,速效救心丸hhh
9,1织毛衣？？！！哈哈哈
10,去唱美声哈哈哈哈
11,哈哈哈哈哈哈哈多损呐
12,年轻人都在蹦迪
13,我去KTV可以连续唱4个小时不休息
14,没有，经常去
15,剧本杀，桌游
16,暴露年龄系列
17,我家客厅有KTV哈哈哈哈
18,因为以前的年轻人老了
19,一个2020就能让他直接垮
20,速效救心丸可还行
21,就是去唱歌的哈哈哈哈哈哈
22,沉浸式不就是剧本杀密室逃脱？
23,来来回回都是那几首
24,以前叫卡拉欧k，家里装一套叫家庭影院
25,17个秋冬转眼即逝，KTV……我连家500米外的网吧都没去过
26,现在去KTV都不唱歌了，全是商K
27,好家伙，直接来个风景画陪歌词
28,因为小姐太贵了
29,他们都去更刺激的夜店了 哈哈哈哈
30,年轻人桌游，密室，剧本选择多了所以不去KTV了
31,现在KTV很多退休的叔叔阿姨聚会的目的
32,我每次只能唱北国之春，难忘今宵呜呜呜呜
33,KTV是什么？我只知道摸摸唱。
34,KTV是什么？我只知道摸摸唱。
35,夕阳红场（下午场）
36,晚八点前都是下午时段
37,去年夏天回老家和朋友去一次KTV，爆满不说，还有好多年轻漂亮的妹子。四线小城比不了大城市
38,当年的年轻人，现在的老人
39,好家伙。感情不光下app
40,同意，我就是因为这个原因不去的
41,以前读书的时候夏天去逛街累了都会去ktv唱会
42,剧本杀，密室鬼屋
43,KTV的确属于上个世纪，现在看感觉年代感太强
44,我实在受不了那些灯光又暗又闪
45,KTV再装修变摸摸唱了...
46,因为国家严打了
47,我家有KTV，所以不去
48,奶茶店都被中老年占领了
49,上次去ktv让服务员拿来一壶水    20元同志们  
50,刚出来回到家  躺床上
51,从未去过
52,还是当年常去的那帮人
53,居然没有剧本杀
54,马上轮到蹦迪
55,白天不营业更赔本
56,这个没有版权压力？！！？
57,隐形的翅膀
58,俺去KTV是为了寻找白雪公主
59,邻居会投诉
60,从有了孩子就没去了，八年了
61,去玩密室剧本杀了
62,现在的KTV已经成了老年活动中心
63,65岁老年人2000年还只有45岁
64,主要是穷。一个月就那么几千块。去一次最少500+
65,都去商务KTV了而已
66,现在:那种地方有啥好玩的
67,歌单更新不及时，麦克风失真严重，就很让人难受
68,这三大发明好随意啊……
69,去了一次剧本杀馆，感觉挺不错，促进交流
70,速效救心丸？老人抢麦？
71,我经常去啊，一个人唱六个小时那种
72,量贩式KTV
73,全民K歌上面也是这样的情况。
74,年轻人都蹦迪去了
