,弹幕
1,上海表示这个朱迪怎么嗲nini的
2,日语本来就是借吴语发音
3,又要查车牌号？
4,武汉人只听懂了那句日语
5,没有字幕的话我会全程懵逼
6,等会，你确定这是上海话而不是日语？
7,等会儿，这个笑话好像不大对
8,重庆人表示懵逼
9,翻译：蚊子叮了py里，你猜一个名字
10,全听懂的啊
11,刚才兔子那句不错好可爱哦哦哦哦哦哦
12,嘉兴人表示毫无感觉
13,魔都人民听着毫无压力，好亲切
14,我班上有个同学李向阳哈哈
15,四川人已崩溃
16,没有字母感觉就懵逼了
17,江西新余听得懂
18,上海话好像比其他吴语容易听懂的样子
19,天津人一脸懵逼路过。。。。
20,绵阳表示一脸懵逼
21,树獭的你后了，明明是树懒……
22,湖北蕲春人一脸懵逼
23,刚刚这个一个字都没听懂
24,苏北表示一脸懵逼
25,苏北表示一脸懵逼
26,大写的懵逼
27,四川人民表示一脸懵逼……
28,这说的哪个星球的话……
29,这里我懂了哈哈哈
30,这里四川人懵逼死咯
31,推荐平记的上海话版那个是标准的上海话
32,桥豆麻袋？！你告诉我这是上海话？
33,嘉兴人！毫无压力哈哈哈
34, hhhhhhhhhhhhhhhh杭州没压力但你这笑话哈哈哈哈哈哈哈
35,上海人民毫无压力2333333
36,完全听不懂【躺
37,四川人已崩溃
38,李向阳哈哈哈哈哈哈哈哈哈哈哈
39,四川人真的是懵逼的。。。。
40,兔子声音超萌的~考拉的声音太慢了，慢得特别搞笑，哈哈哈哈~
41,蚊子叮在菊花里 猜个名字
42,无锡的表示无压力，毕竟都是吴侬软语
43,常州人毫无压力和哈哈哈哈哈哈哈哈
44,我为什么听到了快抢手
45,因为上海人讲话喜欢夹外语，比如格则case
46,李向阳=里面痒
47,卧槽听都听不懂！！！四川人民表示疯了
48,李向陽！…………
49,李向阳
50,hhhhh李向阳上线
51,狐狸的声音好苏！！！！！！！！
52,狐狸表情好棒
53,字正腔圆的李向阳哈哈哈哈
54,这个狐狸好慵懒 帅哭
55,兔子好萌！！！
56,声音好可爱
57,李向阳=里面痒
58,兔子声音好可爱
59,李向阳(上海话中的里面痒)
60,李向阳=里厢痒23333
61,保定人真懵逼
62,李向阳太草了
63,这是南汇本地话吧。。郊区那边的
64,北方人完全懵了
65,前面的，这还有个连蒙带猜能懂的
66,原版中文配音里面就配有桥豆麻袋
67,阳江的举个手我看看
68,我怎么听见一句日语。。。
69,好可爱啊！！！
70,还有那么一点像四川话就是说得太快了
71,真的完全没听懂啊
72,武汉人表示语速太快了
73,上海话有压力武汉人听不懂
74,四川人能听懂的就我一个？
75,哈哈哈哈哈哈哈哈哈哈哈哈这个笑话听爷爷讲过！
76,江苏人表示还能接受
77,广东人表示完全无压力！！！上海话超级好懂
78,一脸懵逼。。
79,输下车牌号是吧
80,表情绝了
81,江苏人表示完全听得懂
82, 台州人表示要笑死了
83,上海话和日语听起来很像
84,等等，怎么听到日语了
85,李向阳是谁？》
