,弹幕
1,移 船 挑 灯 遥 相 见
2,战 术 踉 跄
3,老 夫 撩 发 少 年 狂
4,物业敲门笑死哈哈哈哈哈哈哈
5,战   术   踉   跄
6,战术踉跄哈哈哈哈哈哈
7,老 夫 撩 发 少 年 狂
8,这一脚，踢出了整个盛夏
9,茄   子   甩   狙
10,《众神归位 经典永不过时》
11,后方ppd稳定输出
12,老 夫 撩 发 少 年 狂
13,一  睹  芳  容
14,领                    衔                    主                    演
15,领                    衔                    主                    演
16,请 选 择 你 的 英 雄
17,人类反祖现场
18,后排日常稳定输出
19,物 业 敲 门
20,Pdd后排稳定输出
21,请  选  择     您  的  英  雄
22,震  荡  试  管
23,一 睹 芳 容
24,请 选 择 你 的 英 雄
25,仙   人   指   路
26,《食堂刷脸付款》
27,好果厨，你让我陷入 疯狂。
28,一睹芳容
29,《果宝机甲 合体》
30,原著：石之森章太郎
31,《籽 岷 的 单 人 极 限 生 存》
32,《停 车 场 反 杀 龙 卷 风 》
33,物业敲门，哈哈哈哈哈
34,PDD后排稳定输出
35,《拥有良好的表情管理》
36,秦 王 扫 六 合
37,1.3亿，比猛男跳舞团之后翻拍的播放量还高
38,《众神归位 经典永不过时》
39,仙 人 指 路
40,籽  岷  挖  矿
41,物 业 敲 门
42,pdd后方稳定输出
43,仙 人 指 路
44,芝     诺      斯
45,仙人指路
46,仙人指路，猿猴摸头
47,借问酒家何处有，牧童忙跳新宝岛。
48,仙    人    指    路
49,黄磊老师早期作品
50,秦王扫六合
51,秦      王      扫      六      合
52,秦  王  扫  六  合
53,众               神               归               位
54,仙人指路
55,停车场反杀龙卷风
56,请选择你的英雄
57,《领域展开》！
58,请 选 择 您 的 英 雄
59,仙     人     指     路
60,物业敲门
61,物业敲门
62,个人秀时间
63,锰男敲门
64,《 六 道 仙 人 》
65,《恐 龙 妈 妈 提 笔 忘 字》
66,广 播 体 操
67,物业敲门
68,仙人指路
69,甩    狙
70,《籽   岷   挖   矿》
71,黄磊老师你回来啊黄磊老师！
72,仙           人            指              路
73,仙人指路
74,社区送温暖
75,礼貌：你黄磊么
76,截图选老婆（）
77,仙  人  指  路仙  人  指  路
78,仙     人     指     路
79,牛奶 咖喱 土豆 豌豆 梨 西瓜 咸蛋
80,仙人指路
81,镇站の宝
82,仙  人  指  路
83,《  黄  磊  拆  迁  队》
84,秦王扫六合
85,苏 联 极 限 单 兵 作 战 计 划
86,老   夫   撩   发   少   年   狂
87,奥斯卡最佳短片
88,牛奶  咖喱  土豆  豌豆  梨   西瓜   咸蛋
89,PDD后排稳定输出
90,圣光灵神，重生之翼，瀚宇星皇，天启帝君，混元天尊，启灵元神
91,一  睹  芳  容
92,光   翼   展   开
93,这充满不羁的眼神
94,黄 磊 早 期 锻 炼 视 频
95,您的iPhone已解锁
96,秦王扫六合
97,仙人指路
98,仙人
99,一睹芳容
100,《鲁滨逊漂流记》
101,md纯真的眼神哈哈哈
102,小可爱
103,我叶庆磊做梦都会梦到你
104,王の名のもとに
105,好果厨，你让我陷入 疯狂。
106,黄佳兴是你吗
107,这恐怖的播放量
108,众 神 归 位
109,请  选  择  你  的  英  雄
110,牛奶  咖喱  土豆  豌豆  梨  西瓜  咸蛋
111,奥特六兄弟登场!!!!
112,《物          业          敲           门》
113,疯狂敲门
114,恭喜你发现镇店之宝
115,哈哈
116,秦王扫六合
117,战术踉跄
118,秦王扫六合一
119,籽岷挖矿
120,黄磊老师早期作品
121,每日一遍，不忘初心
122,仙人指路
123,每日一遍快乐无限
124,跳回0：00
125,镇站之宝
126,梦开始的地方
127,720专属清晰度
128,每日一遍，洗脑百变
129,恭喜你发现镇站之宝
130,每日一遍
131,1亿播放量了哥
132,面 容 清 秀
133,领域展开
134,物业敲门
135,战术踉跄
136,每天一遍，防止抑郁
137,秦王扫六合
138,仙                                              人指鉻
139,仙人指路
140,这是720高清！！！
141,《     物     业     敲     门     》
142,仙   人   指   路   仙   人   指   路
143,一个亿的播放量真牛啊
144,《镇  站  之  宝》
145,龙腾虎跃
146,刚看完恐怖视频看这个鸭鸭惊
147,拄杖无时夜叩门
148,佩 恩 六 道
149,秦王扫六合
150,太怀念
151,经典重现
152,每  天  亿  遍
153,籽岷挖矿，哈哈哈笑死了
154,一   睹   芳   容
155,镇站之宝
156,镇站之宝
157,镇站之宝
158,镇站之宝
159,战术踉跄
160,光   翼    展    开
161,苏 联 极 限 单 兵 作 战 计 划
162,【便宜点便宜点便宜点】
163,截图选老婆...
164,     一     睹     芳     容     
165,黄磊老师早起作品
166,龙卷风摧毁停车场
167,真  “镇  站  之  宝”
168,梦最开始的地方
169,普京早期作品
170,仙人指路
171,每天一遍好欢乐
172,梦开始的地方
173,王之蔑视
174,2022年4月8号打卡再来一遍
175,物业敲门
176,梦开始的地方
177,梦开始的地方
178,牛奶 咖喱 土豆 豌豆 梨 西瓜 咸蛋
179,仙人指路
180,众神归位
181,《鲁滨逊漂流记》
182,恭喜你发现了宝藏
183,恭喜你发现了宝藏
184,翔二十一壮士到此一游
185,《高清》
186,黄磊早期视频
187,不愧是镇站之宝
188,您的iPhone已解锁
189,物      业       敲       门
190,每天亿遍
191, 仙人之路
192,笑死我了hhhhhh
193,2022年考古 一亿播放纪念
194,恐龙妈妈提笔忘子
195,秦王扫六合
196,镇站之宝
197,[OHH]
198,忒你，忒你，忒你～一呀哭多
199,镇站之宝
200,物业敲门
201,2亿助攻
202,黄磊风评被害
203,秦      王      扫      六      合
204,物业敲门
205,面无表情
206,梦开始的地方
207,物业敲门
208,我靠
209,亿天亿遍，快乐翻倍
210,Superman
211,仙人指路
212,梦开始的地方
213,单    兵    作    战
214,梦开始的地方
215,物业敲门
216,一睹芳容
217,百里守约甩狙
218,物业敲门
219,每天一遍，快乐无限
220,秦王扫六合
221,秦王扫六合
222,梦开始的地方
