,弹幕
1,一个崭新的植物人即将诞生
2,欲擒故纵计
3,左手六右手七左脚画圆右脚踢
4,这么问谁都有不一样的地方
5,这句第三部还有返场
6,拖拉机启动时的笑声哈哈哈
7,都是有高瞻远瞩性的市场敏锐度
8,梦开始的地方！
9,笑喷两口饭
10,节奏拿捏得真好啊
11,敏敏噘嘴好可爱
12,当时观众都是由衷的哈哈大笑，这种感觉似乎已成昨天
13,《智慧的眼神》
14,感觉这一段动作技巧在姜文的电影里也有体现
15,哈哈哈哈才知道梗出自这里
16,头给老子笑飞掉了
17,高老师其实担任一个评价的视角
18,要啥自行车啊！！！！这个梗真的绝了！！！
19,死根儿滴！哈哈哈哈哈哈这句太好笑了
20,警世名言
21,要啥自行车哈哈哈哈哈
22,这一句！贯穿星尘！！！！
23,这个小品高秀敏老师表演的太牛了
24,高老师的笑声太有感染力了哈哈哈哈
25,高老师看不下去了
26,这笑声太绝了！
27,以前是小品创造流行语
28,范伟表情哈哈哈哈
29,从小培养要啥自行车
30,哈哈哈这词用的太好笑了告别自行车了
31,最经典的小品
32,这个心理属实是拿捏住了
33,把大忽悠还吓一机灵这笑的
34,高秀敏在台上看小品
35,经典永流传哈哈
36,当年的观众是真的看得高兴
37,哈哈哈哈哈哈哈哈哈思路清晰啊
38,大声密谋
39,走两步没事走两步
40,《心眼儿好》
41,范老师的铁道英雄不错
42,句句都是经典
43,图穷匕见了属于是
44,每句都是名言
45,这个小品竟然只有十分钟，笑点太密集了
46,赵本山瞪眼睛也太可爱了小老头哈哈哈哈哈哈
47,要啥自行车=还有非分之想
48,这是几几年的春晚
49,科普：这车当年新车价498
50,经 典 老 番
51,经典台词来了
52,这句名言至今网上还在用
53,哈哈哈哈。每一句每一个字都是重点 牛逼
54,前方核能前方核能中的核能
55,以下要求全文背诵
56,我妈就这么说我哈哈哈
57,这个表情笑死我了
58,拐了啊！拐了！
59,高秀敏的表情太精彩了
60,《钢板儿》
61,商业预判！！！
62,当年真是被笑死了
63,经典永远流传
64,高老师太好笑了哈哈哈哈哈
65,高秀敏太可爱了哈哈哈哈哈哈
66,原来刚才说做生意的老板就是在试探啊
67,原来要啥自行车出自这里哈哈哈哈
68,大哥，缘分哪。。。。
69,宋丹丹：“就我们那村隔壁吴老二一瞅我就浑身发抖”，赵本山：“吴老二患有脑血栓，瞅谁谁都得瑟。”
70,难以置信，这小品只有11分钟
71,这是现代带节奏祖师爷啊卧槽
72,吴老二上线
73,好家伙，欲擒故纵
74,捷安特自行车
75,那个时候观众的笑声都是发自内心的
76,前方经典语录
77,这是条奥运火炬手滴腿！
78,千古名句，经典咏流传
79,千古名句啊哈哈哈
80,聪明的托！
81,谁说的老福和花生草哈哈哈哈哈哈
82,那时的春节，欢声笑语
83,要～啥～自～行～车
84,要～啥～自～行～车
85,要～啥～自～行～车
86,要～啥～自～行～车
87,高老师演技不在台词，在微表情
88,高老师台词不多，但是都很搞笑
89,现在多少经典梗出自那时候的小品
90,后面还岀过卖猫，只是没上春晚
91,只有十分钟而不是往常的十五分钟，是因为这届春晚要求的，赶时间，给别的节目让道。
92,那时候的孩子天天上蹿下跳的基本都崴过脚
93,竟然还是捷安特，现在才看出来
94,兄弟，架拐！！！
95,你这是坑我！！！
96,急得直跺脚
97,高老师蓄力中
98,每一句都是梗
99,传世经典：要啥自行车
100,高老师太可爱了哈哈哈哈
101,轴对称图形
102,憋大了哈哈哈
103,以前网络全是春晚梗，站在春晚全是网络梗
104,epic的是不是看了那个表情包哈哈哈
105,skr～滴 哈哈哈哈哈哈哈
106,麻了彻底麻了哈哈哈哈
107,大灰狼 追 小白兔 ！
108,我喝水没忍住差点把我呛过去
109,论严重与晚期
110,一个敢说一个敢信
111,两小儿辩拐
112,两小儿辩日开始
113,哈哈哈哈高老师都笑了
114,目前为止，小品类巅峰，
115,全盛时期的铁三角
116,还在颠勺
117,高秀敏虽然没台词，但是表情演的很好
118,心理暗示
119,以前的真的很敢演，太有意思了
120,颠勺颠勺，恭喜TS
121,英 国 士 兵
122,听见颠勺我就头疼了
123,经典咏流传
124,要求背诵全文
125,句句经典哈哈哈哈哈
126,哈哈哈哈哈哈哈这表情绝
127,我发现高老师每次一笑都能把本山大叔给吓着2333
128,全程名场面！！！太多经典句子了！！！
129,高秀敏在后面跟着晃哈哈哈哈
130,高秀敏老师这笑太魔性了哈哈哈哈
131,真史诗级小品
132,《心眼好》
133,忽悠瘸了从这一刻开始成为名台词
134,欲擒故纵计
135,李大师的动作
136,跺脚是整个小品的核心和精髓，
137,被坑过之后才知道谁是真正的好人
138,强烈的心理暗示
139,缘分呐～这句太经典了
140,自从“忽悠”一词沸腾
141,这小品真的造梗王
142,傲娇的表情
143,基 本 演 绎 法
144,阶段一：吟唱阶段
145,奥运火炬手的站住哈哈哈哈
146,没有耳麦，台词得放大声说
147,开始斗法
148,范伟从这里从此踏上巅峰之路
149,欲擒故纵
150,吕子乔：转移，我熟练
151,轴对称图形
152,节奏真好啊真绝了这小品
153,年轻人可能不知道，这个跺脚是出自当时法圈儿功忽悠学员的视频
154,从洛圣都麦克来的
155,哈哈哈哈哈经典语录现在还用那
156,赵老师表情太到位了
157,高秀敏这个角色也真的很重要 很有生活
158,焦虑贩子直呼内行。。
159,吴老二：有被冒犯到
160,吴老二：有被冒犯到
161,第一计  欲擒故纵
162,小品天花板句句经典
163,开启大忽悠模式
164,一个小品造了三个梗
165,欲擒故纵
166,经典嗷哈哈哈哈
167,神补刀哈哈哈
168,无形中一个红脸一个白脸
169,还在给眼神呢
170,幸亏没穿拖鞋
171,这好像是作者本尊，何庆魁
172,前    方    核   能
173,魔性笑声哈哈哈
174,拐卖了哈哈哈哈
175,注意范伟的穿着，不系领带却把衬衫领口扣上，这种装扮代表傻
176,轴对称图形
177,这时候的本山大叔还很年轻
178,要送拦不住
179,这句话当年可太火了
180,一个红脸一个白脸哈哈哈
181,自行车预警
182,一语双关
183,观众席里有个男的很眼熟啊
184,之前电车要带头盔我就去卖安全帽了……
185,现在小品都是喜头悲尾
186,本山大叔的表情真的神了，代入感太强
187,“红，能不能说点好听的”
188,买摩托是要买安全帽了2020
189,此时 台下的百名观众还没有意识到将见证一部绝世经典
190,千 古 名 句
191,《心眼儿好》
192,战术娇羞
193,《探讨病情》
194,大声密谋
195,欲 擒 故 纵
196,吸引他人注意力第一要義：不關你事/沒你事
197,用鞋试探经济能力，高啊
198,全文背诵
199,拐卖了啊！
200,拐一年摇一年缘分呐，吃一堑长一智谢谢啊
201,哈哈哈哈哈哈真的经典
202,卓别林同款表情
203,拒绝~~上钩~~完全相信
204,《开放天空》
205,要啥自行车！
206,哈啊哈哈哈开始了
207,上 道 了
208,哈哈
209,梦开始的地方
210,太草了哈哈哈哈哈哈哈
211,语言艺术登峰造极了！！！！
212,高老师表面haoor
213,锁柱子是小名
214,厨师前几年肯定都要切
215,2022还真的拐卖了……
216,已被催眠成功
217,句句是梗
218,前方高能预警
219,原来这就是喊麦
220,范伟演憨憨好像哈哈哈
221,重新定义心眼好
222,你也不能信哈哈哈哈哈
223,重新定义心眼好
224,经典名言
225,已经开始笑了
226,我买 高老师好可爱哈哈哈哈哈哈
227,温馨提示 前方高能
228,哈哈哈哈哈哈
229,免费的都是最贵的
230,刚发现捷安特！！
231,暂停学表情
232,不用翻译，都懂
233,疯狂暗示
234,走出一个恍如隔世
235,本山闻了一下
236,放到现在，结尾绝对是道歉
237,笑死了哈哈哈哈哈哈看几百遍还是笑死
238,《转移了》
239,已经开始笑了就好红红火火恍恍惚惚
240,一股葱花味
241,哈哈哈哈哈哈哈哈哈哈哈哈
242,表演要有信念感，小品也要好演技啊
243,哈哈哈哈哈哈哈哈哈哈这大姐太好笑了
244,这不就是直播带货嘛我的天
245,这个梗现在还在用
246,稀里糊涂落锤计！
247,高秀敏老师真的绝
248,传世警句
249,哈哈哈哈哈哈哈
250,前方万恶之源
251,看完2022年春晚来看这个，感觉这个才是经典。
252,本山对这本很有自信
253,毛，以前我买这辆花了720，很轻 骑的又快
254,行业痛点
255,心理暗示
256,相对静止
257,经典语句要来了
258,颠勺的猛犸！
259,2022年除夕前一天
260,他来了他来了
261,捷安特很贵的
262,自然的笑场
263,范厨师演技太牛逼了！
264,小品的巅峰
265,所柱子是我们东北那的小名
266,送呗哈哈哈
267,打断做法
268,背诵全文
269,这绝对是台词口误了。但人家表演的行云流水没显现出来
270,《试探》
271,高老师演技太自然了
272,高老师太可爱啦
273,哈哈 麻了也出自这里啊
274,哈哈哈哈哈哈哈哈这就叫忽悠quelee
275,哇，好多经典台词呀，都用到生活中了
276,同源重组了
277,笑岔气了哈哈
278,高老师太可爱了
279,节奏大师
280,高秀敏表情无敌
281,经典咏流传
282,现场了哈哈哈哈
283,这个视频好清晰啊比优酷好多了
284,打听鞋子价钱，判断经济实力。
285,欲擒故纵
286,太流畅了，这节奏感
287,像传销组织一样的道理
288,在桂英饭店炒菜的
289,要啥自行车！
290,拐一年摇一年缘分呐，吃一堑长一智谢谢啊
291,经典就是经典不得不说
292,莫名同步了
293,这个梗用到现在，估计新人都不知道出处
294,穿绿衣服的笑了
295,都在动 细节太好了
296,你咋这样呢！！！
297,要啥自行车！
298,别拆穿我了行不？
299,家庭帝位
300,不断施法
301,高秀敏演技好好啊
302,迈克尔杰克逊
303,迈克尔杰克逊
304,娇羞了
305,没台词的时候更考验演技
306,王力宏人设崩塌时期
307,贴吧老哥现状
308,一点儿一点儿就好了
309,99年穿得最好的鞋是10块钱一双的胶鞋
310,顺拐了
311,大忽悠
