,弹幕
1,何止90年最佳，迄今为止最佳
2,神来之笔
3,盆腔共鸣
4,这是中国小品节目的天花板，没有之一!
5,《全文背诵》
6,80后小时候，这样的艺术家数不胜数，大家都有真功夫
7,随机任务：修复枪带
8,刻进DNA了
9,小品的巅峰作品
10,还有一句是“别打了，我招”（doge
11,大声密谋
12,《老茂》
13,《一枪把你崩了》
14,你俩这台词不对啊
15,前面的，同志才是最亲切的称呼
16,朱时茂要憋不住了哈哈哈哈
17,这个倒地姿势哈哈哈
18,重新定义“浓眉大眼”
19,《样板戏》
20,《前传·蛋哥崛起》
21,这俩人都好帅呀
22,这两位都是八一厂的电影演员，台词功底很深的。
23,这演主角多是一件美事啊
24,反主为客
25,经典咏流传，
26,为什么那时候的小品，不看字幕我都能听懂
27,这发音好清晰，根本不用字幕
28,羊肉串
29,姐夫与小舅子
30,一语成谶啊
31,经典喜剧大师，太可惜了
32,完全没注意枪带断了，太牛了
33,但是他俩小品朱时茂全是配角
34,《只要你能够投降黄金》
35,没想到，枪带着断了，节目效果却炸了
36,他们俩个角色有悄无声息的换回来了
37,太熟练了这iOS流程
38,立功的消息哈哈哈哈哈哈哈
39,嘴角没下去过哈哈哈哈哈
40,这才叫小品！
41,直到今天还时不时能见到的梗！
42,太牛了这一段肢体语言
43,诶，这，这不对吧（doge
44,这台词写给央视的吧，当时陈朱的小品在台里很有阻力
45,朱时茂是真帅啊，完爆小鲜肉
46,当年真的太敢说了，这才是真正的艺术家啊
47,这脚腕力量一般人做不出来啊！
48,用播音的发音演小品
49,经典咏流传
50,史前核武器登场
51,发动群众斗群众
52,《叛徒神气什么？！》
53,带子短了反而成就经典
54,群众的眼睛自然雪亮的嘛
55,群众的眼睛自然雪亮的嘛
56,《哎呦，这不显得您枪法准嘛》
57,《  氪  气  》
58,贾队长:原来我的枪长这样
59,一段节目出仨手办
60,这衣服太适合他了哈哈哈哈哈
61,朱时茂这句“什么！？”哈哈哈哈
62,这句话厉害了
63,老茂还专门检查了一下枪带
64,抢位子呢哈哈
65,这里朱时茂给了一个手势，陈佩斯注意到了
66,这台词功底，根本就不需要看字幕
67,这句笑死我了哈哈哈哈
68,多谢提醒，还真的和《论捧逗》对的上……
69,真默契，一个挡住的时候，另一个立刻低头查看情况。
70,前方持续高能
71,这个小品再过一百年也是经典。
72,笑岔气了哈哈哈哈哈
73,什么叫小品天花板？这就是。
74,这个“扣”踩点太好玩了
75,然后后面全演了。
76,代号:穿山甲
77,那时候哪有那个意思，就是走到画的圈外面了…
78,《反客为主》
79,全是金句
80,最喜欢的哈哈哈哈哈啊哈哈哈
81,台下的观众也是看热闹不嫌事大
82,第一个喊行的是工作人员！
83,《无 间 道》
84,名词解释：点头哈腰
85,我好喜欢这对黄金搭档
86,要不是后来曝光谁注意能到带子断了这演技神了
87,这就是优秀的作品，看到都会背了依然觉得好笑
88,演的太好了，眼神表情到位了
89,高级特工穿山甲
90,“谁有戏”
91,想杀一个人的眼神
92,确实了哈哈哈哈哈
93,我看了快一百遍了，还是会笑出声
94,一直蚌到这儿没绷住
95,从倒放过来温习一下正放的
96,“您一直都是主角”
97,《几千年就出这么个东西》
98,已经开始笑了哈哈哈哈哈哈哈哈
99,真正的经典啊！
100,小品就是他俩开创的，吃面条是春晚历史上的第一个小品
101,经典咏流传
102,这一家出了3个
103,枪简直点睛之笔
104,一分钟内交代清楚前因后果，绝！
105,这表情笑死我了
106,想刀一个人的眼神是藏不住的
107,出手办！！！
108,这个节奏转变的挺自然
109,这一年我9岁，已经回忆不起当时自己的笑声
110,我一直以为挑眉这个表情是这么来的
111,哈哈哈无缝转场
112,这个小品需要背诵全文。谢谢。
113,大家认识看节目
114,不愧是小品天花板
115,改编不是乱编(doge
116,眼神里全是戏啊！
117,表情很棒说词很清晰
118,挑眉绝了
119,哈哈哈，太熟练
120,一代经典咏流传
121,攻守之势异也
122,心里话输出
123,出手办！！！！
124,金句合影
125,337个人，都是看完春晚来这儿的吧
126,代号，穿山甲
127,佩斯叔叔其实你是主角（指小品里）。
128,无论再过多少年，依旧是经典！
129,演技炸裂，表情、动作都是经典！
130,习惯性叛变！
131,老茂：把我整不会了！
132,逐渐失去笑容
133,好开，闪现跟了
134,两级反转
135,2022年春晚了我还是只能回来找老小品
136,但我管得了观众能看谁
137,可以看出鞋子对气质的影响
138,小品的巅峰
139,哈哈哈哈，这形象绝了
140,现场那气氛是自发的
141,注意走位
142,《这不显得你枪法准嘛》
143,经典中的经典，巅峰中的巅峰
144,经典永流传
145,高级特工穿山甲
146,小鲜肉现状
147,这里朱时茂立马低头查看枪袋状况
148,哎哟！这不显得您枪法准嘛！
149,以后每年春节都会来复习
150,专业话剧演员就是肢体语言丰富
151,《这不是显得您枪法准吗》
152,这不对吧，是谁要陷害我呀？
153,史上最经典的片段
154,其实爷孙三代每代出一个（手动狗头）
155,这个叉腰的眼神 来回飘忽 太绝了
156,熟练的让人心疼
157,熟练的让人心疼
158,熟练的让人心疼
159,《强迫症》
160,他俩是中国小品创始人
161,一转攻势
162,《又叛变了》
163,神の滑步
164,穿山甲要是这气质早就被抓了
165,这时的角色转换太丝滑了，毫无违和感，厉害！
166,大过年从沈腾那里过来
167,是什么让我们在此相遇？答：现在的春晚
168,《你管的了观众爱看谁啊？》
169,朱时茂这抻一下袖子的细节，现在的演员会吗
170,开局38秒不靠任何其他的东西逗笑全场，属实强
171,戏是抢出来的哈哈哈哈
172,2022春晚小品现状↓
173,一字之师，厉害
174,《哎哟，这不显得您枪法准嘛》
175,角色互换
176,《是你小子》
177,朱时茂憋不住了！
178,一转攻势
179,哈哈哈哈哈   反客为主了
180,原来这句话出自这里啊
181,现在：什么主角配角，咱们一起，包，饺，砸
182,《我是主角儿》
183,带子短了一截，后面陈佩斯戴上反而更有效果了
184,这个真的是巅峰了
185,整个一打入内部的特务。
186,这个刻在DNA里，不需要字幕
187,这个眼神笑死
188,两句词：“你着什么急吗”“你等我一会”
189,《往那一戳》
190,贾队长哈哈哈哈哈哈
191,陈老师看了一眼枪带子
192,这个反转就很自然流畅
193,科教书级的救场
194,一桌一椅，两人足以成就经典
195,这不是济公扮演者
196,这横着飞过来的弹幕笑死我了
197,小品的顶峰
198,灵魂三问
199,熟练的让人心疼
200,台风太稳了！！！彩
201,这么多年都没发现道具坏了，台风太稳了
202,上一个去兵马俑里找去
203,我试了一下，这样上椅子不容易
204,当年很流行的句式
205,贾队长直呼内行
206,朱时茂，浓眉大眼也会叛变
207,重庆军统双料高级特工
208,这一嗓子哈哈哈哈哈哈
209,没字幕但是听得好清楚
210,预言家，赶紧刀了！
