,弹幕
1,前面还行，后面代入感简直身临其境；
2,一行一个：wq你怎么说
3,猿鸣三声泪沾裳
4,shader很多时候其实往往是一个代码结构错误导致后面全错了
5,你看他开心得都哭了起来
6,不是程序员看到这个也要崩溃了。
7,心肺停止
8,这个error太真实了哈哈哈哈哈哈哈哈
9,你看他笑的多开心
10,他哭的越大声，我笑的越开心
11,他现在这一通操作是想赶紧保存。。。
12,代入感很强，我已经开始生气了
13,下意识地摸了摸头发
14,可以说非常传神了哈哈哈哈啊哈哈哈哈哈
15,十个泪目九个笑，还有一个在狂笑
16,你看他笑的多开心
17,生无可恋的表情
18, 不  可  恢  复
19,真正的程序员已经开始哭了
20,xp界面后突然混入win10的东西
21,锟斤拷烫烫烫
22,十个泪目九个笑，还有一个在狂笑
23,十个哭九个笑还有一个在狂笑
24,哭着把代码敲完了哈哈哈哈
25,他  在  狂  笑
26,3万的分享量也太真实了
27,你看他啸得多开心
28,带入感很强，已经开始生气了
29,啧，像极了我打了一篇很长的作文却在保存时丢失的心情
30,我做毕设的时候，都被自己气笑了
31,写入受保护的内存哈哈哈哈
32,真实，而且我有时还会暴躁到摔鼠标(主要是键盘不敢锤)
33,软件工程的直呼内行
34,被代码支配的恐惧
35,代入感太强，我已经开始崩溃了
36,骗人的，编译器都有自动保存的功能，欺负小白
37,遇到这种真的要裂开
38,你看他笑的多开心呀
39,真实情况：这怎么能运行&&这怎么不能运行
40,逐渐崩溃
41,果然喜剧的内核是悲剧
42,你看他笑的多开心
43,我的程序出错了，让我什么都不改再执行一次试试
44,这人hin猛啊，cpp写的这么快
45,有的人看了笑着笑着就哭了...
46,爷一个程序员着实被吓着了
47,每天一遍，防止抑郁
48,哈哈哈，其实我是边写边口吐芬芳
49,是原版 我就是那个回车
50,垂死挣扎hhhh
51,神奇的g++编译指令
52,弹出框的瞬间……心机梗
53,太真实了
54,写代码就要啸着写
55,头都笑掉了哈哈哈
56,哇靠，太真实了
57,太真实了
58,代入感很强，已经开始火了
59,vscode自动保存笑了
60,果然人生远了是喜剧，近了是悲剧
61,一行一个Ctrl+S很重要
62,代入感太强了  我已经开始抽泣了
63,心肌绞痛
64,课程设计我遇到了直接崩溃
65,真实，快做完了突然卡住，人都崩了
66,虽然不会哭，但是头已经被薅秃了
67,我也用SDL图形库
68,哭的越厉害，笑的越厉害
69,真实，已经哇哇大哭了
70,ps做完一个海报没存也有类似效果
71,他在狂笑
72,我已经开始笑了
73,谁家水壶开了提一下
74,代入感太强了
75,引导属性错误
76,不好意思我失态了，我还是想笑
77,十个泪目九个笑
78,哭得更大声了
79,我有点不想学计算机科学与技术了
80,从哪看出来是小米笔记本了？？？
81,我擦，太真实了
82,实际情况他遇到了啥？
83,一边哭一遍写
84,goodbye world可还行
85,一堆错误哈哈哈哈
86,我在现场 他哭的很伤心
87,第一次笑出声
88,2个bug改了一天，变成10个bug
89,真实!!!
90,sdl2找不到了hhhhhhhh
91,VSCODE哈哈哈
92,太真实了！！
93,代入感太强了
94,linux系统在虚拟机里面，主机还是windows
95,IDEA实时保存表示一点都不慌
96,Windows图形框弹linux?
97,看出来在写图形渲染
98,玩Python的我突然有些瑟瑟发抖
99,开始吟唱
100,小米笔记本受害者
101,草感染力太强了
102,constexpr，至少c++11标准
103,找一下头文件路径是不是正确
104,在？摄像头拆了谢谢
105,这玻璃后面反光也没变啊
106,代入感太强  我裂开
107,此曲一出，非死即伤
