,弹幕
1,致逝去的青春
2,"[""112"",""64"",""1-1"",""3.4"",""音乐皇帝"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
3,"[""112"",""64"",""1-1"",""3.4"",""周杰伦周杰伦"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
4,"[""112"",""64"",""1-1"",""3.4"",""Jay"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
5,"[""112"",""64"",""1-1"",""3.4"",""周杰伦"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
6,"[""112"",""64"",""1-1"",""3.4"",""感谢地心引力\n让我碰到你"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
7,"[""112"",""64"",""1-1"",""3.4"",""这样的甜蜜让我开始相信这个命运"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
8,"[""112"",""64"",""1-1"",""3.4"",""我每天每天每天在想着你"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
9,"[""112"",""64"",""1-1"",""3.4"",""想要和你融化在一起"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
10,"[""112"",""64"",""1-1"",""4"",""想要和你飞到宇宙去"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
11,"[""112"",""64"",""1-1"",""4"",""坏坏的让我疯狂的可爱女人"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
12,"[""112"",""64"",""1-1"",""4"",""透明的让我感动的可爱女人"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
13,"[""112"",""64"",""1-1"",""4"",""温柔的让我心疼的可爱女人"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
14,"[""53"",""43"",""1-1"",""6"",""漂亮的让我面红的可爱女人"",0,0,""144"",""203"",500,0,1,""SimHei"",1]"
15,"[0,0,""1-1"",""5"",""开启一个时代！！！"",0,0,""1000"",0,500,0,1,""SimSun"",1]"
16,聪明的让我感动的可爱女人
17,一个时代的开启
18,一个时代开启了
19,一个时代开始了
20,一声“喔”，开启华语乐坛新时代！
21,"[""359"",""148"",""1-1"",4.5,""jay"",""3"",""2"",""445"",""312"",500,""200"",1,""SimHei"",1]"
22,出道即巅峰
23,音乐上的皇帝！！！
24,音乐上的皇帝！！！
25,音乐上的皇帝！！！
26,音乐上的皇帝！！！
27,音乐上的皇帝！！！
28,音乐上的皇帝！！！
29,音乐上的皇帝！！！
30,音乐上的皇帝！！！
31,音乐上的皇帝！！！
32,音乐上的皇帝！！！
33,音乐上的皇帝！！！
34,一个新的时代开始了。
35,贫穷使我们相遇
36,学校信息课听了一整节
37,一个传奇诞生了
38,一个时代开始了
39,一个时代开始了
40,歌名：《可爱女人》
41,"[0,0,""1-1"",4.5,""五千万播放\n五千万播放\n五千万播放"",0,0,0,0,500,0,1,""SimHei"",1,""M345,338L346,338L347,338L350,338L356,340L360,342L360,342""]"
42,这样的甜蜜让我开始
43,"[""610"",""437"",""1-1"",""6.1"",""周杰伦"",""0"",0,""108"",""133"",""900"",""5"",1,""SimHei"",1]"
44,一个时代开始了
45,千禧年华语流行乐的代表
46,梦开始的地方
47,一个时代开启了
48,曾经以为杰伦吐字不清，后来才知道这特么是华语乐坛的天花板
49,一个时代开始了
50,有种青春叫周杰伦
51,欢迎来到周杰伦的音乐世界
52,一个时代的开启
53,"[0,0,""1-1"",4.5,""\n             \n\n\n\n                      我爱周杰伦！"",0,0,0,0,500,0,1,""SimHei"",1]"
54,"[""300"",""200"",""1-1"",4.5,""周杰伦"",""18"",0,""40"","""",500,0,1,""NSimSun"",1]"
55,"[0,0,""1-1"",""8"",""周杰伦"",""2"",""1"",0,0,500,0,1,""FangSong"",1]"
56,"[0,0,""1-1"",""8"",""周杰伦"",""2"",""1"",0,0,500,0,1,""SimHei"",1]"
57,却为何主动把手勾
58,一个时代开始了
59,"[""3"",""3"",""1-1"",4.5,""可爱女人"",""12"",""12"",""0"",0,500,""1100"",1,""SimHei"",1]"
60,"[""3"",""3"",""1-1"",4.5,""wu~"",""12"",""12"",""0"",0,500,""1100"",1,""SimHei"",1]"
61,唔～这句好怀念啊
62,从命名的让我感动的可爱女人
63,一个时代开始了
64,一个时代的开始
65,开天辟地的一声WOO~
66,开启华语流行音乐新时代！
67,"[0,0,""1-1"",""6"",""一个时代"",0,0,""500"",""500"",""1500"",0,1,""FangSong"",1]"
68,聪明的让我感动的可爱女人
69,出道第一支MV就这么撩人啊！
70,每天都在想着你，周杰伦！
71,一个时代从这里开始
72,欢迎来到亚洲流行音乐天王周杰伦的世界
73,温柔的让我心疼的可爱女人
74,这样的甜蜜 让我开始相信命运
75,"[0,0,""1-1"",""10"",""我要听一辈                                                        \n子周杰伦！"",""0"",""0"",0,0,""100"",0,1,""FangSong"",0]"
76,一个时代的开启
77,"[0,0,""1-1"",4.5,""WU~~~~"",0,0,0,0,500,0,1,""SimHei"",1,""M242,103L243,103L244,105L248,107L251,110L256,113L269,121L279,126L288,132L295,137L300,141L305,143L307,145L310,148L311,149L312,150L312,151L312,152L312,153L313,155L313,155""]"
78,"[""1"",0,""0.96-1"",""2.5"",""聪明的让我感动的"",0,0,""0"",""321"",""500"",""0"",1,""\""Microsoft YaHei\"""",1]"
