,弹幕
1,我会发着呆然后忘记你
2,我会发着呆然后忘记你
3,我会发着呆，然后忘记你
4,我会发着呆，然后忘记你
5,我会发着呆，然后忘记你
6,我会发着呆，然后忘记你
7,我会发着呆，然后忘记你
8,我会发着呆，然后忘记你
9,我会发着呆，然后忘记你
10,鬼姬03年的歌了
11,心里的眼泪～
12,我会发着呆，然后忘记你
13,我会发着呆，然后忘记你
14,我会发着呆，然后忘记你！！
15,我会发着呆，然后忘记你
16,我会发着呆，然后忘记你
17,我会发着呆，然后忘记你
18,我会发着呆，然后忘记你
19,演唱会的感觉啊啊啊啊啊啊
20,我会发着呆，然后忘记你
21,我会发着呆，然后忘记你
22,我会发着呆，然后忘记你
23,我会发着呆，然后忘记你
24,我会发着呆，然后忘记你
25,我会发着呆，然后忘记你
26,我会发着呆，然后忘记你！！
27,我会发着呆，然后忘记你
28,我会发着呆，然后忘记你
29,我会发着呆，然后忘记你
30,我会发着呆，然后忘记你
31,我会发着呆，然后忘记你
32,呜呜呜 过期糖我还能再磕
33,我会发着呆，然后忘记你
34,我会发着呆，然后忘记你
35,我会发着呆，然后忘记你
36,好像雷佳音哈哈
37,我会发着呆，然后忘记你
38,我会发着呆，然后忘记你
39,我会发着呆，然后忘记你
40,我会发着呆，然后忘记你
41,我会发着呆，然后忘记你
42,我会发着呆，然后忘记你
43,我会发着呆，然后忘记你
44,我会发着呆，然后忘记你
45,我会发着呆，然后忘记你
46,我会发着呆，然后忘记你
47,靠我都要哭了！
48,我会发着呆，然后忘记你
49,我会发着呆，然后忘记你
50,我会发着呆，然后忘记你
51,我会发着呆，然后忘记你
52,我会发着呆，然后忘记你
53,我会发着呆，然后忘记你
54,我会发着呆，然后忘记你
55,带来最后一首歌曲《鬼姬》
56,我会发着呆，然后忘记你
57,我会发着呆，然后忘记你
58,我会发着呆，然后忘记你
59,我会发着呆，然后忘记你
60,我会发着呆，然后忘记你
61,我会发着呆，然后忘记你
62,我会发着呆然后忘记你
63,我会发着呆，然后忘记你
64,我会发着呆，然后忘记你
65,我会发着呆，然后忘记你
66,我会发着呆，然后忘记你
67,我会发着呆，然后忘记你
68,感谢这样的时刻  依旧还能听到杰伦
69,我会发着呆，然后忘记你
70,我会发着呆，然后忘记你
71,我会发着呆，然后忘记你
72,我会发着呆，然后忘记你
73,今天1.18，祝杰伦生日快乐，永远幸福快乐健康！
74,我会发着呆，然后忘记你
75,直接梦回2004无与伦比呜呜呜泪目了
76,我会发着呆，然后忘记你
77,我会发着呆，然后忘记你
78,如听仙乐耳暂明！！！
79,我会发着呆，然后忘记你
80,是因为我太爱你！！！这句的改的调好暖！！
81,我会发着呆，然后忘记你
82,我会发着呆，然后忘记你
83,我会发着呆，然后忘记你
84,我会发着呆，然后忘记你
85,我会发着呆，然后忘记你
86,我会发着呆然后忘记你
87,我会发着呆，然后忘记你
88,我会发着呆，然后忘记你
89,我会发着呆，然后忘记你
90,我会发着呆，然后忘记你
91,我会发着呆，然后忘记你
92,我会发着呆，然后忘记你
93,我会发着呆，然后忘记你
94,我会发着呆，然后忘记你
95,我会发着呆，然后忘记你
96,我会发着呆，然后忘记你
97,我会发着呆，然后忘记你
98,我会发着呆，然后忘记你
99,我会发着呆，然后忘记你
100,我会发着呆，然后忘记你
101,我会发着呆，然后忘记你
102,我会发着呆，然后忘记你
103,我会发着呆，然后忘记你
104,我会发着呆，然后忘记你
105,我会发着呆，然后忘记你
106,我会发着呆，然后忘记你
107,我会发着呆，然后忘记你
108,我会发着呆，然后忘记你
109,我会发着呆，然后忘记你
110,我会发着呆，然后忘记你
111,我会发着呆，然后忘记你
112,我会发着呆，然后忘记你
113,我会发着呆，然后忘记你
114,我会发着呆，然后忘记你
115,我会发着呆，然后忘记你
116,我会忘记你，然后发着呆
117,我会发着呆，然后忘记你
118,我会发着呆，然后忘记你
119,我会发着呆，然后忘记你
120,我会发着呆，然后忘记你
121,我会发着呆，然后忘记你
122,我会发着呆，然后忘记你
123,我会发着呆，然后忘记你
124,我会发着呆，然后忘记你
125,我会发着呆，然后忘记你
126,我会发着呆，然后忘记你
127,生日快乐啊19岁的你
128,哈哈哈哈杰伦哥胖了，但还是好可爱，我一个07年的好爱
129,明天我过生日啦！祝我19岁快乐
130,我会发着呆，然后忘记你
131,我会发着呆，然后忘记你
132,我会发着呆，然后忘记你
133,我会发着呆，然后忘记你
134,我会发着呆，然后忘记你
135,我会发着呆，然后忘记你
136,我会发着呆，然后忘记你
137,我会发着呆，然后忘记你
138,我会发着呆然后忘记你
139,我会发着呆，然后忘记你
140,成熟的嗓音 温柔温暖
141,我的青春记忆！酸酸甜甜！
142,哈哈哈我会发着呆，然后忘记你。
143,我会发着呆，然后忘记你
144,现在的声音好温柔啊，好喜欢
145,我会发着呆，然后忘记你
146,我会发着呆然后忘记你
147,下次再见
148,我会发着呆，然后微微笑
149,有多少人的故事被唱在了这首歌里
150,谢谢周杰伦
151,我会发着呆 然后忘记你
152,哈哈哈哈哈
153,没人？
154,再来亿遍
155,这是什么神仙歌词啊
156,让我们欢迎特别来宾----蔡依林
157,你不唱了，我也爱你
158,此生最爱杰伦，其他人我根本不屑
159,鬼姬
160,带来最后一首歌曲，轨迹，谢谢
161,永远爱你杰伦哥！
162,梦回2004
163,胖了好多哈哈
164,减减肥吧
165,是那味！！！？
166,青春的回忆
167,超 为啥我会哭啊
168,伦我来了
169,我会发着呆，然后微微笑
170,让我不再想念你
171,我也是07！！！
172,鬼鸡啊草！！！
173,感觉歌里没大起大落的情绪了
174,原key！！！！
175,鬼姬啊啊啊啊啊！
176,鬼姬！！！
177,安静！
178,诡计，谢谢
179,上个视屏卡了，进来的举手
180,鬼姬！
181,hou
182,爷青回!
183,你们很配只是时间不对
184,下次是啥时候呀
185,鬼姬～
186,带来最后一首歌 诡计
187,他真的会发光
188,嗓子好了吗
