,弹幕
1,【圣地亚哥金曲】
2,早已不需要字幕了
3,你站的方位，跟我中间隔着泪，街景一直在后退，你的崩溃在窗外零碎
4,警官好！（乖巧）
5,有没有唱歌的灵魂
6,还有桃花石头
7,传说中的桃花难和桃花源记
8,罗老师说刑法还治不了你
9,快点借我就想到了司徒
10,看见你我就变成了冷空气炸锅
11,变成大西瓜
12,我不想去不丹和印度
13,还有第三颗小虎牙导致的
14,一个是不锈钢这个是一块冰凉的心
15,钦利铁也打不动你
16,三角恋结束
17,三角恋结束
18,我喜欢贴心的小棉袄那就是天蝎男朋友
19,喝大力不能解决的喝诸葛
20, 原谅我，因为英文写的不好
21,君不见黄河之水天上来
22,就考虑他他脱光光
23,音悦台 时代的泪
24,出门右转有惊喜
25,听到这个就想到二仙桥
26,以前总是听成等到天色看不到，你说的话莫名其妙
27,空输！忠诚！必胜！
28,你甚至不愿意请我喝杯奶茶
29,kei真的可爱
30,旋律一起就想起大学宿舍里的往事
31,仿佛回到了2016年
32,逝去的青春
33,诸葛、司徒：经验+3岂不美哉，不对串场了
34,姻缘劫知道的
35,姻  缘  劫！！！
36,我当初是玩橙光游戏知道这歌的
37,杰哥在哪里 我每天都在回忆
38,咬唇和鼓腮太萌了
39,这！就！是！原！唱！真心塞
40,哈哈哈有点羞耻，小时候真的好喜欢这首歌
41,卡恩不可以～你靠越来越近～～
42,当年的味道
43,因为太可爱了，多听（看）几遍
44,全体起立  DNA动了
45,走成华大道，到二仙桥
46,这首歌是个悲剧啊
47,男声唱的歌词我一句没听懂！
48,初中的回忆啊 哭了T﹏T
49,因为综艺五十里桃花坞来的
50,我当时想的场景是炒菜火锅店
51,小时候：徐良 许嵩 汪苏泷
52,声音和配的人都很可爱
53,你们橙光都是从姻缘劫来的吗
54,一听这个好像就在网吧上网
55,有谁是从橙光游戏知道这首歌的？
56,从铁嘴小宝来
57,传说中的桃花眼
58,好家伙，我手机响了
59,我走成华大道来的
60,这是以前初一听的，现在满满的都是回忆！
61,大家好欢迎收看谭谈交通
62,还说该走成华大道
63,你说你要飞到二仙桥
64,就问你怎么冷静
65,一上来问东问西
66,你离我越来越近
67,哈哈哈哈哈我也是姻缘劫听到的，觉得好好听啊
68,我从三国演义鬼畜过来的
69,竟然现在有六个人在观看/
70,这歌映像非常深和初恋一起唱的
71,非洲不发达，必须要掺金坷垃
72,想念你带我旅行
73,佛了，一看到就想起来王司徒了
74,圣地亚哥过来解毒的
75,香菱那个笑死我了
76,走成华大道到二仙桥
77,警官不可以～
78,当年去唱k总是点这首歌
79,竟然有二仙桥的道友，看来是很火了
80,从二仙桥走成华大道过来的
81,有从二仙桥来的吗
82,满满的回忆啊！
83,开口就是你们的青春了
84,香菱不可以，我不是吃的东西！
85,想起去网吧的场面
86,走成华大道到二仙桥
87,走成华大道到二仙桥
88,英语老师的手机铃声
89,我以前一直听这个，那时候听这个感觉自己已经恋爱了
90,想念你缓缓眼睛
91,你现在在哪，我们天都在想你！
92,小姐你是谁家的城堡
93,客官不给钱真的不可以
94,你这名字是要致敬白眉大侠吗
95,第一次听这首歌是中考后在我家这坐观光船听到的
96,暴露年纪的时候到了
97,从卖核弹的小女孩过来的
98,第一次听这首歌是高考之后军检的时候，进去之前听了好久好久好久！这首歌就是我逝去的青春啊！
99,有一说一，这歌质量挺高
100,回忆悲伤的借据
101,我倒，原来当时就预示了我的结局
102,以前听这首歌不敢再家人周围听
103,怀疑人生这个男声我是真的开了原唱吗
104,回忆一个搞笑的相遇
105,文艺复兴哈哈哈哈
106,你问我如何对敌
107,真的jio得好听呀，以前觉得好听，现在也觉得好听哈哈哈哈
108,感谢你口下留情
109,想念你带我侣行
110,加加特技我很满意~
111,一不小心寻到秋名山
112,大王 大王叫我来巡山
113,光头吴克的结局
114,在石家庄的相遇
115,我每天都在回忆
116,否则与你兵戎相见
117,请你走开离我远一点
118,你问我如何对敌
119,终于找到这个视频了，哈哈哈
120,鬼畜那个真有毒了解一下
121,诸葛：？？？
122,这个小姐姐好小好可爱
123,这歌前奏钢琴曲简直绝了!
124,看色号识国籍
125,我每天都在想你
126,突然想到穿越之姻缘劫
127,长按为客官加速
128,这个死亡芭比粉太哇塞了吧
129,初一听的歌曲，现在大学毕业两年了
130,这不是我们花kei吗？！！！！！
131,这不是原版!再说一遍这不是原版!这只是拍了一个视频，原声还是徐良，并没有进行翻唱!
132,磕瓜磕瓜磕瓜不可以
133,圣哥地地亚哥哥
134,梦开始的地方
135,《城堡》
136,小凌姐姐的声音真是又甜蜜呀又调皮呀！
137,终于可以开启我的恋爱宝藏
138,是小脚裤
139,DNA动了
