,弹幕
1,暂 无 途 径 获 取 
2,夺宝限定
3,《卡點的星球》
4,限定:活动剩余3日-首充11415元即可获得
5,掩  体  计  划
6,骑士团限定
7,官方限定
8,大佬登场
9,封 号 人 员 限 定
10,累计充话费50W限定
11,万圣节整蛊活动限定
12,累计充话费5W限定
13,神秘抽奖活动获得
14,火焰之树活动获得
15,新手村通关获得
16,《热死了》
17,那么问题来了 :这个人究竟站在哪颗星球上
18,官方测试人员限定
19,通过《流浪者.海王星》系列自动解锁
20,罗 辑 皮 肤 赠 送
21,史诗限定
22,预 言 石 板
23,璀   璨   之   环
24,大人：时代变了
25,《星 际 穿 越》
26,余烬副本限定
27,小人：你觉着你很幽默？
28,升 级 经 典 版——新年限定
29,限定:活动剩余3日-首充16888元即可获得
30,限  时  出  售
31,成就限定
32,新  春  限  定
33,星  球  大  战
34,幸运大转盘中奖礼品..春节限定
35,内 测 限 定
36,首   充   获   取
37, 带 火 星 的 小 木 条
38,天王星之前被陨石砸到翻了个头，就再也没正过来，始终是一个方向朝着太阳……
39,情   人   节   限   定
40,敬 请 期 待
41,中秋节限定
42,冰雪节活动限定
43,逃出风暴区活动限定
44,夏日活动限定
45,限时up抽奖概率提升皮肤
46,小人：我人都傻了 
47,把距离拉近更加震撼！
48,来自黑洞的压迫感
49,自然选择限定皮肤
50,【官方限定 彩蛋获得】
51,夺宝获取
52,中秋节限定
53,绝   版   限   定
54,内测限定
55,敬 请 期 待
56,流浪地球限定皮肤
57,海洋星球 活动限定
58,两周年限定
59,通过三块自信水晶获得！
60,掩体计划特别版
61,暗 影 之 湖
62,猩红要塞，救赎花园
63,活动限定
64,人类已经被锁死在太阳系了doge
65,卡冈图雅
66,《星际穿越》！
67,暂 无 获 取 途 径
68,榜     一     专     属
69,《warframe天下第一》
70,万  羿  巨  舰
71,大 撕 裂
72,你   试图  在黑洞的引力下存活    
73,地球守护神活动限定
74,换成黑洞(bush
75,《PLUTO》
76,换成武器A（
77,红岸引力波发射基地限定
78,世界末日限定
79,万圣节限定
80,哇，这个血色星球真的太可爱了。
81,通过《流浪者.海王星》系列自动解锁
82,【荣耀段位并连胜50场获得】
83,【完成特级任务获得】
84,春节限定
85,连续签到七天获取
86,血色玫瑰副本限定
87,登  陆  就  送
88,太阳：再说一遍，劳资是G型恒星，不是红矮星！
89,宇宙之眼兑换
90,海王电影限定
91,抽奖获得
92,首充获得
93,蓝钻贵族限定
94,流浪地球活动限定
95,中秋节限定
96,通关 “流浪地球” 环节即可获得
97,阋神星：冥王星你又飘了？？
98,圣诞节活动限定
99,中秋节限定
