,弹幕
1,开了飞行模式的手机
2,摄影师安全着陆
3,还抓了个俘虏回来
4,受害者视角
5,航模区最大的赌场
6,各位尊敬的旅客，我们的飞机正遭遇气流，请大家系好安全带，不要在客舱中走动，谢谢。
7,《硬着陆》
8,《飞行模式》
9,硬核转向
10,按【E】可将乘客投放出舱外
11,乘客和飞行员：我当时害怕极了！
12,认识，物理老考物态变化
13,再次深感高手在人间的真理
14,v1 抬轮
15,塔台塔台！我已进入跑道，请求起飞！
16,瑞   安   航   空
17,一架客机，飞特技也是天才
18,手机：不当人
19,飞出图两两的感jio
20,乘客脑浆子都摇匀了，最后颠了一下全员昏迷
21,达成成就：连续两次降落失败复飞
22,降落成功，四川8633
23,国航C919，跑道36R，风向西北，风速200，可以起飞
24,已滑行至跑道36R，请求起飞，国航C919
25,乌 鸦 坐 飞 机！
26,开始吟唱：逮飞户，嗨加斯币得比疯~
27,搬运工：近日，一外国小哥...
28,手机：这才是飞行模式
29,BBC：中国飞机均为纸糊
30,断三截航空（doge）
31,严丝合缝
32,有限责任公司（x）责任有限公司（√）（dooge）
33,损失一架飞机+一台手机
34,塔台：允许起飞
35,好家伙，漂移是吗
36,舒克快乐机
37,我已起飞，感觉良好，速度正常
38,↑正在加速，准备起飞↑
39,力大砖飞落泪
40,技术总监来了，这次稳了
41,有限责任公司
42,手机:做个人吧
43,《头等舱》
44,听又是炸机的声音
45,危 手机 危
46,山航式转向
47,博人传：我 顶级阻燃材料
48,货拉拉：我今天拉了架飞机你能信？
49,鸟：当时我害怕极了
50,此机未配备武器
51,差点侧翻哈哈哈哈哈
52,中国商飞C919，跑道36R，地面风200，可以起飞
53,今天的风儿甚是喧嚣。
54,二仙桥大爷:能飞只能飞一点点。
55,硬核航拍
56,货拉拉司机：运输过飞机
57,注意风切变
58,注意风切变
59,油箱未空，禁止降落（
60,下面放烟花就合理了
61,韩国航空：是谁在侮辱我?
62,中航：律师函警告
63,真·航拍
64,遇气流颠簸，请系好安全带
65,鸟：嫁了
66,技术总监在就很稳
67,乘客：我好慌
68,地对空导弹让我想起了烟花哈哈哈，正好凑一对
69,这个马赛克打的有意思哈哈哈哈哈
70,博人转：谁在侮辱我？
71,929才是大型客机，我们和俄罗斯一起合作研制的，过两年就会出现在大家面前
72,C929也在制造中和俄罗斯合作研制的大型客机，相当于空客A380
73,塔台：复飞延长三边等候指示
74,下意识按了一下f3（doge）
75,《请注意，您已进入中国领空》
76,《气跑丝滑》
77,《业界良心》
78,《业界良心》
79,哈哈哈，这只鸟懵逼了
80,飞机上的乘客表示降落当时害怕极了
81,手机被迫开飞行模式
82,气动布局瞬间爆炸
83,这个工艺精度相当高阿
84,c919  02R 跑道可以起飞
85,好家伙 复飞了！
86,飞得摇摇晃晃 我怀疑它撞过
87,请飞往春天的旅客提前到登机口办理登机手续
88,终于座上头等舱了
89,别把宠物放上面啊，万一摔死了怎么办（doge）
90,司机：我能吹一年
91,瑞安：订购一百架
92,好家伙，低空通场
93,简柏丞直呼内行
94,飞行员：二乔？
95,飞行员怕不是喝了两斤伏特加
96,毛式起飞
97,瑞安：懂了，这就买C919
98,联系离场幺两幺点幺，再见
99,降落成功
100,继续复飞
101,塔台：可以进场
102,按R切换电影模式
103,塔台：区域净空，可以起飞。
104,塔台：区域净空，可以起飞
105,手机：开启飞行模式，塔台，塔台，准备起飞
106,手机∶请打开麦克风交流
107,我小时候以为飞行模式是给出门忘带手机的人用的，功能请自行脑补。。。
108,手机:危！
109,逆风起飞利于获得较大升力
110,风  切  变
111,美国队长视角
112,蜘蛛人视角
113,鸟说：这是老子最牛逼的时刻
114,前  起  砸  地
115,战地1 机枪手视角哈哈哈
116,民航局警告：航线报备了吗
117,注意测风30节
118,重着陆！你停飞了！
119,落到架空线上就赔大了！！！
120,好家伙直接好家伙
121,真•瑞 安 硬 着 陆
122,这个角度好，手心已经开始出汗了。
123,遇到强气流了hhh
124,轰炸机自卫机枪手视角
125,懂了，C919是电动的（doge
126,复飞！复飞！
127,你们看视频世界7:47，B747？
128,西飞：小伙子明天来上班~
129,降落失败哈哈哈
130,硬   着   陆
131,高    级   气   动
132,飞友狂喜
133,飞行模式已开启请求起飞
134,真•飞行模式
135,飞出了战斗机的姿态
136,扎实落地
137,就是你小子用to/ga起飞的？（逃
138,拉飘了，复飞！
