,弹幕
1,玄学类文本
2,好家伙我语文75，作文45。。。。
3,确实啊，不知道语文课有什么用
4,《活跃本》
5,代入感很强已经开始害怕了
6,变的是内容，不变的是学习的方法
7,寒假只有9天限制了我的想象
8,夺命十九分
9,卷子都留着呢，每次烦烦，记积累的重点。感觉错题本太耗精力了。
10,《学渣》
11,这个BGM好像是一个BGM
12,熟悉的背景音乐……【doge】
13,求姐姐讲讲基础，我阅读长期不扣分，基础真的烧脑壳！！！
14,救命，那是你，少凡尔赛了
15,思路清晰，先说BP
16,开卷夺命9分有无？
17,2021年全国一卷已经变成全国乙卷了
18,具体问题具体分析
19,我最喜欢的学科就是语文！语文真的好有魅力！！！
20,格都及不了的文科生在线着急
21,从不把语文课当课hhhhhhh
22,兰花指就离谱
23,我靠感觉经常全对的屑）
24,《学渣》
25,对对对！就是这个度太难把握了！
26,bgm:trouble maker
27,救救我，语文一直九十多，真的好羡慕上一百的
28,考试错三道选择题这部分就占了两条
29,突然清醒
30,活页本（指正
31,文学类文本是指散文和小说
32,《星茶会》好评！！！
33,《学渣》
34,卧槽太真实了
35,王兰：语文等于自习课
36,论述类文本考的不是阅读理解能力，考的是语言逻辑
37,讲真，这个练习久了还是有效果的
38,《新概念学渣》
39,我们老师都不让裁卷子，学校会定期收起来检查
40,《人大的学渣》
41,论述真的是玄学
42,语文真的是要积累+技巧
43,总结：积累！积累很重要！！！
44,暂停下来看（doge）
45,太真实了，做这类题真的让人头疼
46,我甚至连模板都没有
47,《学—渣》
48,我两次九十必出一次一百一，铁打的规律
49,个人建议买刻刀裁剪，错题胶带真的不好用
50,我们这里也是全国一卷
51,有倒是有，只是放着积灰了
52,宕开一笔
53,语文课直接睡过去了
54,对对对每次跟答案相反绝了
55,九分从不失手doge
56,真实，语文课就是自习课
57,找老师要多余的空白卷子（狗头）
58,前边儿那个买了放收藏夹的，同乡呀！
59,快乐的时光总是短暂的
60,可能因为学的是理科……我第一次听说语文还可以弄错题本的！
61,我直接放弃语文专攻数学理综英语
62,你的起点是我梦寐以求的终点。。。
63,卧槽太特么真实了！
64,这个成绩在当年很高
65,原句VS改句
66,语文能及格我就烧高香了
67,从整体上把握全文
68,“从整体上把握全文”
69,人言否？？？？？
70,我们语文老师一直是这个思路诶
71,小蓝好像学出黑眼圈了！？！
72,《 伪 装 学 渣 》
73,论点，论据，论证
74,二模121高考95，就是放任不管全凭感觉的结果〒_〒
75,真实！感觉老师上课讲的课文和考试没关系
76,玄学类文本
77,不 这是玄学类文本
78,文学类文本是指小说吗……
79,语文居然有错题本？！
80,卧槽太真实了
81,BGM是滑雪大冒险的游戏BGM
82,聪明的我开始偷偷截图了
83,不是啊？第一篇阅读理解我一般五分钟选完而且一般都对哎
84,我们语文老师：语文是个玄学，你们自己学吧
85,语文从来没及格过哭了
86,我总是99到130反复焊跳，语文老师都那我么办法
87,总结起来一句话：玄学
88,主观题靠缘分得分选手
89,这是学校老师从来不会教的学习方法
90,灵魂疑问，主观题正常人能写出满分答案？
91,《学渣》
92,一年级孩子的妈妈看得津津有味
93,这部分我基本上没分
94,没事全国卷基本一样
95,玄 学 类 文 本
96,语文课写别的作业
97,小蓝友情客串
98,只会做主观题选择题一塌糊涂的我哭了
99,满分120，而我才88，这是一个悲伤的故事
100,90～120浮动哭了+1
101,哈哈哈哈哈哈哈哈小拇指灵魂
102,先泛读文章抓大意永远是不动的
103,《学渣》？？？？？
104,这里用到了最佳选项原则
105,仿佛看到了我自己
106,每次简答都直接死哈哈哈
107,好家伙我基本不听语文课哈哈哈
108,语文课写理综哈哈哈
109,《学渣的角度》
110,《学渣》
111,害怕 夺命九分 太真实了
112,我们寒假结束了，已经开始上课了
113,这次期末b卷阅读题的6分主观题我拿了满分！（人生中第二辉煌时刻）
114,能让我我不想学语文的唯一途径就是老师上课不理我不点我发言
115,字迹真的可以练的我寒假因为作业写了一本字帖，字公整了很多
116,真的真实，语文选择题错8个
117,我们学校考清华的大佬语文才126的样子
118,这就是我！每次失分总在这！
119,倒计时100天慌慌张张
120,我主观题一直满分，为此也付出了很大努力
121,真实！！！
122,感觉更像是笔记本加实例
123,恭喜你发现宝藏！
124,进收藏夹吃灰吧（doge）
125,全对模块（狗头）
126,我是硬核阅读写答案这个必要拿到分
127,物理比语文分高现实
128,语文一直不好（已放弃）
129,太可爱了小蓝哈哈哈哈哈哈哈
130,噩梦，每次都错两个或者三个
131,俺，因为俺爸妈都是高中语文老师（
132,高一语文100上下……我哭了……
133,我高一到高二语文50分到120哈哈哈哈哈还想再救救自己
134,我感觉训练中的语文题都跟玄学一样
135,玄学类文本
136,黄字励志，希望搬的不是金砖（doge）
137,好的，这就关掉
138,《就很干》
139,我咋想到了啵啵了呢，笑喷我了
140,《嘘！王老师来了》
141,王老师我不想学语文了，你教我跳舞吧
142,上课起立！王老师好！噗哈哈哈
143,一博：没表情的，就很干，对吧？哪有表情的呢...
144,卧槽，这里这么多我的情敌吗？！
145,前方高能，啵啵出场
146,啵啵惊现！     啵啵的词儿哈哈哈笑死我了
147,啵啵的台词哈哈哈
148,我太难受了，以前语文年纪第一，转文之后老师教书水，语文就掉了
149,真实，上课都在睡觉
150,《   伪   装   学   渣   》
151,真的我裂开了我平时分数也达不到70
152,我们老师说这个靠运气。。。
153,最高126哭了，人生巅峰
154,过于真实了！！
155,切，我最低都考了60多，但还是要学，因为是中国人
156,我去，我昨天才做到莫言的《朗读与呐喊》，好家伙就在你错题本上哈哈哈哈哈哈哈
157,关于你背的模板和答案完全不一样这件事。
158,我们老师简称夺命九分
159,我们老师简称夺命九分
160,就是我了，以前语文课上课天天写作业，现在考试60多
161,新高考慌了
162,那我就…关掉了，打扰了
163,上次语文123分但平常上课都没怎么听
164,幸运二选一
165,还有文本真的看不进去
166,主要是我们现在语文老师很差……
167,《学渣的角度》
168,哈哈哈哈原来我不是一个人
169,寒假还有两天，我刷到了这个视频
170,因为我老是感觉有些东西复习资料上有，所以我懒得去记在笔记本上，但其实遇到错题，我也懒得去翻书，根本不知道在哪
171,人间真实
172,和我语文错题思路一样
173,写完了笔记就吃灰了
174,枯了，我语文就没上过100
175,语文老师专门给我们整理了
176,不懂……但是江苏高三语文130非常难
177,玄学类文本模块
178,不要说130了120都上不了
179,语文最高128，最低66（无语）
180,人间真实
181,语文三十多怎么办？？!
182,有时感觉题目很简单，但多看几眼就做超时了
183,《满分》
184,自从换了老师，语文从128掉到99，难受
185,无论怎么做语文都无法及格
186,语文这次只有八十几（高三了）真的想知道怎么提分
187,语文不需要错题本，而需要笔记本，就是积累语文知识和答题模板
188,主要是作文
189,语文在班里排倒数，裂开
190,语文加油
191,可恶上课都听不明白
192,语文老师姓王
193,王老师我不想学了
194,《学渣》
195,《学渣》
196,《很干》
197,一博听到他会……
198,《新高考》
199,夺命小九分
200,码住 第一遍听懵了 以后再来
201,个人觉得没用（背了就忘考试的时候也想不到）
202,学会了
203,听分类已经晕了
204,好真实简直了
205,↓觉得语文成绩随缘我本人
206,↑语文也有错题本我本人了哈哈哈
207,语文一直一百多 初中经常考九十五作业
208,害，高二了一直稳定在90多
209,而且选择题是很抠字眼的，这种练多了是真的有用 
210,对啊，我一直觉得是玄学！
211,把卷纸打孔在错题本上然后标注可以防两面错
212,怎么办语文课一直划水
213,“学渣”
214,天呐主观题全都是随缘答
215,2年了语文一直都是一百零几，还有救吗
216,太真实了！！！！
217,高一语文87已经想死了
218,BGM是滑雪大冒险
219,。。熟悉的bgm，三年学校广播。。。。
220,复印
221,九年级的我看的津津有味
222,我考完试卷就画花了
223,@学石油的语文老师
224,这样一道题整理一个小时怎么破
225,选择题写得好就很稳了
226,语文常年110慕了
227,及格线徘徊
228,四川最后一届旧高考生：……
229,语文上次139！！！
230,矛盾的特殊性，具体问题具体分析doge
231,江南十校联考贼折磨
232,好想提高我的语文成绩
233,人间真实了
234,但语文但凡你能拿130拉开天的差距
235,太真实了!!!
236,有道理
237,高中语文110到120之间
238,摄像头给我拆了！！
239,高中语文靠着初中的基础稳居120+
240,语文成绩一直上不去
241,笔法灵活
242,那为什么暑假中的我看到了这个视频
243,请问怎么上一百（）
244,初一，满分120，常年徘徊在80（哭死）
245,哈哈经常误打误撞
246,学渣表示真的第一次听说语文也要错题本
247,新高考麻了
248,真实，太真实了
249,真实到不能再真实了……每次都纠结到底应该深入考虑哪个点
250,背面有用就去复印下就好了
251,说到心坎里了！！！
252,痛哭流涕
253,永远的120多（泪）
254,九十五分上下浮动的我
255,确实确实人间大真实
256,正反都是错题，不知从何下手了
257,这个我强烈推荐董腾老师，讲这个讲的非常好
258,忽高忽低？我直接从年级第一到120名
259,我觉得衡水中学学霸笔记不错，特别好理解，我说的是语文
260,up主很棒呀
261,有错题打印机呀，做手帐也蛮方便的
262,我也不听语文课，全写作业了，作业太多了
263,我感觉论述类比散文好多了
264,《这就是我》
265,语文不及格的我哭了T﹏T
266,好家伙，各位都是来报分的吗
267,语文还能搞错题本！牛逼啊！
268,语文常年120+选手 可惜的是从未上过130QAQ
269,语文最高119hhh
270,声音好听诶
271,我这次突破历史最低65了妈妈
272,笑死，语文全靠选择题，对的多分就高，对的少分就低泪了
273,凡尔赛的小姐姐
274,我没上过90。。。现在已经高二末了
275,"我以为答到点上就是0分,我觉得没到点上就是满分哭了"
276,是了是了 我老觉得自己120是老师放水
277,救命太真实了
278,在矛盾的普遍性原理指导下具体分析矛盾的特殊性
279,如果试卷是双面的，且背面的内容还有用，应该怎么办？
280,高一语文87我已经没救了
281,绝望，老师根本不讲这些要靠自己去琢磨
282,想都不敢想130，这在我们年级是神话啊
283,真实，就是我本人没错了
284,有那种错题胶布，透明的，贴在题上面撕下来，可以不用撕试卷
285,我们老师总是告诉我们能写多少套路写多少套路
286,以前我总觉得看错题本是无用的，看来是我错了
