,弹幕
1,同种电荷相互排斥
2,数学老师
3,手速惊人阿老师
4,光明正大的使用魔法
5,《 伏 红 惠 》
6,伏 黑 惠
7,我们老师就读了一遍课本原画让我们记……
8,禁止在麻瓜面前表演魔法
9,禁止对麻瓜使用魔法
10,霍  格  沃  茨
11,使数学老师漂浮在空中
12,你骗人！你是魔术师，你会使用魔法
13,数学老师=静电章鱼
14,禁止在麻瓜面前使用魔法
15,对数学老师有向上的排斥力
16,忽地想起了《刻刻》里的树人
17,三维展开
18,静电章鱼
19,数学老师，我刚开始还真以为数学老师，一脸懵逼
20,丝玻正，毛橡负。老师交的到现在还记得！
21,领 域 全 开
22,禁止在麻瓜面前使用魔法
23,《正电章鱼》
24,对数学老师有向上的排斥力
25,禁止在麻瓜面前使用魔法
26,电   子   羊
27,数学老师
28,数学老师
29,当时物理老师要是这样我至于睡觉嘛
30,数学老师得到电子，带负电
31,羊毛失去电子带正电
32,羊毛摩擦数学老师
33,羊毛摩擦数学老师
34,数学老师
35,？？？禁止在麻瓜面前使用魔法
36,想起了被丝绸与玻璃棒支配的恐惧
37,塑料丝=数学老师（空耳）
38,这个我熟
39,代入感很强，已经盖上被子了
40,霍格沃兹的老师
41,好家伙，老师你是台球玩太多了吗，哈哈
42,当再次将数学老师提起来时将绝杀
43,要用魔法打败魔法
44,有趣到我每节课都睡觉
45,不可以在麻瓜面前使用魔法
46,真羊毛假羊毛
47,学好数理化走遍天下都不怕
48,这个绿色的垫子是绝缘的
49,总有人假装以科学的名义施展魔法
50,给男孩子报什么拉丁舞唱歌画画弹钢琴，学这个才是正道
51,这是魔法！这绝对是魔法！（doge）
52,出现了！蜘蛛球，快使用数码宝贝蛋逮捕它！
53,我悟了，这就去建悬浮列车
54,看这架势我就知道要讲解静电了
55,出现了！静电章鱼
56,【树料师】
57,熟料管也带负电
58,pvc数理化
59,数学老师
60,数学老师带负电
61,输卵管也带负电，对数学老师有排斥力使数学老师悬浮在空中
62,物理学家诞生​
63,不要急，马上就表演魔法
64,卧槽
65,知识就是力量
66,我觉得是静电海胆
67,这我熟
68,数学老师太强了
69,这是同种电荷相互排斥的原理吗？
70,我听成宋亚轩
71,哈哈哈哈哈哈哈静电章鱼
72,到二仙桥
73,领域展开
74,我一个文科生为什么看得那么开心
75,迫害数学老师
76,数学老师哈哈哈哈哈哈笑死我了
77,当年我怎么没有这样的物理老师啊？
78,老师你会魔法吧？
79,数学老师在空中
80,说了什么我怎么听不懂
81,树料师
82,我直接好家伙
83,数学老师漂浮在空中
84,物理挺快乐的，物理题挺痛苦的
85,伏黑惠
86,。？？？
87,数学老师厉害了
88,闪电五连鞭
89,提前，卧槽
90,物理老师有趣但物理不有趣
91,蛮快乐的哈哈哈
92,三维展开
93,狠人
94,数学老师飞起来了
95,飞碟那个认真的吗....
96,知道原理，但还真没试过
97,这不是吃串擦签子的我吗
98,伏黑惠
99,这是同种电荷相互排斥的原理吗？
100,伏 黑 惠
101,卧槽魔法
102,这是魔法！！！
103,混入其中
