,弹幕
1,《初音未来的消失》
2,动力强劲
3,我特意暂停然后乐的哈哈哈哈哈
4,初音未来的消失
5,姆爷直呼内行
6,Eminem！《Rap God》
7,名场面
8,名场面
9,英国人：我不行。
10,咕噜咕噜~
11,《你肯定不行》
12,笑容逐渐僵硬
13,喷气式超强巡航发动机
14,《6秒说8句英文》哈哈哈哈哈哈哈
15,《你可以6秒说出8句英文吗？》
16,来了，这个笑死
17,《初音未来的消失》
18,师傅别念了.jpg
19,青出于蓝胜于蓝
20,这位老师好温柔
21,BGM：Talk-khalid
22,小朋友好可爱，像愤怒的小鸟一样
23,这个睫毛是真实存在的吗！！！？？？
24,感觉…听到了医生医嘱的语音版
25,《rap god》
26,《rap god》
27,太帅了！太可爱了！超级迷人！啊啊啊
28,国家一级英语教师
29,经典永流传
30,哈哈哈哈哈哈哈已经知道是谁了
31,这个简单啊，我直接给你调成二倍速（dog）
32,安妮海瑟薇哈哈哈
33,令人回味无穷的嘴角笑死哈哈哈哈哈哈
34,BGM:talk
35,经典咏流传
36,哈哈哈哈差点头笑飞了hh
37,《你肯定不行》
38,突然get到他的帅
39,BGM:talk——（khalid，disclosure)
40,一模一样哈哈哈哈哈哈
41,姆爷直呼内行
42,这是rap吗hhhc
43,记得2021年的第一场雪
44,初音ミクの消失
45,理塘英语角的老师
46,BGM：Talk
47,你的英语更清楚，更容易听懂（doge）
48,前方高能笑死我了
49,我决定了，我也要当这个老师的学生
50,让阿消来念（经典快口）
51,已经开始笑了，专业选手来了哈哈哈哈
52,英语听力考试开始
53,好家伙，阿姆来了
54,不，我只需要你们说得更慢（doge）
55,笑死我了我已经开始笑了
56,《初音未来的消失《》
57,职业选手禁止参赛
58,《大悲咒》
59,名场面
60,up好可爱哈哈哈
61,姆爷直呼内行
62,哈哈哈哈哈哈哈哈哈毫无违和感
63,砍油踹？！
64,好的，已经订购了一卡车安安了
65,我现在只能听懂德式发音的英语
66,这个挑眉安妮海瑟薇本薇了
67,这期怎么让高考抱听力的人看到
68,上头哈哈哈哈哈哈哈哈
69,这是2003年的第一场雪～～～
70,你不要笑得这么温柔啊啊啊啊啊啊啊
71,经典永流传
72,不，最重要的是应对考试
73,这个笑好暖
74,战术扶眼镜框
75,禁止掰头
76,这里的BGM是someone you loved
77,这里的BGM是someone you loved！
