,弹幕
1,曾老师应该是胃肠外科的
2,我解剖课上有一次有幸参观了研究生解剖后还没处理的大体老师。不知道是不是福尔马林的味道。。。就算开着排气扇，我下课后还是屏蔽了厕所的味道。。。
3,辛苦啦，从此后看你的视频都点赞投币
4,这种急诊早就了医生伟大的光环
5,然后几百块钱分给麻醉科医生和护士一部分，医院拿一部分，自己拿的并不多
6,哈哈哈，投个币安慰你一下
7,知识改变命运
8,所以你们不觉得护士才是最辛苦的吗？什么事情都要做
9,哈哈 曾医生好幽默
10,休息！他说的是手术室！不是手术间！
11,哇，原来我们影响还不是最底层啊
12,是个人都能命令麻醉医生
13,知识只能改变命运所在的场所
14,当初规培轮胃肠肠梗阻最后都是让我洗标本，永生难忘
15,神外医生笑而不语。。
16,就好像我们工科里认识一个环境工程的，他们那个简直了
17,卑微哈哈哈
18,好有味道啊！得画面
19,有谁能跟夹层比吗？一台十小时起步
20,康复最底层了
21,原来关节的价钱医生还有提成，我以为都是按照手术难度和时间来算的
22,那急诊的不得没地位了
23,曾医生是眼部护理的专业医生
24,你这是命中注定啊
25,“有幸”跟上过一台肠梗阻手术，这辈子不想再上了
26,以前我妈说不好好读书去搬砖，我学了土木结果又去工地搬砖了
27,花3万医生又不会赚3万。。。
28,我只为了派克这两个字，当医生，我觉得值
29,向普外科医生致敬，我们真的需要急诊医生～
30,急诊医生辛苦了
31,首先向白衣天使致敬
32,临床药学才是最底底端
33,主任在你背后。
34,老师常说：劝人学医，天打雷劈[doge][滑稽]
35,派克：不好意思，我就是主任~
36,多么痛的领悟
37,哈哈哈哈哈哈真的视频逐渐走搞笑风格
38,我一边yue一边笑一边给普外科医生鼓掌
39,肠梗阻哈哈哈哈哈，掏吧
40,现在是知识改变嗅觉
41,消毒供应中心
42,这是一段有味道的视频啊
43,麻醉科：？？？？
44,投币一下哈哈太惨了
45,辛苦你了哈哈哈哈哈哈哈哈
46,同行呀就不要互相扎心了
47,感动了，辛苦了大夫
48,还好我离开麻醉科了不用和普外急诊搭班了哈哈哈哈
49,辛苦了有内味了
50,骨科贵在耗材，但是现在医保规定耗材0加成
