,弹幕
1,张总也进B站了，应该刷到过
2,哈克说:“他竟然说我是个两面派！”。“非常错误，”伯纳德说:“毫无保密意识。”
3,反复鞭尸
4,反复横跳
5,律师看上瘾了
6,我还以为认知就是机密
7,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 地理的笋都让你挖完了
8,不仅不下架，而且还放新的，哈哈哈
9,试用期开除就是商业机密
10,除了第一个因为提了公司名被下架了以外都还在
11,在任何时候取证录音，是不需要通知对方的
12,他们律师是背后的英雄 他们在帮你！！！！
13,逻辑自洽饭~
14,666啊，各种学习了
15,这是犯法还想着拉同仁
16,苟富贵，勿相忘，好兄弟哈哈哈哈哈哈
17,怕了怕了怕了哈哈哈哈
18,哈哈哈哈哈哈硬核催更！
19,经查，好家伙，这是要造反啊
20,压榨员工的商业机密
21,认知女郎又来了
22,让我在意的是B站还真下架了   
23,哈哈哈哈 律师其实满满转粉了 
24,经典硬广hhhh
25,真的怕了诶，律师咲洁洁你怕咩……
26,他们认为法律最终解释权归公司所有
27,这变声后再上传就是b站教的，同仁的力量2333
28,律师：暴露了
29,商业机密就是 试用期准备过解雇员工！
30,什么狐狸叫，狐狸的叫声明明是大楚兴陈胜王
31,催更，哈哈哈哈哈
32,这个它们就很有灵性了
33,夺笋啊，笋都没了哈哈哈哈哈哈哈
34,人家说你暴露商业机密就是这句话啊2333333
35,反复鞭尸
36,应该聘你回去当法务
37,整个山的笋都被你躲完了
38,桐人：轻视我？这就到你家拉刀光！
39,它们还给你一键三连
40,是哪家公司，兄弟们把它打在公屏上
41,反复鞭尸
42,怕了，亲爱的律师同志
43,这个猫咪叫，我乐了
44,这家公司这句话严重违背了我国网络健康协议的定义，建议起诉
45,你暴露了这个公司白嫖试用期员工劳动力的商业机密(斜眼)
46,反复鞭尸
47,怕了（手动狗头）
48,我好像明白他指的商业机密是什么了
49,律师在疯狂吐槽:你的认知是什么？
50,我现在最爱的up主，追随到底
51,哈哈哈哈哈哈哈哈你真是人才
52,等事情了结了，去应聘律所吧
53,商业机密是要做保密措施的
54,你还捎带黑诺奖和美利坚总统，你完了，哈哈哈
55,商业机密:公司是怂包，它怕了
56,他们才是你最忠实的小粉丝
57,哈哈哈哈哈太草了！笑死
58,自己查自己可还行
59,哈哈哈哈哈哈，因为有你这样的人，世界和明天才值得期待，加油！
60,和某国外胶布如出一辙的画风
61,哈哈哈魔法才能打败魔法
62,可能这公司靠坑员工发家致富
63,时代进步就是因为有无数进步的青年
64,怕了 怕了 哈哈哈哈哈
65,卧槽他们可真棒啊
66,怕了怕了哈哈哈哈哈哈哈
67,好家伙还打个广告
68,我是说熊猫怎么饿的嗷嗷叫，原来你把笋都夺完了
69,我怕死了，我要告它用恐吓我
70,门禁 关办公室 就是机密
71,哈哈哈加油啊律师同志芜湖，年度大瓜啦
72,我喜欢，我也是真实走过劳动仲裁的人
73,原来程序员都长这样哈哈哈哈哈
74,过于真实hhh
75,这句话是商业机密
76,小心他们会用极端手段
77,偷偷录音“证据确凿”
78,慢慢来，慢慢薅
79,终极反杀
80,商业机密就是随意开除员工可以节省成本
81,你这消音意义何在哈哈，张总一出直接全懂
82,怕了，律师同志，另谋高就吧
83,神助攻！哈哈哈哈哈xswl
84,商业机密就是试用期开除白嫖劳动力
85,怕了怕了哈哈哈哈
86,绿色 健康 小清新
87,只有魔法才能打败魔法
88,商业机密:他们怕了
89,某公司出书:《你的认知是什么》
90,商业鬼才
91,哈哈哈哈哈哈哈绝了笑死我了
92,没点视频前以为是女声哈哈哈哈
93,反复鞭尸
94,懂了，公司不让任何员工看公司规章制度是机密
95,总感觉这是律师行业的二五仔
96,机密就是“随意开除并威胁员工”，也就是承认了
97,“狐”悲
98,清醒一下 大势所趋 
99,错了不是拼夕夕是某多多
100,看第二遍哈哈哈哈哈哈
101,完了，合伙骗律师费实锤。
102,碰到大佬了，他们后悔死
103,哈哈哈，这波广告猝不及防，两头堵，哈哈哈
104,反复鞭尸
105,古奇古奇，怕了怕了
106,好家伙……我直接好家伙……
107,商业机密：他们怕了，哈哈哈
108,无故解雇员工就是商业机密！
109,猪摸摸和hr给我锁死
110,猪摸摸和贵司律师给我锁死
111,果然试用期开除就是商业机密
112,噗，素材来了鬼畜区的兄弟们
113,哈哈哈哈哈，up太有趣了
114,《认知》
115,《商业机密》
116,本来其实挺严肃的，我也打算认真看这个视频，结果开局一个猫叫直接给我整笑了
117,我们公司从来没加班费，裁员也不给赔偿，一句
118,戳到痛点开始急了，哈哈哈哈
119,商业鬼才
120,装窃听器背地里录音才不合法
121,当面交谈时偷偷录音是合法的！
122,不不…这句话才是“商业机密”
123,真有，辞退试用期员工就算
124,似李～～诸葛村夫！
125,朵笋呐，哈哈哈哈哈哈
126,“你的认知是什么”警告
127,同仁估计看了在吐血中
128,律师想多赚律师费么，哈哈哈
129,希望能让更多的打工人看到
130,哦，怎么办，我好怕怕呀
131,建议和罗翔老师合作一下
132,只有自己碰到了才发现大家真的需要团结起来
133,甚至推广起了自己的产品！
134,怕了怕了哈哈哈哈
135,暧味关系没双引号（doge）
136,私人认知化身商业机密，再放送23333333
137,居然不给关注和三连过分
138,说出了律师的心声，哈哈哈
139,就是专门顾新人再免费炒掉这个商业机密啊
140,律师羞愧的低下了头，哈哈哈
141,故事发展越发清奇爱了爱了
142,好家伙，你可太秀了
143,反复鞭尸
144,让这些侵犯了劳动者权益的家伙长点记性
145,反复鞭尸，哈哈哈哈！
146,你好坏哦 我好喜欢
147,他们敢在试用期开除up主这件事本身不就是他们的“商业机密”嘛~
148,他们在看就已经很棒了，至少你达成了你的目的
149,反复鞭尸
150,怕了怕了，律师通同志
151,嘿，还特地声明一下哈哈哈哈
152,它们就是怕弹幕
153,还能学到怎么处理声音，干活！谢谢律师
154,来了来了，认知来了
155,看到了b站，群众的呼声
156,太好玩了，第一次看这种风格的视频，还是误打误撞
