,弹幕
1,感谢野生字幕组，给每一个没有声音的孩子带来帮助
2,小白参加各位大佬，加油！！！
3,这收藏量就离谱
4,直接开始入党流程
5,毕业论文要用C++
6,噩 梦 开 始 的 地 方！
7,活着就是为了摸鱼
8,收藏从未停止，学习从未开始
9,《轻而易举》
10,咸鱼也有梦想！加油
11,感谢底部翻译大佬。
12,那么并且在每个阶段过后呢，也都会有相关的案例来给大家巩固每个阶段所学到的知识点
13,挂科了，现在补救一下
14,《从0到1》
15,从入门到转行
16,除了最后的项目已经学完了，回来投个币，感谢一下
17,从入门到放弃系列
18,第二部分  c++核心编程
19,《轻而易举》
20,算了，全寝室人都知道我在偷偷内卷想成为黑马了
21,亚洲潮流
22,为大作业的学生管理系统而奔波
23,从下载到卸载
24,人活着就是为了摸鱼
25,轻而易举？
26,自学到c指针   c++比c高级 我就来了 《狗头》
27,零鸡雏，学挨踢
28,我是来练听力滴
29,每日一刷，以表恩情
30,每一句其后面必定加一个“啊”
31,从入门到放弃
32,《简单》
33,梦开始的地方，逆天改命，fighting！！！
34,从入门到放弃
35,还有一百个朋友在看
36,当我看到右边的（1/314）时我TM学什么C++老子不学了
37,点进来第一件事直接投币。
38,奇迹一分钟
39,今天又结束了，感谢老师分享
40,C++编程从入门到入土（）
41,《只要》
42,从入门到放弃
43,感谢底部野生翻译君
44,听清楚呦！  只是入门呦！ 三百多节入门呦！要跑的抓紧呦！
45,这个字幕里的诶 就很灵性了
46,最难的语言。。
47,入门到入土系列
48,C++，，从入门到放弃
49,本期课程到此结束，感谢大家观看字母/doge
50,都会对你有所帮助，能够带你轻松入门C++
51,一步一个脚印
52,那希望大家呢，在学习过程中能够踏踏实实，啊
53,并且提高我们的开发能力
54,可以帮助我们复习之前所学过的内容
55,主要的知识点
56,在这个案例中呢，诶，涉及到了三个阶段中主要的知识点
57,老师啊还设计了一个大型的案例叫机房预约系统
58,主要内容复习到位，好
59,也是非常精彩的一个案例啊，可以将我们第三阶段呢
60,这个阶段的相关案例呢叫作演讲比赛案例啊
61,当然，大家也不用担心只要我们把前两个阶段内容掌握过后，啊
62,这个阶段啊，如果你直接去自学还是有一定的难度的
63,啊，老师可以负责任地告诉大家
64,以及STL的一个基本的使用
65,叫泛型编程
66,诶，主要学习的是C++另一种的编程思想
67,那这一个部分呢
68,叫C++提高部分
69,而我们的最后一个阶段呢
70,来巩固这个阶段所学到的内容
71,这么一个案例
72,当然，学习过后我们也会写一个叫职工管理系统这么一个案例
