,弹幕
1,Dave是David的爱称（doge）
2,二进制确实无法精确表示1/3
3,确实，我在宿舍自习
4,工作快五年的非科班程序员
5,gdb可以直接在命令行里这么输代码运行的吗？？？
6,计算机领域CMU就相当于神一般的存在
7,数组在内存中也是线性存储的
8,相当于模
9,来上课的都是巨佬
10,可以看看ieee浮点数原理
11,这就是大佬的格局
12,用vs code的终端试了可以
13,先看出还是先看视频
14,我只是个摸鱼密码
15,感谢这门课，20年五月份学习，现在已经拿到腾讯offer，寒假前来二刷
16,这说的应该是北大西南角外边的中关村新华书店
17,清华OS课程也是实现一个OS
18,喜欢启发式教学
19,外国名校基操，OS课程实验是自己写一个OS
20,千年虫问题了解一下
21,第一节课是拿来告诉你评分标准的（
22,以前看过什么课好像说的是超出位数了，进位变负截断重新算，不知道理解的对不对
23,这要看计组连线以及页置换
24,当然是直接操作机器码
25,震惊，我发现我们PPT就是这个的翻译
26,这内容含量快赶上我们几年学的了
27,多复习一天嘛哈哈哈
28,这就是大佬和普通人的区别
29,毕竟学费在那摆着
30,大四选手表示这基础课也太难了吧。。。
31,这个数组和double是连在一起的，你数组小越界其实在访问double的内存了
32,没有溢出，但是改变符号位了
33,几乎所有的老师讲到溢出时都会提起那个惨痛的教训.....
34,美国正版教材有时高达几百美元
35,好巧我也是关山口的
36,然后所有R评分的学生组成了一个组织叫做R星
37,大一看的纸质版，大二来学这个，相见恨晚啊
38,这个群保持结合律
39,三目运算符应该算一个if，我感觉他们想直接操作位运算
40,ssh外部应该连接不上，要不然10台设备岂不是炸裂
41,《碰巧》
42,硕士老板送了一本这个书
43,c里面初始化数组速度是真的快，直接内存里面初始化
44,这种情况比较巧合，不需要长度对其，需要长度对其内存分布更麻烦
45,关于我转行变成程序员这档事打卡
46,没想到整数表示范围
47,一般学校都是形式大于内容，严肃起来那还浪费更多时间和精力
48,大佬说的明明白白
49,一起学 加油各位
50,导致第三个格子是d转化为byte后的前四个，直到最后一个格子还有一个统计这段代码使用了多少格子的标记，读取它会发生错误
51,哈哈哈，解决方法：用Java
52,我们教授也说要三遍，不理解的甚至七八遍。。。
53,double是占两个INT所以23都是它的一部分
54,读两遍比一遍不知道效果好多少
55,惊呆了，世界名校，真是堪称恐怖，瞬间感到了和他们的巨大差距
56,一个细胞在说话
57,China可没有18个助教，一个教授两个班，100多号人呢
58,md，看着看着我以为我真的在这里上学.....
59,经典Misc选手[狗头]
60,卧槽，真巨佬啊
61,草，居然把debug工具用来当计算器
62,这可真是太巧了哈哈哈
63,语法树查重吗，太狠了
64,你哪来的账号和密码啊233
65,英文字幕可能是机翻然后二次修正的;中文肯定是自己配的
66,GDB当做计算器用，学到了
67,哈哈哈哈果然作者头像印书上都记不住
68,巧了，我住在关山脚下
69,怪不得homework部分找不到答案
70,全村的希望
71,要你看官方文档的节奏
72,多了一个人来看了
73,这里是指最小的负数没有对应的正数的意思吗
74,电子书+B站课=白嫖 2333
75,第一节课点什么名，去最后一节看看
76,对，门口那个是教室里唯一不懂计算机的《狗头》
77,CTFer可还行，摸鱼pwn手路过
78,c大佬：谁说c不可以面向对象？
79,我一般都是跪着听，并且下课给老师们一人磕三个响头。
80,贵系的，受不了你清老师讲课了
81,因为编译器生成了保护数据的缓冲区
82,字幕翻译纠正：我意识到在我的职业生涯中已经输入过很多次这五个数字了
83,这些书的翻译都特别生草
84,我觉得我应该跪着听，膜拜大佬
85,只是从来不翻开hhh
86,和开源没关系，只是要完全自己独立完成作业，才能正真学到东西，保证了课程的质量
87,结果溢出了，所以可能是负数
88,这个和计算机组成原理有关系不
89,解决方法建议使用java ruby python哈哈哈哈
90,基本基础的书：CSAPP，计算机组成，network和OS还是买了纸质书的
91,C++现在也支持索引的边界检查，只是使用这种方法会降低运行速度
92,《非常受欢迎》
93,最可怕的噩梦
94,这一堂课可太贵了
95,过于硬核
96,坎巴拉太空计划
97,cmu的学生也要读三遍，何况我们。。。
98,我们学校只是期末作弊被送回家
99,好硬核的课
100,意思是总有同学在期末的时候找借口要延迟考试
101,超级大佬
102,立刻去试了下
103,没错这就是大佬
104,太秀了，哈哈哈哈哈哈哈哈哈
105,例二破坏了局部性原理
106,人家虽然管得严，但是人家助教多，作业文档清晰，有问题可以很快得到解答，再看看国内...
107,a[2]访问了浮点数d的前四位
108,门口的大佬换人了
109,二进制就是只有计算机中表示
110,重修，太真实了
111,与人性的弱点进行持续不断地斗争，必须赞~
112,超出表示范围了
113,内存溢出笑死了
114,全村的希望
115,教授：白嫖我的书，不给我钱
116,你没有？我有！
117,有钱了以后补票
118,学到了知识之外的东西，如何做人！
119,读了一年master再补这个课
120,好像限制了只有八种运算符可用
121,另外一个大佬 手插着插了一节课 哈哈
122,数组越界之后，修改了d的值
123,可以问做什么，不能问怎么做
124,怀念还能去教室的日子
125,好幽默哈哈哈哈哈哈
126,全村的希望
127,有幸能听到老师的讲课
128,C也是高级语言啊好吗，它不是面向对象，但是它是面向过程编程
129,这部分是计算机组成原理的内容
130,遇到了技术瓶颈，回来好好巩固一下基础
131,迟到罚站的哈哈哈
132,程序的局部性原理
133,minecraft：我的游戏里不存在bug，那些都是特性
134,所以电子设备用久了读取的速度也会变慢
135,三目运算符是 if 语句的语法糖，本质上还是 if 语句
136,《笔记》
137,"这里的logistics 应该译为""统筹安排""吧（来自朗文词典"
138,工作一年非科班的来补基础啦
139,三位运算符呢？哈哈
140,"A regularly scheduled instructional session, often led by a student teacher or teaching assistant,"
141,应该是余玛溢出了，第一位进位成0了
142,浮点计数法
143,按这规则中国多少学生会被开除。。。
144,这门课不需要很多c语言基础，但需要了解基本语法
145,学到数组存储方式以及函数调用栈的变化会知道这个的
146,开始点名，长沙理工大学前来报到
147,连续两次面试被问到操作系统了 来补课
148,绝了，小数不全是真的，绝了
149,从来都只读一遍。。。
150,46人正在看，程序员们都熬夜学习吗
151,此时办公室、邮箱和TF就很关键了
152,中关村图书大厦哈哈
153,这个字幕感觉是自动生成然后机翻的
154,fun（4）的指针跑到结构体外去了
155,dizzy是错的，应该是busy，意为忙碌，全局意为：后半学期，你可能会很忙（因为其他科目也要花大量的时间，这时你就需要宽限日）
156,面向返回编程
157,这个课程的实验我都是看博客的。。
158,真正的大佬
159,网易公开课上说了，Google翻译+人工校对
160,深入了解计算机系统这本书就是他俩写的
161,写这本书的两个大佬啊
162,因为北大大二要学哈哈哈哈
163,可以在做完之后学习别人的优秀代码，但是作业必须是自己的独立想法吧
164,没有bug当然令人激动
165,卑微贵校学子来康康原版
166,指挥部:61min开始讲教学大纲
167,大家是怎么配合视频来看书的
168,大部分小数，比如2.14转换成二进制，需要无线个01组合。但计算机资源有限，只能有限个01组合。
169,这里什么神仙没有，我觉得这很正常，毕竟这里的这学科排名世界前三
170,所以前来补原版哈哈哈
171,这门课在本科大三学到，真的改变了很多想法
172,"二进制确实没办法精准表达十进制的小数,所以导致产生了浮点数精度的问题.但这里的问题是像上条弹幕所说的""资源有限""的问题,所以才导致了溢出"
173,那大哥下课直接走了
