,弹幕
1,同楼下炒饭涨了一块
2,焦虑
3,很蓝的啦
4,每月1000发到18岁吧
5,很蓝的啦
6,很蓝的啦
7,城市天际线(doge)
8,游戏关服前活动特别多doge
9,10w我考虑考虑
10,现在就是带着大宝6个月，又刚怀上二宝 心累 
11,看完了才发现不关注是对的
12,很蓝的啦
13,一个月1个W估计会有人
14,目前我觉得最好的方法就是放慢脚步，
15,作为建筑设计师，我已经失业玩了一个月了
16,不！
17,我还以为10000
18,失业了反而冷静下来了
19,保住你的头发最重要，关爱发量协会温馨提示！
20,最恼火的反而是3岁以后
21,一千块？十万块可以考虑一下
22,不！
23,万物尽头都是考公
24,2：20开始的bgm是什么
25,不愿意，我现在都为二套房发愁，主要还是没时间和精力
26,很蓝的啦
27,很焦虑，我自己都过不好。怎么有勇气找另一半
28,一千块不够干嘛的啊
29,不不不想生的只有100%和0%
30,我年终奖直接没了
31,主要是没对象
32,………………完全走神了
33,中餐才是最健康的好吧
34,每月零食玩具加上三餐两点心最少两千，幼儿园一个月另算
35,不愿意，必须18岁每个月补3000
36,重新回到那个有梦想的时代不好吗？毅力和决心
37,我保我自己
38,我现在都没有还要未来干嘛
39,很蓝的啦
40,一胎的补助可以哈哈哈
41,天堂的尽头是考公
42,用计算机算一个模型出来取最佳值
43,涨疯掉了
44,现在5G和当初4G差不多快，感觉5G快是因为有人让4G变慢了
45,5G之后，除了4G明显变慢，没有其他感觉
46,提高生产力
47,很蓝的啦
48,这音乐一起 我就感觉来到了三体
49,很蓝的啦
50,很蓝的啦
51,我想知道这段的bgm叫啥名字
52,不加BGM更好
53,我家小卖店，过完年所有东西都涨价了。
54,很蓝的啦
55,结不起婚的我……算了算居然加起来要百万
56,很蓝的啦！已经结束咧！
57,很蓝的啦
58,露天冒烟，2到5千
59,已经失业啦！已经失业啦！
60,模式一直没有变过，只有多上项目一种模式
61,吃饱无忧万幸
62,给我请一个保姆可以，或者有靠谱的托儿所
63,新增长点：冰雪活动
64,楼下炒粉又涨了一块
65,很蓝的啦
66,很蓝的啦
67,人间清醒
68,这种事，想全都要的结果必然是全都得不到
69,中庸之道
70,现在还有加上对铁链的恐惧
71,最多只生一个
72,没事，我同学已经5个月了哈
73,江山要保
74,保科技
75,在大学里，你问问室友报过班没
76,保结婚吧
77,最后的四字箴言，正在做。
78,研究生已经毕业的我 依然迷茫 挣扎
79,我发现用了5G后4G很明显变慢了，以前真的没有这么慢的
80,背诵全文
81,现在才想起来输血 晚了
82,别啊，再涨wifi都用不起了
83,很蓝的啦
84,保科技
85,厚礼蟹
86,你所热爱的
87,在补
88,不生！
89,土木快跑
90,又来了阵痛
91,你得做成了才能叫中式套餐啊，不摸索等天上掉方案？
92,罗师傅新政
93,保江山
94,船大难掉头，但也不是不掉头。
95,信心比黄金更重要，但我还是选黄金
96,大学生太多了，但是技能够的又太少
97,莫名其妙～没有什么比上网更重要了是吧
98,保科技
99,我全都要
100,很蓝的啦
101,根本不是问题，吃喝玩乐度过一生就好
102,累了累了
103,边边角角
104,这是哪个城市
105,我爸是科技套牢，他因为这事还短期出现心病了
106,凯恩斯
107,以前的补习班只是大家下课后一起去写作业
108,我让你这俩都保不住！
109,上大学到免费可行！！
110,当然都保啦！
111,钝角
112,听君一席话如听一席话
113,我办公室7个人6个在考公
