,弹幕
1,赚的是 信心，相信房子会涨价，然后甘愿击鼓传花
2,该折的就折she掉了
3,赚的印纸的钱
4,庞氏骗局
5,公务员A的房子是国家分的
6,现在老年人折我们，等他们老了，一定要加倍卖人工啊！
7,击鼓传花
8,也可以理解为交换劳动力吧
9,背后有一个大手偷偷的把房价60%装进自己兜里
10,庞氏骗局
11,真没那么简单，每次快崩的时候，印钞机就开了
12,除非成为打工人卷王
13,我在指望彩票买房
14,所有金融都是离谱，所有离谱都是庞氏
15,外来还贷款的年轻人的钱
16,所以房子一跌最后那个人就崩溃，
17,生育率断崖，未来哪来人给你折
18,资本利得
19,不要在当期尝试获得你不匹配的东西，恶魔在后面会来临
20,击鼓传花
21,A挣得是A自己的远期折现
22,击鼓传花
23,超发的货币呗
24,发展下线
25,讲的很明白
26,我就打算自我消化 为了住 负担的起就好啊
27,钱的购买力递减也要算上的
28,泡沫经济
29,然后泡沫经济就开始了？
30,……房价这种收入属于我赚的是别人亏的那种吧
31,有道理
32,囚徒困境
33,发型像大师
34,一二线城市不缺人
35,问题在于根本没有价值生成
36,人口减少是唯一变数
37,纽币
38,懂了，我被折现了
39,卷起来了就
40,不错讲的
41,银行才是赢家
42,通胀也是一个要素
43,精辟
44,将货币交易改为时间交易，工资所有人以时间结算，银行存储每个人劳动时间，将是一个全新的世界
45,击鼓传花，庞氏骗局，愿赌服输
46,大佬一语中的
47,所以当代年轻人无了
48,赚的买房人后几十年的房贷
49,万物基于传销啊
50,收房租收利息现代新型地主
51,时间
52,大部分都是银行利息和买房交的税
53,我悟了
54,我悟了
55,当期的 人生  更多的年轻人
56,交换时间 要工作 你会发现
57,恍然大悟，谢谢您
58,恍然大悟，谢谢您
59,妙啊
60,6个钱包
61,等着崩盘，希望硬着陆，
62,银行白赚20万
63,时间
64,击鼓传花
65,所以，现在的房子已经需要折现八个钱包的未来了，没有上涨空间了
66,其实老师还有一个东西避而不谈x的凭什么我亲爱的祖国的折现率这么高
67,击鼓传C4
68,赚的是你给我打工。。。
69,资金时间价值
70,俺也一样
