,弹幕
1,不结婚不生孩子的永远就只有那几个
2,我在这买房，无疑是蜉蝣撼大树
3,利好股市等金融市场
4,蓝白说的明白，分析得透彻，信息丰富而准确
5,那些刚毕业的拼命往一线跑，不涨有鬼了
6,是的我的富豪朋友开始逐步在北京置房了，都两套了
7,刚需还是要买啊，总该结婚过日子啊
8,下次通胀一定要借钱买房
9,银行可以破产了
10,银行可以破产了
11,原来催更使你感到
12,其实只要一线城市买不起房。。人口就会流动了到二三线城市了！！！
13,把风险从银行转移到人民的钱袋子，干的真妙呀
14,背景音乐:Promise  山冈晃
15,反手一个赞！
16,房子价格会变泡沫
17,卡单视角
18,完全没懂会对自己产生什么影响，听了个寂寞
19,上升通道被焊死了
20,所以买房子越来越难贷款了？
21,口袋开始收口
22,转嫁到个人身上了
23,羊毛出在羊身上，风险最后转移到消费者身上，
24,好家伙，赶紧跑路
25,老家的大门也迈不进
26,钱会从银行流进实业，然后再从实业流入房地产
27,lpr还没尝到甜头 就被坑了
28,不是卷，说白了就是让下一代背锅
29,分析的很到位了，但仍然只是表面分析
30,感觉限制的还是普通人
31,长沙：没我的事
32,经营性贷款都是用房地产抵押的
33,问题来了，年轻人一套房那么高利率？
34,关注了，作为一个从业者，瑞思拜
35,到头了还是刚需的人买单。。。
36,问题就是各种贷款最终流向还是房地产
37,永动机  在中国可以实现哈哈
38,你要知道，我们买的房子只有七十年，七十年后还要再掏钱，惊不惊喜意不意外
39,你说的太好了
40,三元九运 诚不欺我
41,但凡家里能有相同工资的钱，我也不往北上广跑啊
42,城中村自建房居民表示吓的瑟瑟发抖。
43,是缩水8/9……
44,会玩，意思消费者压力越来越大了么
45,一套房一台车，中青年生活就没有了色彩
46,供需关系不变，限制开发商没用
47,国家现在的大方向不是开发 而是保护
48,应该是相减的关系 而不是相加
49,未来一个人的出租屋会有很多人
50,其实是先知先觉
51,两眼逐渐失去焦点
52,永远都是后知后觉
53,果然lpr是个大坑
54,不生孩子是最好的反抗 
55,实际是与既存利益者的博弈
56,沙哑磁性的声音
57,一花开，百花杀
58,做，好好做，做好每一件事
59,这种金融游戏就离谱，背离了按劳分配的宗旨
60,他涨的还是少在疯长一倍，多好我就不用考虑买了
61,不啊，我们三线城市也一直在涨
62,这个兄弟的声音像是芒果冰的音线
63,现在大部分的钱在房地产困住了
64,祖上三代的积蓄都的拿出来
65,汽车撞墙了知道拐了
66,两三年内房子涨的会慢点
67,太晚了，已经很严重了
68,哈哈哈哈，让大家住街上
69,听了个寂寞
70,钱是最聪明的，放心他总有办法流到最赚钱的行业的
71,其实是防止贷款进入金融市场。
72,房地产商就是最黑心的企业家了
73,为了国家崛起资金必须流向高科技实业
74,老家的大门永远向你敞开
75,我都是全款然后抵押套现
76,唉！没房的也得跟着倒霉了
