,弹幕
1,《全乡都知道这事》
2,高秀敏和范伟表情变化
3,他为了押韵随便哼哼的，很多小品都有这种梗啊
4,乌克兰被俄罗斯揍了
5,给后面的节目省出了宝贵的时间——你可以说之后的整个大忽悠系列都没有深度，但是卖拐，是有的，只是时代不同了很多人不知道
6,因为真的是寓教于乐的成功作品，于是年底上了辽宁卫视的春晚，到央视春晚时本来是另一个作品
7,范伟捧哏基本功也可以的
8,鬼才何庆魁
9,喵：是鱼就归我管，甲鱼也是鱼
10,高秀敏老师这不知所措的表情
11,高大毛楞
12,航空母舰从乌克兰买的，不是俄罗斯
13,《搂够了》
14,还使眼色哈哈哈
15,谁问你了哈哈哈
16,潘子你把握不住
17,本山大叔这几个表情，真的神演技。
18,航空母舰：你礼貌吗
19,负责任的讲：辽西地区的“难个”意思就是“挨个”
20,抱歉没听清：他给什么发布精神？
21,人民对于航母的憧憬
22,押韵狂人何庆魁
23,不愧是念诗之王！
24,记上，掉炕了
25,人走了意思是要赶客了
26,哈哈哈哈 调对上了
27,高秀敏老师的笑声23333
28,铁三角效果太强了
29,跟以前的小品接上了
30,范老师报了同学会的仇了
31,这里体现出夫妻感情好，话还没出口丈夫就知道说啥
32,大家注意扔衣服，设计的如此自然啊！
33,瞬间变脸
34,高老师笑得太有感染力了
35,铁三角巅峰之作
36,范德彪早期小品净演官儿演范儿了
37,以前东北农村脱鞋上炕就是鞋放窗台上
38,哈哈哈哈哈哈哈这台词太经典了吧
39,产房传喜讯，人家生（升）了
40,三个影神同台飙戏
41,这里就发现是是赵老蔫了
42,现在乡长知道他俩是谁了，侧面说明乡长是个实干家
43,必须是四句诗，讲究
44,鞋扔炕上了
45,赵老蔫
46,跨服聊天
47,这里把鞋当甲鱼炖，后来马大帅里赵本山扮演老太太唱戏，不慎把鞋丢酱缸里还咬了一口
48,这个包袱 绝了
49,隔壁吴老二退出直播间
50,开头简短明了交代背景
51,《我 让 你 回 家》
52,潘子把握不住
53,！！注意高秀敏之后那一低头嘀咕，传神！
54,铁三角巅峰之作
55,乡长其实认出来了的
56,他正在俄罗斯谈判 要买一个航空母舰 赶紧造出鱼塘来 我好回来抓紧时间训练
57,《我领你认识认识诶》
58,这些小品梗能用一辈子
59,这眼神跟我爸在外喝酒我妈去拉回来那眼神一摸一样
60,这个表情变化神了
61,这一段三个人的表演仔细想是非常难的，同时进行的台词动作，最后汇合到一点
62,台词写的好，这几位演员的台词功力更是恐怖
63,又纯朴又势利，入木七分
64,暗中观察可还行哈哈哈
65,就看这航空母舰这一段
