,弹幕
1,姑苏城外寒山寺，夜半钟声到客船。
2,走位和郑少秋的笑看风云不分伯仲
3,这一年我爸妈相亲了
4,两年后有个靓仔诞生了
5,那几年最火的几个小伙，无外乎毛宁和费翔，帅的惨绝人寰
6,好有年代感的舞步
7,还有记忆，啊，我流逝的青春啊
8,妈妈生前最喜欢的歌
9,这身西装真的好帅，永不过时
10,灯光师打光都不往脸上打的吗？
11,啊啊啊，这个男生已经帅到成为全国男生情敌
12,曲词唱。都美，出来数学到，上年纪，一直爱​
13,小学的时候老师教过这首歌
14,我这张旧船票能否登上你的破船
15,天呐！这大辫子！好多头发！！！
16,他算是中国初代city boy系艺人
17,我们以前学这个舞，哈哈哈
18,月落乌啼总是千年的风霜
19,春晚一直都是现场直播的
20,这首歌想起了《帝女花》
21,那时候我还在村里放羊
22,我这张旧船票还能否登上你的破船
23,这张船票好贵
24,天呐，又高又帅
25,毛宁当年可是顶流
26,霸哥的别走！说道说道
27,这时候我爸才十七岁
28,哇仿佛回到童年
29,那时我还上幼儿园
30,还记得林依轮说，毛宁不会跳舞，但他有那个范，给人感觉好像很会
31,歌词和唱的都顶级
32,原来那时候就唱跳了
33,人都没出来就喊帅了哈哈哈哈
34,宋丹丹：这个必须能登上！
35,一听就是真唱，跟录音室不同
36,现在才能真正感受到歌词的魅力
37,我这张旧船票，还能否登上你的破船
38,这服装放现在也很漂亮啊
39,回忆好像回到这个年代
40,舞虽简单 但非常有意境！！
41,他当年真的好红啊
42,看看人家陈小奇失眠写出了这种千古绝唱
43,当时听完这歌秒变小迷妹，旋律优美动听
44,从小妈妈就说毛宁是真的很好看！
45,第一眼看成了沙溢
46,我这张旧船票还能不能登上你的破船
47,不知道我这张旧船票还能不能登上你这条破船
48,我这张旧船票还能否登上你的破船
49,在春晚看过后就一直喜欢这首歌
50,童年回忆回来了
51,以前的春晚引领时尚，现在谁红请谁
52,以前的歌星真的是有颜值有实力
53,我这张旧船票还能否登上你的破船
54,可惜了这个人帅声绝的歌手
55,我敢肯定现在春晚一定用100个人来伴舞
56,那会的流行歌手，真的是颜值和实力都有
57,毛宁是体育生，又高又帅
58,这时候已经出生的人真是幸运
59,毛宁好端庄大方
60,我在美好的九十年代只存在四年
61,毛宁好像高配霸哥
62,毛宁那时是特别的火，这首歌我奶奶都会唱
63,96哈哈哈从小听我爸唱到大
64,我小时候俺爹经常哼唱，哇
65,第一次听到这歌，是我爸爸唱的，到现在还记得，觉得爸爸唱的最好听，不接受反驳☺️
66,现在春晚都出不来这种好听又脍炙人口的歌了
67,一首歌一个故事
68,mv里那个眼睫毛。。我惊了这颜
69,以前的歌词为什么那么有艺术气息啊
70,这句月落乌啼老经典了
71,记忆中的第一次春晚。。。
72,我九六年的   每次去卡拉OK都会点的歌
73,小时候看家点歌台经常看到这个，太熟悉
74,90年代充满想象的年代，相信以后会比90年代更能充满想象。
75,那年我还在喝孟婆汤
76,那会都是录播，技术达不到对全场控制
77,有种功夫里斧头帮的感觉
78,出生后看过的第一场春晚，当时大概只有两个月大。。
79,我这张旧船票还能否登上你那破船？？
80,还没出生，错过他最帅的时候
81,经常听老爹唱哈哈
82,又没实锤！怎么突然就消失在大众视野了！可惜了
83,春晚是直播的
84,早期春晚是地麦
85,他本来前途无量的
86,不用跳舞都有带动全场的效果
87,涛声依旧，哪见当初的少年
88,这支编舞真的很有意境，太美了
89,后面还有一位
90,走位莫名好看
91,确实，这走位惊呆我了
92,最有感觉的就是女主一开始离得好远，在后面好孤独的样子
93,我的天，他的歌一般人唱不了，调太高了
94,气球哥气球哥气球哥
95,那年我后妈说我一岁了
96,跟着气球哥来的
97,等我半年我就来到这个世界了
98,这声音太好听了
99,那时候我在哪都不知道。
100,这歌过去29年了
101,这首歌曲适合在海边唱
102,后面这个是保剑锋
103,人红是非多，被黑的太惨了
104,那时候我还不到一岁
105,那个时候还不懂欣赏音乐，听到我老爸的磁带常有这歌
106,带围巾这么帅除了许文强，他是第二个
107,围巾又回去了？
108,当年内地偶像第一人吧
109,那个年代的舞蹈，比现在所谓的流行舞有韵味多了
110,那时还是个细胞
111,黑设会老要登上你的破船
112,没事儿走两步
113,这一张旧船票能否登上你的破船
114,我的旧船票能否登上你的破船
115,现在根本没有这样的词了
116,93年初中，班主任教的这首歌
117,中秋节了
118,神TM顶配霸哥
119,看起来好像广场舞
120,可惜后面走了一段弯路
121,后面伴舞也是大长腿哎！
122,这首歌之后广东歌曲开始流行起来
123,毛宁真的帅
124,为什么还有弓箭步
125,《破船》
126,这年我出生了不是过年
127,那个年代，观念还比较陈旧，苦了他了
128,第二年围巾卖的太火了
129,再也没有这种感觉了，现在的歌
130,带走一盏渔火
131,现在春晚都没有爱情歌曲了
132,足球运动员转行
133,所以，不会唱歌的厨师不是好的跨栏运动员
134,当年的歌作曲好听，词也很有深意。
135,这舞步也很经典
136,以前的美人真真的就是美人
137,那年六岁
