,弹幕
1,这不是反人类的Mathematica吗
2,面积等效原理（
3,《首》
4,二维码增加马赛克（确信）
5,114514个（bushi
6,提手旁
7,一个黑块
8,结果：一堆叠在一起的“？”
9,哇，基岩！
10,众所周知，一边大一边小就是黄金比例
11,仓颉：纯粹吃饱了撑得
12,怎么，最后一个字是畔
13,你会看到叠在一起的汉字
14,变成一个真正的方块
15,西夏文：你礼貌吗？
16,《绯》
17,刚才谁有看见旁边繁体字的挂(掛)
18,基于图像位置分布的汉字字体设计方法研究
19,日本除掉汉字的部分就只剩鬼画符了
20,我看见了明明 是迪！！
21,@巴迪老师 
22,2³²
23,韩国：汉字在申请了思密达
24,我看见彁了 (bushi
25,使用不同铅笔涂答题卡时的你（Doge
26,“禮”我看到了这个……
27,我看出了四个字：中华文化
28,我看出了四个字：中华文化
29,我看出了四个字：中华文化
30,截图选老婆
31,字幕字体：《将故事写成我们》
32,隐隐约约看到一个“德”字
33,我打小就好奇这个问题
34,看了半夜，才从字缝里看出字来，满本都写着两个字‘吃人’
35,这只是黑体，楷体、宋体、隶书都会得到截然不同的结果
36,你会得到一个基岩。
37,能从这个模糊的墨块里看到整个中华文明
38,雍正王朝
39,日韩网友：真的吗！？我不信，
40,好聪明！
41,我看到『喔槽离谱』了
42,我看着像压力的压……
43,奇奇怪怪的知识增加了
44,我才明白这里头有咱们每一个人的名字诶（突然发现
45,懂了，报宋这么细是为了省油墨
46,我横竖睡不着，仔细看了半夜，才从字缝里看出满本都写着“吃人”！[doge]
47,元素周期表!!!!!（bushi
48,一个“口”里面一个“非”
49,韩国每个人的身份证上都中文名
50,奇奇怪怪的知识又增加了。.
51,カタカナ:。。。
52,最左边明显是个担心的
53,就是叠起来的程序
54,《巴基斯坦中考三千词汇》
55,我看到了“囚”
56,微软雅黑为了低分屏显示效果
57,隐约看到了野兽先辈
58,最后听了个寂寞
59,四块基岩（doge
60,↑基岩那个笑死我了
61,等等，字喃呢？？？
62,会变成一坨黑块
63,众所周知，中国字是方块字，笔画太多叠在一起就会变成→■
64,熊猫头表情包！
65,熊猫头笑死我了……不能直视了
66,草书叠一起整一个
67,一张图火爆一个视频系列
68,影流之件
69,我看到了 “扭”
70,学了编程，这确实算非常短了
71,奇怪的知识又增加了
72,感谢每一个中文字体设计师！
73,《短 短 几 十 行》
74,草，哪个缺德的说熊猫头，我回不去了
75,长沙有位爱莲老师就是女书传承人
76,65535，多么熟悉的数字~
77,韩国，又名偷国
78,横竖撇捺的概率？
79,太棒了，我逐渐理解一切
80,孩儿们，把“吃人”刷起来！
81,得到一个二维码
82,我一个文科生突然激起了想学程序，代码，指令的欲望
83,哈哈哈哈哈哈第二个 隐隐约约看到了 呐
84,这就是跨纬度思维的开始了
85,奇怪的知识增加了
86,把不同的汉字叠放，超量召唤！
87,三连你挡到我了
88,会看到叠在一起的汉字
89,世间汉字八万个，唯有情字最伤人
90,所以所有具有相同笔画的字叠在一起。会不会就是那几笔画。
91,一个黑色的墨团（doge）
92,会成为一个方正的黑块
93,无论哪个我总能看见一个很明显的提手旁
94,韩国人:中文是我们发明的
95,另外，雅黑是非商用字体，在视频中用这个容易被方正喝茶
96,会得到一个二维码
97,会得到一堆“下次一定”
98,字里行间只有两个字——吃人！
99,耐心看完整个视频，会有独特收获
100,我认识这个字，它读作“马赛克”
101,《只   有》
102,看起来像熊猫头表情包
