,弹幕
1,一拉就撑开了
2,放入右手动脉
3,我在用！活命工具啊
4,支架进医保了，可喜可贺
5,已经开始疼了，体验很强
6,拆完赶紧给我装上
7,打气搋子呢
8,谁特么的会买个心脏支架回来，然后吃干燥剂。。。
9,顺着股动脉往心脏送
10,灭菌是有有效期的
11,生平第一次看到这个
12,bgm：g大调弦乐小夜曲
13,还缺个压力泵
14,把这玩意儿泡热水里会涨开啊！
15,血压上去了，需要装支架
16,不通是血栓（doge）
17,过期的医疗用品不能用的，而且医保谈下来的价格是一个几百，现在不贵了
18,硬核
19,血管堵塞的 用他往里送弹簧圈
20,往里放的导管啊伙计
21,抗凝 滤血栓
22,Atmosphere，大气压
23,这个非常的支架啊
24,气相色谱柱
25,红米心脏支架，年轻人的第一个支架
26,形容词大师
27,七八千国家压价了
28,没事，下次用酒知道咋用了（狗头）
29,工作压爆破压
30,股动脉、桡动脉进去都可
31,配着这个BGM食用还真是。。。
32,另  类  开  箱
33,《Read me.md》
34,一切都来自于最初那个把一根针从手臂打到心脏的狠人
35,这玩意儿是往里面打造影剂充压的，不是打气空气，不然在血管里打爆球囊就凉凉
36,撕包装的手法错了，里面本来无菌的都被摸完了
37,正常，这也是个释药系统
38,血管进，连通部位
39,病人：快把我呼吸机拔了！
40,他形容词一直这么狂野吗
41,《理论上》
42,乍一看还以为是螃蟹
43,做手术时这个导丝另外收费的
44,草 那个螺丝已经很小了
45,吹几个大气压哈哈哈哈
46,穿个白衣服更显专业
47,可以从大动脉穿进去到心脏
48,我总感觉bgm是要上课了……
49,这个估计以后公司要出一个官方开箱啦
50,我被局部麻醉的时候见过这东西，超恐怖
51,手术里要扫码的，属于高耗
52,说爆血管的，你血管里压力很大的！而且你的血管承压也很大
53,美式单兵口粮mre
54,导丝导管球囊支架
55,不是导丝是推送杆！
56,词 类 活 用
57,过期六年了，当年应该还挺贵的
58,那个钩子是防止金属丝损伤血管壁的
59,我还以为这么大个包装本体这么小呢
60,语言艺术哈哈哈
61,硬核开箱
62,非常的形容词啊
63,各种词类活用……
64,不会太痛，从手腕的静脉进去到心脏血管，我装过
65,这是送支架的导丝
66,里面的气囊用高压泵加压就撑起来了
67,组成支架的零件太细了
68,公共场合，禁止套娃
69,我仿佛听见了珍草堂广告的声音
70,漏气了不就爆血管？（安装时）
71,不会过期，直接长在血管内皮里了
72,金属的小铁器……谁家铁丝是塑料的
73,导丝，植入用的。
74,形容词：光纤
75,看到精密仪器四个字瞬间精神了
76,装回去，七天无理由
77,1万元……没了……
78,它看情况打气压，让他达到合适的直径
79,直径不得变四五倍
80,那是保护钢丝，防止支架损坏
81,这个支架是微创首创，有专利的
82,抽出来，这是支架的定型
83,这不是套娃，这是清洁的这层。
84,用法：根据所选所选血管不同，从不同位置开刀
85,真：词类活用
86,这个不是用超声波撑开的吗？
87,微米级都能串细胞了xswl
88,非常的塑料
89,一个标准取款机撑起来
90,介入手术
91,压力泵，美敦力，强生，麦瑞特，都有这玩意
92,导管，导丝
93,硬核家真的是什么都有呢 
94,不对应该叫示意图来着
95,微创，支架用导丝送到一定的位置
96,好家伙我姥爷差点用这个
97,之前总是从医院拿回带血的报废支架
98,人家里面是消过毒的
99,非常的铝哈哈哈哈哈
100,心脏压力不大你的jio就没得血了啊
101,蕾丝刀
102,通着的可还行
103,从虎口到手腕那根血管进去，直捅心脏，通通堵住的地方，然后找到狭窄的地方一撑
104,从手臂血管伸进去，然后到达血管，把血管撑开
105,放进动脉血管里面，防止心脏要么脂肪堵塞其心脏，血液通过心脏的支管相当于支撑作用
106,suv轮胎也就打3个压，这玩意竟然要6个
107,股动脉只是备用一般手腕动脉进
108,蕾丝刀
109,手套戴的也不专业哈哈哈哈
110,这东西会过期，那心脏支架做完在血管里过期咋办
111,年轻人的第一个支架
112,应该是用造影剂撑起来的
113,手术室不用这种手套，哈哈哈
114,拆了就废了，卧槽！！！心疼
115,验证了泡沫清洗剂加上这个管可以清洗非常细小的零件非常的好用
116,这个干燥剂，非常的铁
117,强迫症可能要疯
118,不是终结暴利，是以量换价，不然企业谁和你谈
119,吹6个大气压哈哈哈哈
