,弹幕
1,提醒一下：还要保证播放PPT的电脑装有这些字体
2,角角：这个我熟
3,独角兽:你干脆自己报我名
4,你以为我是字体，其实我是图片doge
5,自己写最安全
6,指的是商用，不是个人使用
7,角角直呼内行
8,我特喵直接自己手写
9,（那么现在有多少正版win）
10,阿里好像有部分字体是仅限在他们平台商业使用
11,记得以前有人被告过，就是因为视频字幕有版权
12,免费的最贵
13,仿宋 宋体 雅黑这些用在cad会让图纸变得很卡，少用
14,KDE使用的Noto系列 开源
15,两份律师函↑（实诚）
16,纠结视频侵权者，了解一下“合理使用”原则，详见著作权法第24条
17,见广告退出
18,腾讯不愧是你
19,有生之年必须买一套额刀必的正版软件
20,1
21,每次都手写
22,字体当然可以商用，字幕就算，之前独角兽就赔了
23,说了一大堆都困了，咱能不能直奔主题
24,Noto、文泉驿、更莎
25,主要是中文这种一个字体字库就要几千上万字的太难了
26,奇怪的恶人又增加了
27,明白了，现在去学书法
28,1
29,方正的字体收费了多少年了
30,所以这段视频素材得到了授权吗
31,大红隶啊，火车站都在用(x
32,有个app叫字由，里面有免费商用字体
33,有绘画功底的其实可以魔改字体来规避侵权 不过这个也很费时费力
34,要是方正的那一定收费，坑人
35,三连三连
36,造字工房很贴心的注明是非商用的
37,应该在字体属性信息里写明商用收费，不然不是明着坑人吗。
38,好了，我名字又少了几种字体
39,虽然麻烦但确实严谨
40,文泉驿！！！！！
41,这个开了终身会员
42,好像还可以啊
43,标明来源好评
44,我就想知道小米蘭亭能不能商用。。。
45,商用：顾名思义就是做出来的东西是买卖的
46,然而英文字体却比中文字体贵多了。。。。。
47,什么情况下，才算是商用
48,那给开源软件使用就没事了
49,这个字体看起来蛮高级
50,普惠体真的是阿里巴巴的良心产品了
51,自带进度条
52,苹果电脑的字体可以随便用～
53,打两串同样的字体叠在一起就好了doge
54,这个Roboto应该是老版本的Roboto了
55,不明说的，协议写的清清白白
56,自己造一个(doge)
57,OPPO自己的字体也是可以免费商用的
58,看成惠普体（
59,黑体是可商用的吧
60,以后全自己写吧
61,清一色全用阿里巴巴字体
62,1
63,放进我的收藏里吃灰吧
64,人家碰瓷归碰瓷，但归根结底还是我们的不懂规矩，才被人钻了空子
65,所以我得自己设计一款，免得这些麻烦
66,做设计的，公司给买了字魂的版权
67,一般人家会先让你更换字体，如果不换就起诉赔款，版权问题
68,请用最大的字说明
69,注意，是商用哦
70,角角就因为字体赔了钱
71,这几个字我是冒着倾权的风险打出来的
72,但是不明说就是挖坑等你跳
73,方正破产了
74,以后全自己写
75,直接或间接获得收益算商业
76,我们院都是自己开发的字体
77,懂了。以后人工手写物理PPT
78,早餐店发个传单，他不可能要告我吧
79,GB字体：我不香吗
80,现在算商用微软雅黑不（doge）
81,只能自己写上去了，我的书法该不会有人抢注了吧
82,确实，英文主要就52个版
83,DIN做设计的确实常用
84,可以自己手写，wps有这种功能
85,1
86,1
87,1
88,其实做设计还有搞商业一般都会考虑字体版权吧……上学也会学
89,很多创作者都爱用的站酷快乐体也是免费商用的
90,鬼畜区UP主的老朋友了
91,上面的，最好的方法是用自己的手写体（doge）
92,我一直都是自己设计的，用CAD直接画
93,这个收藏量1!
94,还有旁门左道标题体（狗头）
95,用谷歌字体，免费商用
96,最好的方法是自己设计字体自己用（doge）
97,最下面一行非常贴心。
98,自己设计一款（doge）
99,你现在算不算商业使用这些字体(狗头)
100,宋体和新罗马应该没问题吧，论文的要求
101,懂了，以后用画图工具自己画
102,视频上面不是写了吗？这段素材的来源及作者啊
103,反正剪视频我一般用把系统字体调细一点…我jio得挺好看滴…
104,如何定义商业
105,难怪设计师都爱用mac
106,字体数字化的过程是商业行为，不属于个人
107,我用文泉驿和思源（好像这么叫）
108,ooooo哥的视频片段
109,旁门左道都跑到b站了
110,顺便还训练了ai
111,这个缺陷是在于:不想用和这个流氓软件沾边的一切
112,毒角show：这个我熟啊
113,就是不说明让你用等着告你呢
114,免费用不等于免费商用
115,懂了，字幕就自己写
116,进度条提示好评
117,思源等宽：……？？
118,说了个寂寞
119,公益，那我就放心了
120,自己用手写板写的不侵权[doge]
121,中易宋体：……？？
122,Android系统的默认字体。。。
123,这是安卓默认字体
124,360全家桶的有些小工具说实话还是蛮不错的
125,哈哈哈哈up主有毒
126,站酷也有好几款免费字体特好看
127,链接失效了，求更新
128,times new roman
129,在雷诺的霍肯伯格
130,这是广告？
131,没人像我一样现在还用的是系统字体吗？
132,思源系列啊
133,自己设计字体自己用
134,什么旁门左道，庞门正道字体，，都是免费用的
135,小米兰亭是方正合作开发的，原名方正兰亭，不能商用
136,最喜欢阿里巴巴普惠体
137,阿里的字体真不错
138,阿里巴巴普惠
139,字都要授权，我裂开了
140,阿里巴巴普惠体不香吗？
141,有没有小篆？
142,360连电脑里安装什么字体都要插一手
143,开源的noto
144,老祖宗的字帖随便用，几百年了，没人要版权费
145,对哦，自己写
146,旁门左道有一个可以
147,方正套路深
148,用字由
149,牛批牛批
150,MOJANG字体是免费的
151,字型散步
152,就，为了避免字体侵权，我自己设计字体就很难
153,兔兔用了都说好
154,没有华文彩云差评
155,华文彩云算吗（电脑课经典）
156,庞门免费？？？
157,瘦金体，宋徽宗要版权保护
158,好家伙我名字里就有思源
159,人才日常
160,费尽心思来坑你
161,自己列印欣赏还是没问题的，大家别太害怕了
162,谢谢姐姐
163,”方正”什么方正！？（ptsd）
164,有没有等宽英文字体
165,方正钓鱼字体
166,不点勾选，有的病毒都杀不了，安全保险箱还会存病毒
167,Comit Sans
168,套路，等你离不开的时候就开始收钱了
169,阿里有免费的
170,我买了字魂，就是用着费劲
