,弹幕
1,第一天
2,怎么做笔记
3,请教：首段首句的辛辛那提这个地名为什么要全部大写呢？
4,打卡第二天
5,打卡第一天
6,哪里可以记笔记啊？怎么看不到？
7,打卡
8,开始学习
9,这个好开始学习
10,可以下载文本不
11,他读得好声情并茂
12,2
13,1
14,打卡
15,stagnate
16,这个号
17,打卡
18,第四天第四天
19,best practice不用复数吗？
20,第一天
21,个人认为我国的基建修建支出所带来的经济效益可能不是最佳，但是我国的基建其实不仅仅看重经济效益，民生方面也是重要的参考
22,第一天打卡
23,打卡
24,【C】
25,第一天，打卡
26,打卡
27,前来学习
28,收到up主的邮件了！！！！谢谢啦！太好了55555！大家一起加油啊！！！！！！！！！
29,已三连
30,帅！
31,不重复嘛！
32,投两个币表示支持
33,decide和decided发音没区别啊？这是要考官去猜么？
34,收到了
35,打卡
36,我感觉这个单词有点难，但是句子不长
37,到我的收藏夹吃灰去！！
38,上海高三的难度吧
39,打卡
40,收到啦，谢谢up主
41,打卡
42,2020英语二阅读的难度大约是这个五倍吧，各种长难句和生词。
43,感觉这一段好难理解
44,第一天完成打卡
45,生单词开始多了起来
46,收到，已三连
47,感觉完全看得懂，哈哈哈
48,考研英语就是从经济学人上选的文章
49,打卡
50,打卡
51,打卡
52,第四天
53,好运莲莲第三天
54,同意
55,打卡
56,希望22考研有这些原文
57,打卡
58,感觉就是考研英语文章
59,收到啦！谢谢up～
60,打了卡
61,辱印了哈哈哈
62,打卡
63,day1打卡
64,打卡
65,打卡
66,OK
67,过分高跟鞋
68,宝藏UP
69,打卡
70,打卡
71,收到了，谢谢up
72,谢谢up
73,打卡
74,好玩
75,我怎么没看到在哪记笔记啊
76,打卡1
77,1
78,打卡1
79,22
80,纯正的英伦腔
81,2
82,]
83,haochang
84,不错
85,1
86,应该是的
87,哈哈哈
88,45
89,666 
90,111
91,1
92,这个binge on的投资的意思 感觉是意译
93,对中国这么了解？ 美国德州断电断水，设施还不落后
94,good share! Thank you Sir
95,是搜狗翻译啦……有译文已经很不错了
96,有人吗
97,你好
98,老懂哥了
99,大咖
100,说五倍的那个我认为你是吹牛比 看着译文当然不难
101,为什么有道没有binge on 投资的意思，这里是引申意吗
102,跟不上
103,打扰了
104,那你来译呗
105,不是的 翻译没问题
106,学费
107,我想问一下如果考研英语是从这上面选择文章指的是非英语专业的考研还是英语专业的考研
108,你考研阅读做题快速读一遍和这一句一句翻译能一样?
109,什么我都点进来，我感觉我膨胀了
110,d 1
111,三峡是个名字，和数字3，6有啥关系吗？ 文字梗？
112,出了名的孟买破路
113,为啥发的文本和视频不一样呀
114,译文有一点点生硬nq
115,收藏了
116,这里应该是  这只是数字和能源投资的一部分资金的意思吧
117,典型的考研英语风格
118,两个硬币交学费 ( ゜- ゜)つロ 乾杯~
