,弹幕
1,观察灵敏电流表就会产生毒素
2,AI字幕： Jack地磁场产生感应电流实验
3,嫌电阻大可以用纯金导线
4,《致摇线员》
5,电流大小与 切割速度变化率的大小有关
6,《超 长 的 绳              子》
7,这个声音应该是“尼康800定超级大炮”
8,电流表：我不灵敏了
9,导线太长，导线电阻不能忽视，感应电动势相同的情况下感应电流就会更小
10,待会儿校长来一人一脚：哪个班的上课不回教室
11,小熊小熊你转一个圈
12,增大电流措施:使用更长的导线   加快转速
13,硬核真人实验
14,通灵之术•地磁生电！
15,哈哈哈 地磁消失233333
16,懂了，这就摇绳发电
17,这个估计要用检流计才能看出来，普通的灵敏电流计量程太大了
18,产生的是感应电动势
19,微弱电流都让人体吸了
20,原来物理老师都喜欢derderderder啊（bushi
21,这还真的是灵敏电流表，就这么点电流能有变动就很不容易了
22,定线员可以用一块砖代替了
23,哇！这个声音！！怀念哈哈哈
24,问题在于，这是交流电啊...
25,好家伙这能有数就离谱
26,主要是磁通量得发生变化
27,把风扇拆下来，嘴里含着电线头子，转风扇
28,欲言又止
29,产生毒素（哈哈哈）
30,就会产生毒素
31,贴哥弟磁场产生感应电流
32,午休时间结束了
33,上课了上课了
34,自由能
35,不应该用灵敏电流计吗，当然这个也可以
36,磁通量不变化是没电流的
37,磁感线 卒
38,地理南极靠近地磁北极
39,滑了？
40,一号姚神袁
41,换个量程小点的
42,砖头代替，谁看呢
43,这电阻够大了吧
44,上课了啊
45,不像我们的，为了中考就变得跟机器一样
46,好棒的物理老师
47,上课了，同学们
48,只有南方的学校有这样的一楼
49,就会惨僧毒素
50,莫名然起来了
51,我到底在期待什么(๑˙ー˙๑)
52,搞个人背块磁铁上去跳
53,确定不是地面振动引起的？
54,产生的电流这么小不会触电的
55,上课啦上课啦！！
56,该用电压表试
57,这个字幕笑死我了
58,正好做了对照实验
59,蓝北走向
60,地震的话应该在0刻度左右摇摆的
61,姚神辕先生
62,挺好玩的
63,这是敲地震的吧
64,盲猜电线内阻
65,我们的试卷上就有这道题
66,明明是书画大赛
67,是度（读）数不是毒素啦
68,磁生电
69,真是超~~~~长
70,正好当空白对照了
71,地磁线非常的弱，几乎忽略。
72,哈哈哈
73,这线损？
74,ohhhhhhh
75,应该用微安表
