,弹幕
1,这个朴实无华的广告我爱了
2,好家伙，这广告比正片还长！
3,肝帝：只要我在家办公，就没人能伤我心
4,此屏幕在俄乌战争中发挥重要作用（doge）
5,我盲猜，肝帝得到了它。。。
6,董叔的一生之敌
7,哈哈，表情满分
8,设置这种奖品，老板高兴坏了
9,肝帝日常痴迷
10,然而他每次转发的b站抽奖从未中过
11,本集最有价值镜头
12,肝帝要“爆肝儿了”哈哈哈哈
13,肝帝：办公设施被你拿来谈恋爱，还是跟他？
14,肝帝被装进小盒儿里了？（bushi
15,"小ER 肝帝已经承 帝:我瞅准 技MAX ,我"
16,卑微の肝帝 特色了
17,肝帝一生之敌
18,已经买了，孩子说很好吃，准备再买一箱！
19,好家伙 一进门就脱衣服 太热情了
20,《编辑部的故事2》
21,可恶，又被他装到了
22,我说，你们衔接的挺好啊
23,查理九世
24,已买很好用团队办公利器
25,肝帝委屈
26,一生之敌
27,哈哈哈哈肝都要气炸了
28,明明都是D开头的，凭什么隔这么远，哼！
29,肝帝，哈哈哈，夫妻日常？
30,kris后背为啥有个链子hhh
31,肝宝被远程了哈哈哈哈哈哈哈
32,总被截胡哈哈哈哈
33,肝帝咬牙切齿
34,肝帝：怎么哪都有你
35,哇，我们手术室同款咖啡机
36,一生之敌 夺妻之仇
37,《老    婆》
38,哈哈哈哈，哑铃差点砸脚上
39,哈哈哈哈哈 师傅别念了！
40,起身都显得那么卑微，演技爆表
41,喜剧的内核是悲剧
42,一生之敌
43,人类的悲欢并不相通
44,“最”受认可，这个极限广告词可能会被告
45,问出这个问题的那一刻，肝帝已经承认输了
46,菲律宾国家安全会议
47,买了一箱了，孩子很喜欢吃
48,这个孩子很喜欢，以后还会买
49,肝帝真是杯微
50,一生之敌  猝不及防
51,杜特尔特:   买！
52,这个痴汉的表情太到位了
53,最后kris和冬晓一起在家远程办公
54,哈哈同款咖啡机，他这个要清理污垢了
55,肝帝：一个被直播耽误的演员
56,孩子说看小猪佩奇的效果棒极了
57,哈哈哈哈哈哈哈，太卑微了
58,肝帝从此被远程。。。。。hahahahah 看来是中奖了hhh
59,卑微 hhhhhh
60,连续剧又是你
61,此时飘过一个外卖小哥
62,一生之敌 意大利人
63,好家伙进门就脱
64,肝帝的怒气值在上升
65,懵逼的肝帝
66,这里不是卑微，是肝帝自己跟着去
67,买了一箱，孩子很爱吃
68,已经买了，敏感肌也能用
69,我常年因为头发过于浓密而倍感烦恼
70,《无线法国别研究》
71,小丑竟是我自己
72,村里每家发了一台，乡亲们都说好
73,《双   休》
74,内心戏，这是高手
75,一   生   之   敌
76,无缝衔接
77,肝帝竟然还单身~~~
78,这白眼就灵性
79,哈哈哈哈哈哈哈哈直接梅开二度
80,我要被肝帝表情笑死了
81,团队奖这个词现在专门用来指代这个产品了？
82,卧槽无情
83,《办公室的故事》
84,冰冰限定皮肤
85,肝帝攥紧了拳头
86,已经给孩子买了。他很喜欢吃
87,买了一卡车，敏感肌也能用，孩子很爱吃
88,世 界 名 画
89,哈哈哈，肝帝好卑微
90,肝帝已经肝火压不住要爆了，啊哈哈
91,Joey买了一套百科全书
92,寒假作业即视感
93,卧槽，这个猝不及防
94,《可以送给你》
95,请根据中奖者选出奖品
96,《中国最优秀的团队》
97,买了一箱，孩子很喜欢
98,根据真实故事拍摄！！！
99,气氛组
100,欲言又止
101,欲言又止
102,好家伙，我直接好家伙
103,定  体  问
104,编剧居然是肝帝
105,好家伙，猝不及防
106,肝帝太惨了！！！哈哈哈
107,会绊到脚，失败
108,肝总来刀拿好
109,我已剪短我的发，简短了牵挂！
110,名字距离哈哈哈哈哈哈哈哈哈
111,非常满意，已经给三体人打包带走了
112,华为办公桌，你值得拥有
113,《都开心》
114,敏感肌也能用
115,卧槽翻车了不及防
116,终于有后续官方cp
117,都有点心疼肝帝了
118,一  定  是  体  制  的  问  题
119,一  定  是  体  制  的  问  题
120,肝帝：我太难了
121,已经开始笑了
122,孩子，快跑，现在还来得及
123,茶水自备哈哈哈哈
124,编辑部的故事（观察者版）
125,董哥，威武！
126,肝帝被远程了
127,肝帝：小丑竟是我自己
128,肝帝一生之敌
129,冰冰皮肤（bushi
130,这国产味太浓了哈哈
131,卧槽，这么长？
132,这不是大意，根本没法闪
133,我瞅准机会，狠狠地叫了一声
134,哈哈哈，气炸了
135,哈哈哈，把这家伙赶走
136,书接上回
137,哈哈哈哈 韦小宝追阿珂的感觉
138,哈哈哈哈，好突然
139,打他！又抢老婆
140,给的太多了
141,哎呀，，，萧老师居然是领导
142,产品很好 敏感肌也可以用
143,？？？？？？？又开始了
144,抹茶葡提yyds
145,哈哈哈，就董佳宁一个人在家
146,这个笔岂不是很容易掉下来
147,如果我有罪请让老板炒我鱿鱼
148,一生之敌，一生是弟
149,哈哈哈哈 表情帝
150,下单了有这个搞直播可以吗
151,癫疯体验
152,卑微～
153,买了一箱，孩子说很好吃
154,全部闷杀，一个都闪不出去
155,这演技，观察节目瞬间不香了
156,百万制作，自己整活!
157,先笑为敬，哈哈哈！
158,后面新闻频道哈哈哈哈哈哈哈哈哈
159,点外卖，我们就边吃饭边下单旁边的茶颜
160,肝帝要杀人
161,眼神亮了
162,首先我要一个团队！
163,欢迎进入 观察者宇宙
164,懂帝又要买书了
165,卑微。。。。
166,卑微 哈哈哈、
167,卧槽，大意了
168,晓姐姐真的太好看了！！！！！
169,已经买了，孩子说很好吃。
170,我买了，我妈说这电脑好用
171,老萧亲自出演
172,远程办公的肝帝
173,这个可以推广一下，替代电视机啊，每家一个，市场需求巨大。。
174,很好 买了一火车 大人很喜欢
175,两万七起，作为企业用还是可以的
176,哈哈哈，梅开二度
177,已经买了，孩子们都爱吃
178,你吼辣么大声干嘛
179,这广告设计是最成功的。。。
180,已经下单了，括约肌也能用
181,如何泡同事
182,沾上面包糠效果更佳
183,非静止画面
184,为何全世界的泪我先流一遍
185,编辑部的故事
186,已经买了，孩子说很好吃
187,有种大力丸广告的感觉
188,可怕，措不及防
189,孩子馋哭了
190,哈哈哈哈哈为什么会有这种小剧场
191,师傅别念了，头疼，我买！！！
192,大黑边停航母
193,哈哈哈，小剧场
194,你喊这么大声干嘛～！～！
195,猝不及防
196,《卑微》
197,过于卑微
198,可怜的汤姆
199,我大意了没有闪
200,办公室杀心
201,我是个狠人，看到了最后
202,查理周肝
203,肝帝雄起
204,叫“办公宝”？是不是起名字的人是路边拉来的啊？
205,杜主任，杜特尔特
206,哈哈哈哈哈哈哈哈又来了
207,不能拿回家的年终奖不是年终奖
208,小吃惊是我自己
209,停了师傅
210,阎锡山客户说
211,小丑竟是我自己
212,小丑竟是我自己
213,好～订了50台
214,好家伙，这不是肝帝是影帝
215,卑微哈哈哈
216,肝帝很好玩甘地
217,查干湖的胖头鱼哈哈哈哈哈哈哈哈哈哈哈哈哈笑死我了
218,哈哈哈哈全部隔开
219,居家旅行必备
220,我们就是做这个的，65寸只要5888
221,一生之敌，笑死了
222,我前两天还在冰冰老婆的评论里见过这个LSP
223,敷衍的笑
224,反向广告
225,太卑微了！！！
226,疯狂暗示
227,我意大利了
228,谢谢，已经买了一车了，孩子老人都爱吃
229,意大利语
230,跑，快跑快跑快跑
231,哈哈哈哈哈，套路
232,这小表情
233,我们单位视频会议就用这个
234,哈哈哈哈哈哈哈哈玛德猝不及防
235,董哥，威武！
236,这玩意卖给谁啊
237,我是没想到，后面全是广告
238,可怜的甘帝
239,拿显示器砸过去
240,让这个办公室痴汉系列持续下出，愿连续剧长青，奥利给！
241,发现秘密，暗中观察
242,请把价格打在公屏上
243,打不过就娶了他hhhh
244,哎呀，卑微
245,我居然在仔细看广告
246,自动开启话题
247,读到结束？？
248,这小子又来捣乱了
249,这么牛…起码也得个三五百吧
250,向! 而又不失
251,好家伙
252,好家伙
253,还有后续
254,观察者的故事
255,我擦，这广告还没完
256,我竟然看完了广告
257,心疼肝帝
258,哔哩哔哩打钱
259,逃跑失败！
260,moglie
261,好家伙
262,一生之敌
263,王世纯你给我注意点啊
264,老婆的白眼太可爱了  好好好好
265,肝帝laosp
266,大意了，没有闪
267,又开始了
268,书接上回
269,一生之敌kris
270,连续剧
271,买了一车
272,这演的太出神入化了
273,老鸽你又来坏事儿了！
274,一生之敌
275,好家伙
276,看起来还挺不错的啊
277,已经买了，敏感肌也能用
278,一生之敌
279,哈哈哈，意大利式的侮辱
280,广告里面查剧情啊
281,编辑部的故事
282,就爱看冬冬翻白眼
283,菲律宾总统在这
284,给我笑坏了哈哈哈
285,一生之敌
286,编辑部的故事
287,卑微
288,这广告够硬核
289,连续剧
290,一生之敌
291,浮夸，哈哈哈
292,林俊杰是你
293,小丑竟是我自己
294,卑微
295,肝帝很气
296,小丑竟是我自己
297,看第三遍了
298,不就是一个平板，大号？
299,小丑竟是我自己
300,用辣椒炒很香
301,哈哈哈哈哈哈果然
302,这玩意一个好几万
303,卑微
304,公司同款咖啡机
305,我们实验室买了这个
306,一生之敌
307,一生之敌
308,卧槽，还没完了
309,自己助攻+1
310,直接用电脑软件不香吗
311,幽兰拿铁确实有点太甜了，但是整个口味还是可以的
312,太丝滑了
313,广告中插播故事线
314,大意了大意了
315,这是给老板看的
316,送张彩票了呗
317,打他！！！卑微
318,我TM居然还在看
319,敏感肌肤能用吗
320,这广告~~~~猝不及防啊
321,买了买了，就是不给吃
322,让他说完
323,我竟然还在看
324,己经下单一千台
325,一生之敌
326,让老婆出境
327,咋哪都有你？哈哈哈哈哈
328,好多白发
329,爱心
330,为什么你和kris聊那么嗨，和我说不到一句话
331,这演技，绝了
332,买了，还没用，先给个赞
333,大意了大意了。。。
334,一生之敌
335,马德这太离谱了
336,世界名画
337,非常好用，敏感肌也可以
338,我大意了啊，我没有闪，年轻人不讲武德。
339,还连续剧
340,我竟然看完了
341,离谱了啊，这么长的广告
342,好家伙
343,一生之敌
344,三角恋哈哈
345,离晒大谱
346,我选择萌芽
347,威尔史密斯的奥斯卡奖给你吧
348,一生之敌
349,一生之敌
350,卑微
351,一生之敌
352,防不胜防
353,准备的话完全被打乱
354,肝帝打他
355,有点卡
356,反复地看
357,括约肌也能用
358,一生之敌
359,哈哈哈哈
360,一生之敌
361,一生之敌，kris
362,一生之敌
363,一生之敌
364,冬晓身材可以啊
365,肝帝整活
366,卑微
367,我居然看完了
368,好家伙
369,名字距离超远
370,肝帝还没结婚？？
371,施佬是不是被开除了啊
372,君住长江头，我住长江尾
373,一生之敌克里斯
374,手机投屏慎用！！！
375,上集没刀了你？
376,一生之敌
377,哈哈哈哈哈哈哈盼着Kris不来
378,正片开始
379,卑微如我
380,卑微
381,小丑竟是我自己
382,过分了啊
383,意大利了
384,很好吃，还会回购
385,琉璃净的柠檬红茶才6元
386,一生之敌1
387,买了，我现在都一小时了
388,哈哈哈
389,冬晓的白眼太好看了
390,梳子给你
391,卑微
392,停不下来了
393,卑微
394,卑微
395,一生之敌
396,有抖音的味儿了
397,演技都很到位
398,那么价格是
399,根本不需要这个，用个家庭投影不更爽吗？
400,世界级白眼
401,停停停
402,中奖体质
403,沙利文？
404,哈哈哈哈哈哈哈哈哈
405,一生之敌
406,美式机
407,被套路了
408,触不及防
409,好了好了，知道了
410,猝不及防的广告
411,芊芊马克龙
412,哈哈哈哈哈哈哈好没调走呢
