,弹幕
1,那可太好了大慈善家
2,工作之余可以继续压榨剩余价值
3,你得内卷，好让老板赚更多
4,《没有心思工作》
5,就应该被挂在电线杆上
6,他的意思是不让员工在公司宿舍赌博吧
7,《每天》
8,工作之余可以加班啊，怎么可能让你打麻将呢
9,这个老曹管的没错，因为很大概率会涉及赌博啊，尤其是麻将，不带点彩头能好玩？
10,他是希望职工往上走
11,披着羊皮的狼
12,震惊两班倒还有工作之余
13,当资本来到人间，每一个毛孔都滴着肮脏的血。
14,给你一刀就s清醒了
15,往上走，才能更好得为我打工
16,工人得努力学习，为我挣更多钱
17,人家打麻将那是联谊
18,《工人的朋友》↑
19,卧槽？我突然理解了“内卷”这个词！
20,打麻将泡夜店的人就很少有好人
21,赌有瘾的，而且很难戒
22,随意辞退工人
23,对极了，所以年轻的打工人不要打游戏了
24,这么看老板＝老师
25,曹先生意思是说员工应有上进心，不应该在原地打转的意思
26,工作之余可惜工作
27,这个“我告诉你”就很有福清口头禅那味～
28,这是在宿舍区啊，对员工的影响更大
29,刚看到曹德旺捐款100亿
30,曹德旺是指麻将是一种陋习，应该戒掉
31,好多事能做啊，比如在自己亿万豪宅里散散步就很好嘛
32,工作之余可以学习，老曹是希望自己的员工不要玩物丧志
33,学 校 宿 舍  不能手机
34,就没有心思给资本家打工了
35,尽是歪理，一辈子坚持做工人怎么了，他可以将技术练到极致成为一个优秀的技术工人
36,赌博行为可能滋生监守自盗
37,打麻将和赌博要分清
38,低层的工作每天都有人补充进来，上层的工作对人材的要求更急切
39,全世界无产者，联合起来！
40,当年做一个工人多光荣啊
41,下班也不准打牌的老板，点赞。
42,工作之余还可以加班嘛
43,一辈子坚持做压榨就是成功商人
44,有俩钱连北都不知道了
45,上头的管理岗位都是有限的
46,辞退老员工还要找个清新脱俗的理由
47,你给工厂每一个工人都分一点股份 保证他们每个都主动加班 
48,路灯挂件
49,我觉得说的不错啊，你要想脱离工厂底层，就要努力学习啊
50,不允许在厂区内打麻将，我觉得可以理解啊，毕竟没有硬性规定，就会有普通人收牵连
51,能去当厂长吗？亲朋好友都安排完了吗？
52,这家伙就是个吸血的资本家，总喜欢给自己立良心老板的人设
53,人家是为了防止赌博
54,他说的打麻将就是赌博
55,不想当元帅的士兵不是好士兵
56,天下资本是一家 说一套，做一套
57,以高标准要求别人
58,哈哈哈有钱任性呀
59,打麻将有的地方就是赌博
60,说白了就是给你加班呗
61,太对了，应该往上走，先把你挂在路灯上
62,有道理，我下班之后每天看书学习，毕业之后学习没丢下过。
63,工作之余比如再加班
64,工作之余也可以上班
65,个人时间都受管制啊
66,在宿舍不能打麻将不是很正常的规定吗
67,人家说宿舍区
68,小布尔乔亚永远是小布尔乔亚
69,这才是重点
70,奴隶每天搬石块，总有一天会有属于自己的金字塔
71,所以那些喷人家在宿舍不给打牌的的意思是赞同赌博吗？
72,吸血鬼兽究极形态
73,路都没有说你往上走
74,很多小年轻沉迷赌博打麻将打牌
75,一百工人加班提升也不见得有一个厂长
76,相由心生
77,如果个个都不想当工人，谁给你压榨
78,说得好！往上走就是彼可取而代也！！！
79,你们公司怕只要机器人
80,资本家的典范
81,好家伙
82,工作之余，可以加班，因为是按小时算钱。
83,娱乐又不是赌博
84,要注意休息！影响休息！会影响工作
85,说的很有道理
86,压榨了什么，没说让你加班啊，不打麻将不会去逛街吗
87,路灯挂饰？
88,哇
89,曹老，大拇指
90,我记得曹总是喜欢打麻将的吧？
91,人家意思不要安于现状，要提高自己
92,工作之余很多事情可以做的，比如加班
93,可以打乒乓
94,牛批
95,在福建有些人看麻将就是赌博
96,在福州，工人没地位
97,老曹其实说的有道理，他想要员工积极，对自己负责！在福州打麻将很多一打就是一天，打完喝酒吃肉，毫无其他积极向上的一面！久了就真的安于现状了！这是老曹不愿看到的！他希望工人下班就算独立思考，学点东西都比打
98,无偿加班
99,厂长和工人一样，工厂并不属于你们
100,言下之意就是想剥夺更多的剩余价值
101,恨不得24小时工作
102,宿舍可以理解
103,爷是为了生活而工作，不是为了工作而生活。
104,说实话，打麻将真的会出一些问题的
105,其实比较认同，但是说一点娱乐都没有，那是假的，工作之余适当提升自己是好事
106,比如自愿加班
107,以后打行开不？
108,工作之余还可以义务加班啊。是不是？
109,不是有点严，是有点宽
110,挂路灯上去吧
111,比如加班
112,这是赌博，别逮一个就喷
113,比如继续工作
114,强迫别人往上走，内卷？
115,230亿是他创造的？
116,应该007福报安排上
117,严重支持
118,严重支持
119,？？？
120,问题不在于工人们做的对不对，问题在于凭什么生杀大权在他手里
121,应该拼命是吧
122,这个没错，赌真害人
123,路灯有你一份
124,宿舍区赌博？
125,不当将军的士兵不是好士兵 企业员工爷一样
126,善恶有名，智者不拘也；天理有常，明者不弃也
127,宿舍区确实不行
128,比如说加班
129,绷不住了
130,下面打麻将不代表工作做不好
131,比如加加班
132,打地主分田地
