,弹幕
1,职场没有秘密.....
2,害，我就喜欢交流感情，但是不得不防，还是要看清人交朋友
3,我会重复一遍对方的问题～(￣▽￣～)~
4,反问对方，对方还不高兴了
5,一般问我家在哪里，我都说在我们心中，我们都有一个家名字叫中国
6,哇 真的有道理！
7,用魔法打败魔法
8,知道又能怎么样，还能欺负到我头上。
9,国企事业单位很常见
10,太真实了.....隔壁科的都知道了
11,我：你呢
12,遇到这种同事，真的好想离他远点，保持距离
13,我问“你呢”
14,有矿，还不止一个，两口矿泉水井
15,窒息……我有时候也会这么问别人，但真的只是闲聊好奇，以后不问了
16,我会冷冷的看着他问“你有事？”
17,这是上班还是宫斗，闲得慌
18,一般就反问，转移话题到对方身上
19,同事饭桌上问我，我告诉他你问的太多了
20,还好我警惕心重，对这种事很敏感
21,熟练的让人心疼
22,小明的爷爷活了108岁。
23,我直接说都是出来挣钱，哪里挣都一样，好使
24,还好还好，我不用上班，不然估计会被整很惨
25,太腹黑了
26,这不等于什么都说了么
27,我：关你柒事!
28,啊啊啊啊啊真的好多这种人！
29,生气了
30,原来如此
31,我就说还凑合，打工就是混时间
32,信息必须是对等的
33,哈哈
34,我知道了，你没朋友
35,我家有矿啊 还是比特币矿
36,没错，就是我，小丑竟是我自己
37,有钱没钱从平时也能看出来，时间久了也都差不多摸清了
38,早几年知道这个就好了
39,凡尔赛开始
40,是这样确实
41,家里自己住天桥房子地球那么大没有对象
42,公司人事都会问的
43,人心隔肚子，谁都信不过
44,小明的爷爷不多管闲事儿。
45,有用…应该每个人都被问过吧，我在学校就已经被问过了
46,会被过度解读
47,真有这么恐怖？我同事跟我都很好
48,优秀
49,学会了
50,遇到这种问的细的，我都一笑不回答。
51,我不太懂这些
52,。。。回答的不如不答
53,杰哥
54,就是打太极嘛
55,我们这儿但是还好，没人问
56,啊
57,他们都造不过我
58,我直接阿巴阿巴阿巴
59,真实了
60,窒息
61,我北方小地方五套房子
62,我也金鸡独立了
63,我靠 
64,喵啊哈哈
65,曾是惊鸿照影来
66,哈哈哈哈哈哈
67,哎呀
68,哈哈哈哈哈哈哈
69,噢噢
70,我家拆迁
71,纯粹八卦
72,优秀
73,我就是被造谣了
74,一般般，就那样，差不多
75,是真的
76,可以可以
77,心疼up
78,真实！
79,我就该早点看到
80,666
81,高中的时候就这样了
82,很清楚
83,也不一定
84,有有有
85,你不管哈
86,那是没话聊了
87,完了我
88,新时代了
89,學習了
90,都没有
91,卧槽
92,想多了
93,这是真的
94,厉害
95,职场不一样的，人心险恶
96,你猜呀？
97,直接反问他 你问这么多干嘛？
98,hml就是这种人
99,对。碰到很多你随便说说，他们会当真，过几天就冷落你，呵呵，不熟悉的千万不要说真话。
100,。。。。。。哪这么多事？？？？娘们唧唧的
101,现在公务员查户口一样的亲属关系表，怎么办？
102,滚
103,最简单他问你啥你就立马问啥就行了
104,我直接说滚
105,我外婆活了98岁你知道为什么吗？
106,关你屁事!
107,我的天！苦活累活就是我做，美约其名夸我能干！
108,我不知道 啊吧啊吧
109,为什么要顾及那种煞差问话人的感受呢？道不同不相为谋
110,你呢
111,就这应对？
112,我的妈 我从来都是照实讲 聊个天还这么套路
