,弹幕
1,考的其实不是多少只鸟，而是2个点：知识积累水平和逻辑分析能力。
2,她憋不住了，她笑了。
3,数学逻辑是严谨的，这些主观假设太多的只能忽悠一下
4,标准答案：老子面前就有一只
5,一开始就错了，城市里很多鸟窝不在树上。
6,我就说一点，据科学研究表明，大部分鸟并不住鸟窝，鸟窝知识孵蛋用
7,不许来串门的鸟
8,不许来串门的鸟
9,从头到尾都是估算
10,两只，一只会飞的，一只不会飞的
11,一切设定都是按自己的逻辑来的，果然很麦肯锡。
12,管理咨询的奥义：一本正经胡说八道的能力
13,讲真 上班之后老板只看结果
14,最后还是有关系的被录取
15,这道题的本质不是正确与否，而是解决的思考路线是否表达得清晰
16,实际是考察你忽悠的能力
17,要加个前提，只要能自圆其说
18,上海有两千四百万人口，按男女比例参半算有一千两百万左右鸟
19,想多了我住在山上几百个树有一个鸟窝就不错了
20,我tm直接烟缸丢过去
21,哈哈，这个忽悠公司
22,心中有多少，就有多少
23,原来你说谎也脸红
24,别的鸟不确定，但是燕子做窝在屋檐下的
25,错，鸟通常不在鸟窝里。鸟大多数都在树枝上挂着，除非孵蛋才会造个窝
26,我真的一本正经想来看看正确答案，结果评论告诉我，这题考的不是数值，而是综合能力
27,屋顶有巢
28,上海市2400万人口，平均两个人一直鸟，结果1200万只
29,是退出去也要重新点进来点个踩的程度
30,看出来了，要会忽悠的
31,自己都憋不住了
32,小知识：鸟平时不住窝里，只有繁殖时候需要窝
33,所以麦肯锡给的咨询结果就是这么骗人的楼
34,是不是忽略了动物园植物园花鸟市场饭店烧烤摊的鸟
35,经典大概
36,你可能对鸟或者上海有什么误解……
37,一切只是假设，请问哪里来的胆子说这是答案……
38,问问面试官：你有几只鸟？
39,上海没有鸟，因为没有＂鸟巢＂
40,鸟还会迁徙
41,好的，回家等通知吧～
42,纯粹自我想象！所有的估算数据都是错的，基于错误数据的计算，能是正确的？！
43,上海作为一个滩涂城市，有大量的湿地鸟类，窝不在树上，在黄浦江和东海滩湖的芦苇荡里
44,原来一本正经的忽悠是这么来的
45,一听“大概”“应该”“约”“好像”这种字眼就完蛋
46,电线杆上，楼顶，房檐都有鸟窝
47,。。。。。其实答案不重要，主要是看你怎么算，思路是什么
48,应该问大概有多少只鸟
49,鸟在空调洞里盖鸟窝怎么办，城市绿化常常修剪，留不住鸟窝怎么办
50,阿凡提：和我工资一样多
51,这就是文科生和理科生的区别
52,？为什么我第一眼看成了肯德基
53,我会问考官你如何验证这个答案，因为整个过程都在依靠假设
54,麦肯锡好像要拆解问题，直接答估计……
55,这个问题你认真就输了
56,懂了，面对上司的奇葩工作。有理有据，一本正经的胡说八道。
57,九百六十七万只鸟 不信你自己去数（狗头
58,这种算虚假数据，进行鸟口普查，精准到各鸟，就能知道了
59,错了，还没算进花鸟市场和人们家里养的呢
60,关键是电线杆子上也有鸟窝哈哈哈
61,听听君臣斗你就有完美答案了
62,经典文科生解答理科题
63,bbc直呼专业
64,问题的关键不在于答案，在于得出答案的过程
65,铁塔上鸟窝更多，一个铁塔上可以有四五个窝
66,标准答案：很多只
67,这种题，认真就输了
68,这个《通常》把我笑死
69,鸟窝只是下蛋、孵蛋用的，平时鸟都是站在树上睡觉的
70,这还一本正经解答？！
71,这个问题不在乎答案，就看你的思路是不是流畅合理
72,标准答案：我的鸟巢是空的。
73,？？？？？在一本正经的讲
74,有一只算一只
75,我家楼下一条路有几百棵树可重来没见过一个鸟窝
76,谁给你说的10棵树一个鸟窝的
77,假声条件多到难以置信的地步
78,问题情境与表征方式
79,所以这道面试题考的是信口开河的能力吗？
80,别根据了，我这边树上没鸟
81,最大的问题，种树-面积曲线不是线性的，所以只考虑总面积不考虑分布进行的估算的误差是极大的
82,面试问的是回答过程不是结果……
83,一千万，不对你告诉我有多少
84,每10棵树有一个鸟窝，所以问题又变成了多少鸟
85,一本正经的忽悠
86,离谱的问题正常回答？
87,还没我答的严谨：上海鸟的数量大概约等于鸟腿数量的二分之一
88,我以为是麦当劳
89,很明显真是数据在上下两个数量级成周期性浮动
90,他不看数值他看你分析问题的思路
91,可能是先统计出有多少鸟、多少窝和多少树，然后平均得出的哈哈哈
92,众所周知，城市的绿化就是森林
93,总结:胡扯八道，这些所有的数字意义在哪里，都是假设前提下
94,他假设一直可以的
95,看来麦肯锡的工作就是有理有据的瞎猜
96,海鸥：傻了吧我也是鸟
97,我不相信你当场面试可以回答出这样的答案
98,候鸟考虑了么，飞走了咋整
99,鸟孵蛋时才建窝
100,每颗树上都有鸟？？！？
101,上海没有鸟，鸟是大自然的（狗头）
102,这题是面试你忽悠能力
103,老刻板思维了
104,大哥们，面试临场发挥唉
105,这题醉翁之意不在酒
106,这是保险招聘吗
107,看来心理阴影面积也是可以求的
108,明白，这就去林业局工作(狗头)
109,哈哈哈哈哈哈哈哈哈哈哈看见评论笑死我了
110,哄小孩呢？
111,真的离谱
112,重点在于忽悠
113,麦肯锡都是以数据为说话，而不是靠猜测。
114,对鸟，鸟窝，树，上海都不懂
115,松江奉贤等都不是上海了
116,这问题就离谱
117,重点在于忽悠
