,弹幕
1,二本也是双非
2,Dartmouth College：？？？
3,我有大小王还担心2？？？？
4,中飞院:？？？​
5,回答：我心理素质强，敢和985211争
6,可是学历不够高甚至不会得到面试资格
7,hr为了完成邀约的业绩
8,语言真的是门艺术
9,好详细的步骤啊
10,谢谢大佬，模板收下了
11,谢谢大佬，模板收下了
12,之前没有出国其实也是这个原因了，把不被承认
13,是我真实的内心活动了
14,终于知道怎么回答了
15,截图了截图了
16,麻省理工学院的哈哈哈哈
17,真诚是很重要的
18,四个四可以起王炸
19,南京工程学院：？？？
20,3哭了，因为没有考虑在内
21,回答：我江苏的
22,世界上又不是只有斗地主→_→
23,协和医学院：？？？
24,外交学院：？？？
25,北京电影学院：？？
26,江苏省文科状元……
27,我手里有一副牌，有个“最小的”2?
28,高考后直接出国和大学期间留学不一样的
29,前面弹幕高考河北省的笑死我了
30,霍格沃茨魔法学院
31,回答：我河北的
32,河北的真的是真实了
33,清华路过【狗头】
34,明日之后新手导游也叫瑞秋/doge
35,在河北上个什么大学就难得很
36,打掼蛋的话，2确实最小doge
37,连续四年获得国家励志奖学金
38,跟我当年说的一模一样
39,没有大小王就去找到自己的大小王再面试，GKD！
40,但是当时尽力了才考上双非的怎么办
41,麻省理工学院：？？？
42,好家伙 今天人力资源课老师PPT放了你的视频
43,b站太牛了，我正需要这个，就推给我了
44,受教了（狗头保护）
45,当你有四张大小王的时候，你何必在意还有个3呢，说的好哈哈
46,我的优势：比他们便宜
47,我：请问贵公司是世界五百强吗
48,好像我辅导员[泣不成声]
49,昨天刚刚离职 现在找工作太难了
50,姐姐其他视频也好棒，却不火
51,一般学历没那么好的，在岗位上能稳定呆住
52,好家伙，我直接好家伙，这条视频简直宝藏
53,一路看着这位up主从2个粉丝到4000，老父亲到眼泪
54,对，其实就是一辈子。
55,普通二本，怎么办
56,宝藏博主
57,这个太实用了 年后跳槽用上
58,我们爱丁堡也不是985、211（doge）
59,可是事实就是匹兹堡确实不太行…
60,投币三连
61,来了来了
62,好爱这个视频！
63,话术也很重要
64,经验丰富是很有用
65,出国是自己的价值提现
66,遮短板很值得学习
67,我直接摇摆阳之哼
68,河北考生哈哈哈
69,姐姐好像关晓彤噢
70,有一说一，2是某些模式下的最大牌
71,什么hr没听过麻省理工的大名
72,你们斗地主打多了吧
73,不然呢，中国那么多人不分三六九
74,那只好回家继承家业了，还面试个der啊
75,谁一开始就扔王炸呀
76,高中毕业的怎么办
77,我河北省，我普通人，我高考五百小几只配大专
78,我数学全班倒三
79,三本更惨了
80,什么都没有的…让自己有啊！
81,现在985的面试好一点的公司都很难，竞争太大了
82,感觉准备会面对
83,问题是最小的是3
84,如果是这种水平的HR，我宁愿不去这个公司上班
85,不然我高考那么拼命干嘛？
86,每个人都有大小王吗？
87,麻省理工（学院）
88,我没慌，我心里火了，诶
89,高专[狗头]
90,对啊，要不然别人考的好的人干嘛努力
91,是的，第一学历不好就是很难
92,没有，因为我第一学历挺好的
