,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,11.23600,滚动弹幕,25,0xffffff,0,3f450fae,1024464394194674176,和120位小伙伴一起学习。
2,36.28600,滚动弹幕,25,0xffffff,0,90652aad,1020472091440560128,梦开始的地方
3,73.43900,滚动弹幕,25,0xffffff,0,f6b6b366,1016605922044217344,康师傅凉了
4,18.82700,滚动弹幕,25,0xffffff,0,641b44d5,1015829284817871360,尊敬的康师傅
5,19.67900,滚动弹幕,25,0xffffff,0,a635efba,1008077212814956032,梦开始的地方
6,0.02200,滚动弹幕,25,0xd32d26,0,1d125fed,1006498411391797248,第一次学，学完回来还愿
7,15.60600,滚动弹幕,25,0xffffff,0,87825b9d,1006491350784694272,梦开始的地方
8,1.08700,滚动弹幕,25,0xffffff,0,d255385a,1005680358366377984,梦开始的地方
9,14.77900,滚动弹幕,25,0xffffff,0,76f84586,1005092934456250368,梦开始启航
10,11.91900,滚动弹幕,25,0xffffff,0,4deba12b,1004917534417455616,梦开始的地方​
11,15.66600,滚动弹幕,25,0xe70012,0,c60ed359,997924542178435072,建议从第三十一节课开始
12,1.68400,滚动弹幕,25,0xffffff,0,c60ed359,997924374291365888,建议从第三十一节课开始
13,22.23900,滚动弹幕,25,0xffffff,0,4deba12b,993907085524787200,每天一次[星星眼]​
14,14.66600,滚动弹幕,25,0xffffff,0,9fc5b53a,993548374718930944,自学四个月，顺利找到工作，特地回来感谢
15,6.60100,滚动弹幕,25,0xffffff,0,9fc5b53a,993548306375630848,自学四个月，顺利找到工作，特地回来感谢
16,14.04000,滚动弹幕,25,0xffffff,0,98500df8,990360366095933440,感谢康师傅
17,55.45100,滚动弹幕,25,0xffffff,0,8801f43,987803551589613568,梦开始的地方
18,8.31300,顶端弹幕,25,0xfe0302,0,522d03b0,985520089493831680,工作三年的土木老哥开始转行
19,21.69100,滚动弹幕,25,0xffffff,0,416ce58c,979792101920407552,第一集永远是最多人的
20,76.33400,滚动弹幕,25,0xffffff,0,4deba12b,970721723924185088,肝起来[呲牙]​
21,178.90200,滚动弹幕,25,0xffffff,0,de3bf2fa,962150168475279360,熟悉的ppt配色
22,31.79700,滚动弹幕,25,0xffffff,0,4deba12b,960084819516899328,永远相信自己​
23,39.95900,滚动弹幕,25,0xffffff,0,fb8d0c1c,958836552783781888,真噩梦开始的地方
24,6.04400,滚动弹幕,25,0xffffff,0,98500df8,957703340169732096,梦开始的地方
25,43.00000,滚动弹幕,25,0xffffff,0,4deba12b,59646656576595456,学到了[呲牙]​
26,12.52800,滚动弹幕,25,0xffffff,0,98500df8,58270787392187392,康师傅！！！
27,1.76900,滚动弹幕,25,0xffffff,0,1e25ae25,58141431986125312,感谢宋老师
28,11.25900,滚动弹幕,25,0xffffff,0,4deba12b,58100854434860544,努力总会有结果​
29,9.09900,底端弹幕,25,0xe70012,0,62904a61,58043829247862784,感谢康师傅！
30,24.28000,滚动弹幕,25,0xffffff,0,755530b8,57932820210841088,梦开始的地方
31,8.34000,滚动弹幕,25,0xffffff,0,59477080,57691821438469120,地震了也不忘打卡
32,21.30500,滚动弹幕,25,0xffffff,0,c33225d1,57094018985806336,梦开始的地方
33,1.68300,滚动弹幕,25,0xffffff,0,1e25ae25,57092878716485120,感谢宋老师
34,13.39400,滚动弹幕,25,0xffffff,0,dcdc5eda,56980243376253440,梦开始的地方！
35,42.20400,滚动弹幕,25,0xffffff,0,663639e0,56820456708350464,爱康师傅
36,26.26300,滚动弹幕,25,0xffffff,0,663639e0,56793103675924992,细节拉满了
37,27.67900,滚动弹幕,25,0xffffff,0,4deba12b,56742691996982784,白嫖走起[doge]​
38,9.75500,滚动弹幕,25,0xffffff,0,89aaa418,56695556356810240,梦开始的地方
39,1.15000,滚动弹幕,25,0xffffff,0,ef3e211,56654073882293760,来套康师傅
40,0.98000,滚动弹幕,25,0xffffff,0,ef3e211,56547077304700928,来套康师傅
41,20.97900,滚动弹幕,25,0xffffff,0,4deba12b,56459262437235712,坚持开始[呲牙]​
42,12.85900,滚动弹幕,25,0xffffff,0,4deba12b,56366567829840896,努力奋斗的方向​
43,16.01800,滚动弹幕,25,0xffffff,0,59477080,56329908241883648,让天下没有难学的技术
44,112.32300,滚动弹幕,25,0xffffff,0,663639e0,56203336751981056,宋老师太细了
45,5.40300,滚动弹幕,25,0xffffff,0,ef3e211,56098377142629376,老师基本稳稳的
46,11.58900,滚动弹幕,25,0xffffff,0,98500df8,56096045399744000,你好康师傅
47,48.12600,滚动弹幕,25,0xffffff,0,4deba12b,56063932811435008,康康[星星眼]​
48,7.82700,滚动弹幕,25,0xffffff,0,663639e0,56050701856942592,挑战高薪，冲击大厂！
49,0.00000,滚动弹幕,25,0xffffff,0,7c500d41,56014842767111168,米鱼摸鱼看视频
50,14.91900,滚动弹幕,25,0xffffff,0,4deba12b,55972193532906496,相信自己[加油]​
51,1.08600,滚动弹幕,25,0xffffff,0,ef3e211,55969891071623168,来套康师傅
52,37.21300,滚动弹幕,25,0xffffff,0,98500df8,55879016542979072,梦开始的地方
53,0.57400,滚动弹幕,25,0xffffff,0,ef3e211,55834048825735680,来套康师傅
54,70.82500,滚动弹幕,25,0xffffff,0,ef3e211,55654628578865152,猛击鼠标
