,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,900.07700,滚动弹幕,25,0xffffff,0,73c7ebe9,1017275274166863872,势在必得的改名
2,15.56200,滚动弹幕,25,0xffffff,0,5c3fd675,1011324501147015168,工作后回来重新学习
3,355.21300,滚动弹幕,25,0xffffff,0,f054b2f8,999029569388521984,大佬的学习方法PICK！
4,92.77700,滚动弹幕,25,0xffffff,0,57cb095d,988812082584059904,再来一遍看还是很好的
5,115.62000,滚动弹幕,25,0xffffff,0,c876ae63,986308595975954432,有人知道这个大佬是谁吗？
6,171.25400,滚动弹幕,25,0xffffff,0,84fdaf03,984285936604020736,《模式识别与机器学习》（Pattern Recognition and Machine Learning）
7,71.42700,滚动弹幕,25,0xffffff,0,b1649e45,969648315476295680,淮北师范计算机辅导员田春雨报道
8,951.43400,滚动弹幕,25,0xffffff,0,52b4441f,959478970548854784,还有一个比较好的视频就是这个白板推导(手动狗头.jpg)
9,532.28300,滚动弹幕,25,0xffffff,0,1f97756a,59367785865040384,主讲是清华的大佬
10,1124.79100,滚动弹幕,25,0xffffff,0,3d040adf,59140393149346304,李老师的课程比较生动形象
11,861.52100,滚动弹幕,25,0xffffff,0,3d040adf,59140282787468288,哈哈哈哈哈，改名叫志华
12,63.40100,滚动弹幕,25,0xffffff,0,873300e5,59054953899644928,业内人士感觉的最强大佬，比那些教授强，应该是一线干过的大佬
13,465.17400,滚动弹幕,25,0xffffff,0,b6c8222a,58603871283870208,《基本》
14,8.57900,滚动弹幕,25,0xffffff,0,9f75ca83,58195435545469952,《简单讲一下》
15,150.98900,滚动弹幕,25,0xffffff,0,daabe27d,56071117867179008,西瓜书算简单的了，还难啃
16,670.11400,滚动弹幕,25,0xffffff,0,2343666f,55067231812330496,白板推导系列
17,1066.77200,滚动弹幕,25,0xffffff,0,10c5c1b0,54036796990932480,李老师超级可爱
18,467.11900,滚动弹幕,25,0xffffff,0,864b5f31,53892792845940736,《基本》
19,810.75100,滚动弹幕,25,0xffffff,0,14e7695f,51342653446422533,好喜欢up讲课的节奏，娓娓道来
20,31.38000,滚动弹幕,25,0xffffff,0,84a1901c,51137798711279621,这怕不是个神仙，我来学一学
21,297.61100,滚动弹幕,25,0xffffff,0,22a5b588,50378064820961285,李航 第二版已经扩充了一篇无监督学习了
22,27.21700,滚动弹幕,25,0xffffff,0,fbfb709f,48013269988802567,白嫖失败，大佬太牛了
