,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,3.72000,底端弹幕,25,0xffffff,0,673963b6,1020247405595310592,感谢野生字幕组，给每一个没有声音的孩子带来帮助
2,58.07700,滚动弹幕,25,0xffffff,0,6e1cb7d0,1019518029970585600,小白参加各位大佬，加油！！！
3,10.94400,滚动弹幕,25,0xffffff,0,bbfebd1d,1016597747153132032,这收藏量就离谱
4,51.63900,滚动弹幕,25,0xffffff,0,682830b6,1009607874474813952,毕业论文要用C++
5,0.00000,底端弹幕,25,0xe70012,0,9bbb6b4f,990751388192317440,噩 梦 开 始 的 地 方！
6,105.83400,滚动弹幕,25,0xffffff,0,783ba9d1,984139168640884736,活着就是为了摸鱼
7,2.83600,顶端弹幕,25,0xffff00,0,da7a5dcf,982653868504989696,收藏从未停止，学习从未开始
8,123.26000,滚动弹幕,25,0xffffff,0,b20ee1e8,981784081227325440,《轻而易举》
9,88.37700,顶端弹幕,25,0xfe0302,0,962ef6fc,981702333414809600,咸鱼也有梦想！加油
10,155.51000,滚动弹幕,25,0xffffff,0,c3fcc0fd,977663121207771136,感谢底部翻译大佬。
11,44.47100,滚动弹幕,25,0xffffff,0,71cf65b7,973274294867935232,那么并且在每个阶段过后呢，也都会有相关的案例来给大家巩固每个阶段所学到的知识点
12,122.32200,滚动弹幕,25,0xffffff,0,f1325ab3,971079324743426048,挂科了，现在补救一下
13,6.65100,滚动弹幕,25,0xffffff,0,bc309457,959154939064713216,《从0到1》
14,42.71300,顶端弹幕,25,0xffffff,0,7951617b,957814163219103744,从入门到转行
15,1.27600,滚动弹幕,25,0xffffff,0,b6206112,956740163698819072,除了最后的项目已经学完了，回来投个币，感谢一下
16,1.84800,顶端弹幕,25,0xfe0302,0,fd474772,59584732171829248,从入门到放弃系列
17,94.64700,滚动弹幕,25,0xffffff,0,d4bd675c,59003456175993856,第二部分  c++核心编程
18,111.49600,滚动弹幕,25,0xffffff,0,12b535ef,58976371529243136,《轻而易举》
19,9.23400,滚动弹幕,25,0xffffff,0,53b684df,58974757547707904,算了，全寝室人都知道我在偷偷内卷想成为黑马了
20,2.76500,底端弹幕,25,0xe70012,0,78890a9e,58752993360354304,亚洲潮流
21,81.83300,滚动弹幕,25,0xffffff,0,37410702,57556741382119936,为大作业的学生管理系统而奔波
22,43.75800,顶端弹幕,25,0xffffff,0,4ebd9cd3,57509777890632192,从下载到卸载
23,6.66400,顶端弹幕,25,0xe70012,0,19817bc2,57379352645122560,人活着就是为了摸鱼
24,116.74800,顶端弹幕,25,0xe70012,0,c85d9375,57285669369426432,轻而易举？
25,115.31600,滚动弹幕,25,0xffffff,0,40e7b96a,57242543382498304,自学到c指针   c++比c高级 我就来了 《狗头》
26,2.47300,顶端弹幕,25,0xcc0273,0,c18dfe1f,57055780635587584,零鸡雏，学挨踢
27,61.63300,顶端弹幕,25,0xff7204,0,ce43b887,56277866275725312,我是来练听力滴
28,10.59100,滚动弹幕,25,0xcd00,0,98ee2892,56186976917947392,每日一刷，以表恩情
29,123.52400,滚动弹幕,25,0x222222,0,def0fbba,55659860016033280,每一句其后面必定加一个“啊”
30,22.02600,滚动弹幕,25,0xffffff,0,f00e202e,55529530836667904,从入门到放弃
31,58.69700,滚动弹幕,25,0xffffff,0,241f7b34,55339308111056896,《简单》
32,37.42500,滚动弹幕,25,0xffffff,0,d9cf987c,55151607419687936,梦开始的地方，逆天改命，fighting！！！
33,47.20500,滚动弹幕,25,0xffffff,0,2572c1fb,54944598469080576,从入门到放弃
34,64.97800,滚动弹幕,25,0xffffff,0,a417e1ae,54941833578001408,还有一百个朋友在看
35,0.78900,顶端弹幕,25,0xcd99,0,7a4f3cc9,54897648050842112,当我看到右边的（1/314）时我TM学什么C++老子不学了
