,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,213.06500,滚动弹幕,25,0xffffff,0,13b44e9c,58735957161393152,手机端2倍速度，然后按住屏幕可以2.5倍
2,1342.96600,滚动弹幕,25,0xffffff,0,2d8ac814,56710505604823040,前端还有threejs那些，太多了
3,682.43800,滚动弹幕,25,0xffffff,0,2d8ac814,56710211232654848,worker不就多线程了
4,669.42200,滚动弹幕,25,0xffffff,0,67539c0,53395212909242880,自己写完还行
5,642.28200,滚动弹幕,25,0xffffff,0,e838c63a,52547283387940869,这个是最清晰的教学视频了吧
6,187.90200,滚动弹幕,25,0xffffff,0,ed49425f,52231860294516739,1.5 备模式
7,2191.04400,滚动弹幕,25,0xffffff,0,692d8dd8,52042689027244037,绝赞小知识！！
8,1906.78000,滚动弹幕,25,0xffffff,0,406e566b,51224290745384967,开心只是暂时的
9,1640.93100,滚动弹幕,25,0xffffff,0,406e566b,51224208386555907,0.5倍，很惬意
10,1535.63800,滚动弹幕,25,0xffffff,0,406e566b,51224164774707205,0.5倍速，很醒脑
11,613.52000,滚动弹幕,25,0xffffff,0,e49b3c12,51098362934460421,java后端路过，这能忍？
12,1011.24200,滚动弹幕,25,0xffffff,0,d244a65,50418433609170951,请详细说一下这三点
13,288.37100,底端弹幕,25,0xfe0302,0,8a043828,50332766660198407,我乃神眼
14,1366.75700,滚动弹幕,25,0xffffff,0,27d968b2,50294342629720071,jsj潜力很大啊
15,1497.22900,滚动弹幕,25,0xffffff,0,38737e82,50104155378810887,b站四位老师：超哥、pink、coderwhy和老陈，都是大神
16,228.85700,滚动弹幕,25,0xffffff,0,38737e82,50097844464386055,老师你超速了啊啊啊啊
17,2236.64500,滚动弹幕,25,0xffffff,0,4e5f87b4,49480830991466501,死亡强迫症，就放c盘，让他卡死换新电脑
18,249.25500,滚动弹幕,25,0xcd00,0,68f90eeb,49476877354008583,带颜色的语句
19,2242.92200,滚动弹幕,25,0xffffff,0,dbc647ec,48915550298963975,手摸手教学
20,2200.94000,滚动弹幕,25,0xffffff,0,dbc647ec,48915539288391685,体验极佳，原来是这样
21,1150.09900,滚动弹幕,25,0xffffff,0,8dc27def,48737058541273095,Middleware 中间件
22,11.68600,滚动弹幕,25,0xffffff,0,95ede840,48505483040391175,上着课呢，我也以为外放了。
23,1043.82200,滚动弹幕,25,0xffffff,0,613640d5,47700184762155015,事件驱动  异步非阻塞  高效轻量
24,803.59100,滚动弹幕,25,0xffffff,0,32b9dd87,47658870830006279,学完了vue感觉得过来把node学了才能更近一步
25,657.81200,滚动弹幕,25,0xffffff,0,3a940faa,47521222385205255,血脉压制
26,1327.83600,滚动弹幕,25,0xffffff,0,abfdeb6a,47476826265092099,声音太3d了....时常感觉自己在外放
27,1856.45600,滚动弹幕,25,0xffffff,0,b38178e2,43301387096817669,挺喜欢这种教学的，又能加速
28,138.62300,滚动弹幕,25,0xffffff,0,1d047de4,43129010963611655,node不是语言啊，是node这个环境使得js成为全栈似语言
29,927.60500,滚动弹幕,25,0xffffff,0,8b25e459,42228023411343365,vue 是 数据驱动
30,981.48900,滚动弹幕,25,0xffffff,0,4b10a6ad,41863331567370245,事件驱动  异步非阻塞   轻量和高效
31,20.50300,滚动弹幕,25,0xffffff,0,7b460579,41688408979931139,这清晰度爱了
32,297.68700,滚动弹幕,25,0xffffff,0,861100d7,41373342581129223,说的是node使得js变成全栈语言吧
33,643.88200,滚动弹幕,25,0xffffff,0,b22e9d3a,41326977743847427,血脉压制
34,1140.01700,滚动弹幕,25,0xffffff,0,3446975c,41192107546771459,PHP也要自己渲染html模板
35,290.36900,滚动弹幕,25,0xffffff,0,3446975c,41191853917732867,不是说不是一门语言吗？
36,1216.11700,滚动弹幕,25,0xffffff,0,3de6024b,41135698518474759,灵魂画手，笔笔入魂
37,276.11300,滚动弹幕,25,0xffffff,0,98c9529c,40805481475735557,不是语言，是全站语言？？？
