,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,107.70000,滚动弹幕,25,0xffffff,0,7d3a5280,32212191234490373,所有人：对啊对啊！
2,85.97900,滚动弹幕,25,0xffffff,0,7d3a5280,32212179855343683,学生A：这个老师讲的肯定很好。
3,64.72400,滚动弹幕,25,0xffffff,0,235dda1a,31314154606821381,其实程序=框架+业务才对
4,164.10400,滚动弹幕,25,0xffffff,0,6ec1c7df,51970001168498691,来错了
5,73.19900,滚动弹幕,25,0xffffff,0,2c070792,51315605119172611,我一般都准备睡觉了哈哈哈
6,52.91700,滚动弹幕,25,0xffffff,0,82dbc6ee,51239373839532039,所以老师你是前面15人还是后面的15人
7,51.74100,滚动弹幕,25,0xffffff,0,561c7e79,32438775376773123,哈哈哈哈哈
8,48.19100,滚动弹幕,25,0xffffff,0,702791f3,31396081877647367,unity那位老师也是这样说的23333
9,154.81900,滚动弹幕,25,0xffffff,0,6ddb15a6,31035472489742343,～‘，
10,56.17700,滚动弹幕,25,0xffffff,0,6fc21cb,30774415023144967,准备睡觉
11,47.52300,滚动弹幕,25,0xffffff,0,d7c58c0b,30582882356953091,哈哈
12,52.76600,滚动弹幕,25,0xffffff,0,1baa4680,30456683581931527,233
13,56.31400,滚动弹幕,25,0xffffff,0,198a98ed,30405180029140997,正在准备睡觉。。。
14,70.13900,滚动弹幕,25,0xffffff,0,f8b0a6e5,31453665131757573,啥玩意儿都套框架啊
15,159.57500,滚动弹幕,25,0xffffff,0,6ec1c7df,51969998274428931,再见
16,69.57700,滚动弹幕,25,0xffffff,0,6a3e8d07,34481634444574725,睡了
17,83.00600,滚动弹幕,25,0xffffff,0,c5e03730,30854269503537159,黑马牛皮
18,74.02700,滚动弹幕,25,0xffffff,0,c5e03730,30854264793333763,hei
19,63.74100,滚动弹幕,25,0xffffff,0,55b9e92d,30796291767795715,幽默
20,51.89600,滚动弹幕,25,0xffffff,0,249238fe,30475829271592967,真实
21,65.65200,滚动弹幕,25,0xffffff,0,a279ce1a,30344123067138055,哇 居然是今天刚出的视频  看了黑马的C++ 爱了 所以继续选黑马
