,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,1041.32900,滚动弹幕,25,0xffffff,0,b50aa1dd,58058874010929152,但为什么先出现异常，再打印出来元素？
2,577.16600,滚动弹幕,25,0xffffff,0,39990403,58050379357651968,直接for循环？
3,676.02200,滚动弹幕,25,0xffffff,0,83c6b6df,55074348333024256,那就while循环，异常退出
4,163.37800,滚动弹幕,25,0xffffff,0,6255999f,54471550339474944,三连走起
5,161.27500,滚动弹幕,25,0xffffff,0,6255999f,54471544832876544,正是我所需要的
6,1667.94100,滚动弹幕,25,0xffffff,0,605ff70e,51272150759243783,没输出哈哈
7,1151.33700,滚动弹幕,25,0xffffff,0,c2222e0,51083425520549891,老师 你竟然用try： 我竟然猜错了！！！！
8,569.62100,滚动弹幕,25,0xffffff,0,c2222e0,51083117429522439,我在！ 小伙伴  怎了？
9,689.41400,滚动弹幕,25,0xffffff,0,8fb0cfaa,48466540642697223,while哈哈
10,671.46100,滚动弹幕,25,0xffffff,0,5a8f7c6,48015821828521987,那就while循环吧
11,915.14200,滚动弹幕,25,0xffffff,0,cf9f2230,44671944220475399,这个李明杰是小码哥培训的那个李明杰吗？
12,804.12300,滚动弹幕,25,0xffffff,0,5bc6e036,42185030762496005,好办法，for不能用用while，哈哈哈
13,233.12700,滚动弹幕,25,0xffffff,0,c6afde1,1019634529792683520,\5
14,657.12900,滚动弹幕,25,0xffffff,0,810e3cff,1014293617390672896,while呗
15,696.23400,滚动弹幕,25,0xffffff,0,8f5d1e8e,999811087937379840,递归
16,824.82800,滚动弹幕,25,0xffffff,0,61e1ef91,974648572354101248,这还不基础。。。
17,720.10300,滚动弹幕,25,0xffffff,0,c9de6f7f,59088208181547008,切片
18,1651.73100,滚动弹幕,25,0xffffff,0,b50aa1dd,58059037901869568,print(res)吧
19,1311.83100,滚动弹幕,25,0xffffff,0,b50aa1dd,58058944958571520,不是高级 Python 教程吗，我觉得这些可以简单过一下就可以
20,123.02200,滚动弹幕,25,0xffffff,0,39990403,58026216678863872,+1
21,1461.96700,滚动弹幕,25,0xffffff,0,6379ea3a,56032179943824896,这个课程不错
22,680.65500,滚动弹幕,25,0xffffff,0,24a55890,52698416686825475,递归?
23,1007.56900,滚动弹幕,25,0xffffff,0,702dd5dd,52561561539575815,强人所难
24,1006.25600,滚动弹幕,25,0xffffff,0,702dd5dd,52561550408417283,强人所难
25,1704.38600,滚动弹幕,25,0xffffff,0,579648a3,52198667598692355,有啥用？
26,851.20200,滚动弹幕,25,0xffffff,0,c2222e0,51083268163895301,15   在13+ 迭代器不会工作
27,422.21500,滚动弹幕,25,0xffffff,0,44307cc1,50769784128667653,笑了、
28,1694.91900,滚动弹幕,25,0xffffff,0,93a0f427,50016266024386565,while num < len(l1):
29,1662.83000,滚动弹幕,25,0xffffff,0,57c4e160,44442202920714243,打印res
30,117.26100,滚动弹幕,25,0xffffff,0,94f7a716,42330288872751111,这内容我喜欢
31,187.37300,滚动弹幕,25,0xffffff,0,a8be9a37,991947750374359040,有人吗
32,888.53100,滚动弹幕,25,0xffffff,0,380b019a,967375558979043328,"是个屁will循环, 明明是while,"
33,1080.05000,滚动弹幕,25,0xffffff,0,283cd1ee,59595871965751808,输出的顺序而已  你使用debug断点调试顺序就正常了
34,1189.41700,滚动弹幕,25,0xffffff,0,2e4e8df6,52364320759611399,用try 好呀 有事没事 try 一下
35,652.61400,滚动弹幕,25,0xffffff,0,c2222e0,51083160953815043,with True 会不会好一点？ 老师
36,1001.95900,滚动弹幕,25,0xffffff,0,a5998274,49568053742010375,李明杰不是我教的那个学生吗？声音挺像
37,670.69500,滚动弹幕,25,0xffffff,0,1fea66f6,48059458512224261,可以用while
38,614.36700,滚动弹幕,25,0xffffff,0,4c29fae0,42678659738238981,for
39,546.11900,滚动弹幕,25,0xffffff,0,5bc6e036,42184903779418119,小伙伴
