,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,11.33900,滚动弹幕,25,0xffffff,0,52acf901,59284688830384128,《中国经济支柱》
2,3.08200,顶端弹幕,25,0xa0ea,0,efb94c68,59105004793618432,《小喇叭》
3,13.77900,滚动弹幕,25,0xffffff,0,7574758a,57147109536913920,《我觉得没有泡沫》
4,2.47800,滚动弹幕,25,0xffffff,0,d776d16d,54939387695307264,果然是砖家！
5,12.94600,滚动弹幕,25,0xffffff,0,43eef329,54696338512457216,《支柱企业》
6,6.45900,滚动弹幕,25,0xffffff,0,9f3075cc,48570021087543301,《没有泡沫》
7,4.52300,滚动弹幕,25,0xffffff,0,7dda982e,47317938104434691,对对，哈哈哈
8,15.00000,滚动弹幕,25,0xffffff,0,d050e092,974407330557091840,仔钟
9,10.09900,滚动弹幕,25,0xffffff,0,f915c768,973432392731131904,支柱产业，那哦豁
10,12.23900,滚动弹幕,25,0xffffff,0,60b9d4ce,969466411686404096,《支 柱 产 业》​
11,0.77900,滚动弹幕,25,0xffffff,0,c8558a4d,969015427461005312,看到北大就可以画过去了
12,12.71900,滚动弹幕,25,0xe70012,0,20181519,58882529468596736,支柱产业（指压榨普通人，一辈子只为买一套房）
13,11.85900,滚动弹幕,25,0xffffff,0,27f15c6a,57578728780209152,他们有很多困难，需要我们的帮助
14,1.38500,滚动弹幕,25,0xffffff,0,4ca561f5,55902993287589888,限涨不限跌，牛逼
15,2.00200,滚动弹幕,25,0xffffff,0,261c4487,55439785103909888,恒大：老板恒大股份了解一下不
16,13.67500,滚动弹幕,25,0xffffff,0,43cec85f,49113803934138375,货币崩了你兜
17,7.93900,滚动弹幕,25,0xffffff,0,52068e1c,961383903752314880,因为我手里还攥着几十套房子呢
18,6.37900,滚动弹幕,25,0xffffff,0,618d58f,58963259774718464,能绷得住也是个人才
19,7.70600,滚动弹幕,25,0xffffff,0,4cb5dde5,58904608655710720,不愧是北大的
20,11.05900,滚动弹幕,25,0xffffff,0,9baae69d,57363394411177472,重工业
21,8.29400,滚动弹幕,25,0xffffff,0,fa675b32,52871135089917955,北大啊 懂了
22,8.50000,滚动弹幕,25,0xffffff,0,dd09f3f0,49361971889831939,原来是北大的
23,8.63900,滚动弹幕,25,0xffffff,0,c8e947d7,959891723512905728,你说的对，不结婚不管就行
24,6.71700,滚动弹幕,25,0xffffff,0,e9c77a70,58568049500162048,看看这头人 被喂得挺饱
25,4.49000,滚动弹幕,25,0xffffff,0,4b53d254,58202081840059392,日本前车之鉴！
26,6.78000,顶端弹幕,25,0xfef102,0,696a6cbd,56868008662980096,不愧是北大经济学院院长！！！
27,0.00000,滚动弹幕,25,0xfef102,0,4ca561f5,55903082385759232,《北大经济学院院长》
28,0.68300,顶端弹幕,25,0xe70012,0,4ca561f5,55903057110682112,《既得利益者》▼
29,8.34000,滚动弹幕,25,0xffffff,0,4b250020,969771374140841984,继续涨大涨，一百万一平
30,8.89900,滚动弹幕,25,0xffffff,0,a1972792,55350440462338048,哦，北大的啊，那没事了。
31,2.45900,滚动弹幕,25,0xffffff,0,5a31dc9a,54827643572351488,说完这句话回去就有骨头吃
32,5.41000,滚动弹幕,25,0xffffff,0,54d251d7,47723798893953029,果然北大的人才能说出这样的话
33,9.57900,滚动弹幕,25,0xffffff,0,d3e47249,973115777959518208,人头猪脑
34,13.67400,滚动弹幕,25,0xffffff,0,1fbb866d,972162629922414592,严打严查这个人
35,9.36300,滚动弹幕,25,0xffffff,0,334b1fab,962535734695428096,戴着眼镜说假话的人
36,3.56000,滚动弹幕,25,0xffffff,0,334b1fab,962534956029173760,这个并没有泡沫，良心话了吗？
37,9.27000,滚动弹幕,25,0xffffff,0,e7a39cde,59515479679674880,一个有地位的人说的话，不是人话
38,5.67900,滚动弹幕,25,0xffffff,0,96a1894d,59464736811164160,既得利益者
39,0.35800,滚动弹幕,25,0xffffff,0,c837c4d5,59228719512038400,房价还是太便宜了，不利于年轻人奋斗
40,9.15200,滚动弹幕,25,0xffffff,0,dd09f3f0,59200213578011136,老东西吃了多少
41,8.63800,滚动弹幕,25,0xffffff,0,e9d1d7ca,59119500262770688,不是我冤，是武举老爷冤
42,3.25900,滚动弹幕,25,0xffffff,0,9a921815,59118261360717824,吃着人肉念弥陀
43,4.81900,滚动弹幕,25,0xffffff,0,5a31dc9a,59062110103125504,我挺想把这死猪按地上锤
44,11.52300,滚动弹幕,25,0xffffff,0,e6b31aae,58912390916566528,为什么房地产会成为支柱企业
45,5.62300,滚动弹幕,25,0xffffff,0,aef9a9e,58878080337965568,你看吃的脑满肠肥
46,13.28700,滚动弹幕,25,0xffffff,0,36ae477f,58867787689223168,百万漕工衣食所系了属于是
47,10.17900,滚动弹幕,25,0xffffff,0,eb8686c7,57961791853664768,不管在哪里都有砖家！
48,4.09900,滚动弹幕,25,0xffffff,0,2b942c5c,57751343793540608,这人tm咋还活着呢
49,5.33900,滚动弹幕,25,0xffffff,0,90559a3c,57190958492744704,你是砖家，专门骗大家
50,5.01100,滚动弹幕,25,0xffffff,0,20b8f9cd,56627962843661824,你看看日本泡沫經濟吧！
51,11.92200,滚动弹幕,25,0xffffff,0,a9e83597,56388323731130880,既得利益者
52,3.25400,滚动弹幕,25,0xffffff,0,65b36a52,56217710311928832,不需要污名，直接挂路灯就好。
53,15.00000,滚动弹幕,25,0xffffff,0,c8171b5d,55886654858804224,你快去买呀
54,10.73900,顶端弹幕,25,0xe70012,0,d1965861,55791309813223424,啧啧啧，
55,0.15600,滚动弹幕,25,0xffffff,0,d06ea6cd,55568223730680832,我也觉得没有，但他脑子里边一定有
56,13.81900,滚动弹幕,25,0xffffff,0,802cdc4c,55525499806054912,都快爆了，还自欺欺人呢
57,10.09900,滚动弹幕,25,0xfef102,0,88c0e0e,55304917316284416,你看他脑满肠肥的样，就知道这种人不为穷人考虑
58,1.46000,滚动弹幕,25,0xe70012,0,3fa27525,55129101416237056,把你房给我再说这话
59,2.17100,滚动弹幕,25,0xffffff,0,dc321364,54970165807861760,金融论坛不就是一群吸血鬼研究怎么更好的吸血？
60,7.63200,滚动弹幕,25,0xffffff,0,f26a5928,54434734932572160,这么优秀的人，身上一定全是肌肉吧
61,15.00000,滚动弹幕,25,0xffffff,0,d4647c7a,54406089741187584,好家伙，脸都不要了！
62,4.14200,滚动弹幕,25,0xffffff,0,566c29cf,54304953375121920,脑满肠肥
63,9.04000,滚动弹幕,25,0xffffff,0,552ac471,54254579452319744,继续长吧。迟早要掉路灯。
64,3.70000,滚动弹幕,25,0xe70012,0,860584cd,53615593502270976,全世界无产者联合起来！
65,6.71600,滚动弹幕,25,0xffffff,0,4ce87943,53267924257772032,仍然是人民的负担
66,15.00000,滚动弹幕,25,0xffffff,0,ee286e54,53217791654951936,呵。呸！
67,12.68200,滚动弹幕,25,0xffffff,0,ea5fb981,52497634504998917,你也是个人，也配在我们面前说话
68,1.73900,滚动弹幕,25,0xffffff,0,ef941d9d,51296273602445317,你他么整个人就是个泡沫
69,4.82000,滚动弹幕,25,0xffffff,0,d88725f9,50982007265558531,他急了他急了
70,14.76800,滚动弹幕,25,0xffffff,0,f49a0f8b,49987707079229447,别吵了，地主家也没有余粮
71,11.83900,滚动弹幕,25,0xffffff,0,b9aa361,49691142981156867,好家伙！我摊牌了，躺平了
