,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,403.19900,滚动弹幕,25,0xffffff,0,4c3f6531,48530430615355397,这里太过分了 这文案要被扣钱啊
2,164.09900,滚动弹幕,25,0xffffff,0,5317f087,48024078765785091,织毛衣这个，对不起我喷饭了哈哈哈
3,9.70500,滚动弹幕,25,0xffffff,0,a728ec1e,46073673885417479,两三个月一次吧！我是九五后，关键是我在自己老家搭了一个我为什么要去
4,227.99000,滚动弹幕,25,0xffffff,0,8fe0aca5,46072272829022215,开下午厂下午电费都赚不回来
5,321.17100,滚动弹幕,25,0xffffff,0,9d944d68,46059860357808131,佳丽公主都叫上
6,19.69500,滚动弹幕,25,0xffffff,0,3d844d9a,46039079618347013,一年至少三次
7,49.57600,滚动弹幕,25,0xffffff,0,9e84bdf0,46010190754480133,重新定义《最爱》
8,233.22200,滚动弹幕,25,0xffffff,0,5090e0be,45993477149294595,速效救心丸hhh
9,161.62200,滚动弹幕,25,0xffffff,0,5090e0be,45993434826670087,1织毛衣？？！！哈哈哈
10,313.34700,滚动弹幕,25,0xffffff,0,8770ea2b,45972185532071941,去唱美声哈哈哈哈
11,169.29800,滚动弹幕,25,0xffffff,0,f3fafe3b,45969773341704195,哈哈哈哈哈哈哈多损呐
12,208.34600,滚动弹幕,25,0xffffff,0,cbb86cc7,45909922935734275,年轻人都在蹦迪
13,421.28600,滚动弹幕,25,0xffffff,0,9fd48b1c,45903054782332933,我去KTV可以连续唱4个小时不休息
14,5.67000,顶端弹幕,25,0xffffff,0,c031eb8,45902533839290373,没有，经常去
15,24.09900,滚动弹幕,25,0xffffff,0,f9852c3a,45890386486362117,剧本杀，桌游
16,28.31200,滚动弹幕,25,0xffffff,0,7ac635ad,45883895661985799,暴露年龄系列
17,16.99000,滚动弹幕,25,0xffffff,0,e8484ae5,45877141554855943,我家客厅有KTV哈哈哈哈
18,146.36000,滚动弹幕,25,0xffffff,0,86f6b7cd,45828833542144007,因为以前的年轻人老了
19,84.62300,滚动弹幕,25,0xffffff,0,78d6a37f,45820763086782467,一个2020就能让他直接垮
20,234.39900,滚动弹幕,25,0xffffff,0,791a096c,45807293419225093,速效救心丸可还行
21,154.75900,滚动弹幕,25,0xffffff,0,cfaebf1,45803998541250563,就是去唱歌的哈哈哈哈哈哈
22,445.69900,滚动弹幕,25,0xffffff,0,80340f55,45792667086356483,沉浸式不就是剧本杀密室逃脱？
23,272.35300,滚动弹幕,25,0xffffff,0,bbf75f81,45781782380412935,来来回回都是那几首
24,52.09900,滚动弹幕,25,0xffffff,0,b83e6af8,45730565745803269,以前叫卡拉欧k，家里装一套叫家庭影院
25,10.47900,滚动弹幕,25,0xffffff,0,b1c1a343,45716464657760259,17个秋冬转眼即逝，KTV……我连家500米外的网吧都没去过
26,76.15900,滚动弹幕,25,0xffffff,0,c3c18b53,45705841884004357,现在去KTV都不唱歌了，全是商K
27,302.98000,滚动弹幕,25,0xffffff,0,c3f33934,45705237776302083,好家伙，直接来个风景画陪歌词
