,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,8.86300,滚动弹幕,25,0xffffff,0,2e603dbe,1021593537047144448,赚的是 信心，相信房子会涨价，然后甘愿击鼓传花
2,207.28100,滚动弹幕,25,0xffffff,0,aaf69698,1016607008696173568,该折的就折she掉了
3,42.68700,滚动弹幕,25,0xffffff,0,aaf69698,1016605098651997696,赚的印纸的钱
4,203.07700,滚动弹幕,25,0xffffff,0,54e4fc3f,1009989236239345152,庞氏骗局
5,169.69900,滚动弹幕,25,0xffffff,0,d290f23c,1005309998722683392,公务员A的房子是国家分的
6,118.99800,滚动弹幕,25,0xffffff,0,d290f23c,1000194615615237632,现在老年人折我们，等他们老了，一定要加倍卖人工啊！
7,196.32900,滚动弹幕,25,0xffffff,0,f1215cf2,996966487332519936,击鼓传花
8,133.80100,滚动弹幕,25,0xffffff,0,b90d62c1,996145911961952256,也可以理解为交换劳动力吧
9,131.10300,滚动弹幕,25,0xffffff,0,ae6eb5b2,989937658616135680,背后有一个大手偷偷的把房价60%装进自己兜里
10,51.77900,滚动弹幕,25,0xffffff,0,547b705c,989282238761803776,庞氏骗局
11,206.63700,滚动弹幕,25,0xffffff,0,1567df09,985334532853784576,真没那么简单，每次快崩的时候，印钞机就开了
12,28.29700,滚动弹幕,25,0xffffff,0,610aeb73,971690618765385728,除非成为打工人卷王
13,11.30500,滚动弹幕,25,0xffffff,0,cc7179a1,970329889114324992,我在指望彩票买房
14,192.39400,滚动弹幕,25,0xffffff,0,cd1f47c1,959339709269516288,所有金融都是离谱，所有离谱都是庞氏
15,42.61900,滚动弹幕,25,0xffffff,0,21aa2d29,59558765889591296,外来还贷款的年轻人的钱
16,183.67200,滚动弹幕,25,0xffffff,0,172ea907,59515568853795328,所以房子一跌最后那个人就崩溃，
17,194.39400,滚动弹幕,25,0xffffff,0,2b7bad58,59459756825897472,生育率断崖，未来哪来人给你折
18,6.82000,滚动弹幕,25,0xffffff,0,e3322687,59069488357066752,资本利得
19,90.48200,滚动弹幕,25,0xffffff,0,f3be1748,58550107836311552,不要在当期尝试获得你不匹配的东西，恶魔在后面会来临
20,241.64100,滚动弹幕,25,0xffffff,0,7c50229b,58541009482900992,击鼓传花
21,85.69900,滚动弹幕,25,0xffffff,0,708ad1,58470298043986944,A挣得是A自己的远期折现
22,215.38300,滚动弹幕,25,0xffffff,0,b35176c0,58213773051965952,击鼓传花
23,22.91800,滚动弹幕,25,0xffffff,0,dc829324,58193126035853312,超发的货币呗
24,236.35700,滚动弹幕,25,0xffffff,0,3c36e3f5,57513735088752128,发展下线
25,169.77900,滚动弹幕,25,0xffffff,0,c64487d4,57507648483886080,讲的很明白
26,192.90200,滚动弹幕,25,0xffffff,0,bbb45caf,57469608872984576,我就打算自我消化 为了住 负担的起就好啊
27,4.49900,滚动弹幕,25,0xffffff,0,bbb45caf,57469394678359040,钱的购买力递减也要算上的
28,195.07900,滚动弹幕,25,0xffffff,0,dce9681,57327498464079360,泡沫经济
29,177.61900,滚动弹幕,25,0xffffff,0,dce9681,57327487131794432,然后泡沫经济就开始了？
30,22.35900,滚动弹幕,25,0xffffff,0,dce9681,57327367154177024,……房价这种收入属于我赚的是别人亏的那种吧
31,230.74300,滚动弹幕,25,0xffffff,0,8ffe3a3d,57326393140927488,有道理
32,45.45900,滚动弹幕,25,0xffffff,0,e410d1f4,57319627887542784,囚徒困境
33,178.03000,滚动弹幕,25,0xffffff,0,f18993e6,57318086077395456,发型像大师
34,235.85900,滚动弹幕,25,0xffffff,0,b0bd5ef3,57308498316785152,一二线城市不缺人
35,127.93400,滚动弹幕,25,0xffffff,0,c900c3a6,57307261643018240,问题在于根本没有价值生成
36,223.18000,滚动弹幕,25,0xffffff,0,e7b5c225,57304090947675648,人口减少是唯一变数
37,226.16300,滚动弹幕,25,0xffffff,0,7516457e,56885891899233280,纽币
38,183.86400,滚动弹幕,25,0xffffff,0,2978d17c,56757652803372032,懂了，我被折现了
39,192.41300,滚动弹幕,25,0xffffff,0,7bc3e0c4,56693222141927936,卷起来了就
40,176.82800,滚动弹幕,25,0xffffff,0,4e3dc3a2,56297419403009536,不错讲的
41,228.18800,滚动弹幕,25,0xffffff,0,956b5b7a,56054215444410368,银行才是赢家
42,10.56600,滚动弹幕,25,0xffffff,0,7abd4a47,56008093859124224,通胀也是一个要素
43,124.06500,滚动弹幕,25,0xffffff,0,ff1db479,55845429120382464,精辟
44,109.09900,滚动弹幕,25,0xffffff,0,a93babb6,55831759843770880,将货币交易改为时间交易，工资所有人以时间结算，银行存储每个人劳动时间，将是一个全新的世界
45,248.66800,滚动弹幕,25,0xffffff,0,eaeb8240,55801894299927040,击鼓传花，庞氏骗局，愿赌服输
46,176.26000,滚动弹幕,25,0xffffff,0,3e665d9b,55499221868241920,大佬一语中的
47,217.51800,滚动弹幕,25,0xffffff,0,a37a3eaf,55482813311515648,所以当代年轻人无了
48,37.61900,滚动弹幕,25,0xffffff,0,a0aa3cbb,55012117129739264,赚的买房人后几十年的房贷
49,234.25800,滚动弹幕,25,0xffffff,0,cc7839fd,54994461425068032,万物基于传销啊
50,48.38700,滚动弹幕,25,0xffffff,0,7f17246c,54988171116109824,收房租收利息现代新型地主
51,94.85900,滚动弹幕,25,0xffffff,0,ea40323,54969527801332224,时间
52,235.95100,滚动弹幕,25,0xffffff,0,e2ad742b,54469569182971904,大部分都是银行利息和买房交的税
53,161.07400,滚动弹幕,25,0xffffff,0,747f5466,53943184315127296,我悟了
54,108.78100,滚动弹幕,25,0xffffff,0,747f5466,53943166043402240,我悟了
55,186.54300,滚动弹幕,25,0xffffff,0,161a6eab,53895978984507392,当期的 人生  更多的年轻人
56,158.46200,滚动弹幕,25,0xffffff,0,161a6eab,53895964256217600,交换时间 要工作 你会发现
57,252.34700,滚动弹幕,25,0xe70012,0,822a0f7d,53794721755117568,恍然大悟，谢谢您
58,252.34700,滚动弹幕,25,0xe70012,0,822a0f7d,53794716888265728,恍然大悟，谢谢您
59,85.69100,滚动弹幕,25,0xffffff,0,822a0f7d,53794572253505536,妙啊
60,233.15900,滚动弹幕,25,0xffffff,0,503bef9f,53603185400189440,6个钱包
61,228.83900,滚动弹幕,25,0xffffff,0,cc7ae1af,53467751302329344,等着崩盘，希望硬着陆，
62,214.51200,滚动弹幕,25,0xffffff,0,3e290ab5,53426088405836800,银行白赚20万
63,96.56100,顶端弹幕,25,0xa0ea,0,348b73a7,53395973400627712,时间
64,195.49900,滚动弹幕,25,0x90c320,0,c689b2a3,53394922590644224,击鼓传花
65,1.91900,滚动弹幕,25,0xffffff,0,cc5c70,53374719352320000,所以，现在的房子已经需要折现八个钱包的未来了，没有上涨空间了
66,225.35400,滚动弹幕,25,0xffffff,0,cd308a59,53290667991099392,其实老师还有一个东西避而不谈x的凭什么我亲爱的祖国的折现率这么高
67,189.99900,滚动弹幕,25,0xffffff,0,23aea6e8,53250528404139520,击鼓传C4
68,103.60100,滚动弹幕,25,0xffffff,0,1c447fa9,53031792601892352,赚的是你给我打工。。。
