,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,24.45900,滚动弹幕,25,0xffffff,0,341d9436,1024002298101432832,把大森林还给自然界，挺好
2,45.17900,滚动弹幕,25,0xffffff,0,1c3ddd0d,1011866696148858368,城市拥挤密集恐惧症
3,100.31000,滚动弹幕,25,0xffffff,0,7231180b,1009461462605079040,人往高处走，人口流失不是很正常的吗
4,14.17500,滚动弹幕,25,0xffffff,0,9e92bdcf,997855088425820160,中华民族到了最危险的时候，每个人被迫……
5,32.59900,滚动弹幕,25,0xffffff,0,9d5fa889,991472544417259520,己所不欲，勿施于人，生下穷二代，痛苦多一倍。
6,56.59900,滚动弹幕,25,0xe70012,0,e34f08a7,981958351294619648,劳斯莱斯幻影50块钱优惠券
7,27.16500,滚动弹幕,25,0xffffff,0,3b3fe3e4,965300904939905024,《着急》
8,23.13900,滚动弹幕,25,0xffffff,0,a17c802b,960966140431335424,4个人好歹还能聚一起打一桌麻将
9,63.26000,滚动弹幕,25,0xfef102,0,c9ad1fe7,58445765431625728,《福气满满》
10,31.92000,滚动弹幕,25,0xfef102,0,c9ad1fe7,58445743688589824,《着急》
11,36.17900,滚动弹幕,25,0xffffff,0,f00a8d9e,58156056522803712,只要解决“安居乐业”这四个字就可以了
12,27.00500,滚动弹幕,25,0xffffff,0,fc7c62f1,57656617405781504,真好，可喜可贺
13,38.13900,滚动弹幕,25,0xffffff,0,d8d3dae,57530165742036480,《热议》
14,6.56700,滚动弹幕,25,0xffffff,0,9dd40d07,57343129096485888,一个不生，幸福一生
15,25.73900,顶端弹幕,25,0xe70012,0,134db93b,56714794145532928,空地允许我盖房吗？不允许
16,8.48700,滚动弹幕,25,0xffffff,0,17def36e,56622996928478208,可喜可贺可喜可贺
17,12.30900,滚动弹幕,25,0xfef102,0,698971cb,56460315305785344,法拉利出车祸超速就很淦
18,58.15700,滚动弹幕,25,0xfef102,0,698971cb,56460301714593280,法拉利超速出车祸就很淦
19,21.69500,滚动弹幕,25,0xffffff,0,39ec522d,55838303047458816,那就让我们把这废弃的城市所占的土地还给大自然
20,8.17900,滚动弹幕,25,0xffffff,0,5efa9f6e,55762492014732800,警戒线高了，得调低
21,17.40400,顶端弹幕,25,0xe70012,0,67b5b21,55651890972743680,竟然还有人生？
22,17.42600,滚动弹幕,25,0xffffff,0,72723880,54564630381702656,太好了，能给我匀出大house和牛排吗
23,27.05900,滚动弹幕,25,0xffffff,0,39264379,54539329221958656,留给地产公司疯狂盖楼
24,7.05900,滚动弹幕,25,0xffffff,0,a0d13602,54494175002915328,竟然还是正数
25,111.63000,滚动弹幕,25,0xffffff,0,705d066f,53907749684120576,公务员带头生先！！！
26,11.75900,顶端弹幕,25,0xe70012,0,d9fdab43,53894018255389184,好耶，好日子要来力，大的要来力
27,41.91800,顶端弹幕,25,0xe70012,0,d8b0477a,53847062614187008,师爷是装糊涂的高手
28,107.48300,滚动弹幕,25,0xffffff,0,903d032f,53780542137277440,先让有条件的多生
29,54.89200,滚动弹幕,25,0xffffff,0,903d032f,53780501759009792,生下来的真就是基因选择了
30,24.80000,滚动弹幕,25,0xffffff,0,2cfe4290,53772855072101888,好啊那时候房价可以降下来了
31,5.61900,滚动弹幕,25,0xffffff,0,e2caca12,53668406689473024,全世界工蜂，联合起来
32,13.73900,滚动弹幕,25,0xffffff,0,4bc60b8c,53587776869757440,接着奏乐，接着舞
33,0.81900,滚动弹幕,25,0xe70012,0,9a54b162,53566230627964928,小张啊，咱俩好吧，一块儿生儿子。
