,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,302.41900,滚动弹幕,25,0xa0ea,0,f61087b1,59133951295540224,不结婚不生孩子的永远就只有那几个
2,483.09900,滚动弹幕,25,0xffffff,0,6bc0f6c3,54060651602216448,我在这买房，无疑是蜉蝣撼大树
3,276.56300,滚动弹幕,25,0xffffff,0,5147ad42,46673615768256515,利好股市等金融市场
4,167.27900,滚动弹幕,25,0xffffff,0,bf86130a,46562967850319879,蓝白说的明白，分析得透彻，信息丰富而准确
5,423.22300,滚动弹幕,25,0xffffff,0,291f6bf0,45849490189975555,那些刚毕业的拼命往一线跑，不涨有鬼了
6,428.77700,顶端弹幕,25,0xe70012,0,a5b7c54f,45360463319400451,是的我的富豪朋友开始逐步在北京置房了，都两套了
7,361.27800,顶端弹幕,25,0xe70012,0,a5b7c54f,45360391870480387,刚需还是要买啊，总该结婚过日子啊
8,71.45100,滚动弹幕,25,0xffffff,0,11018d1c,45338889561309191,下次通胀一定要借钱买房
9,367.82700,顶端弹幕,25,0xffffff,0,9c24d8ac,45260555271798787,银行可以破产了
10,343.32600,滚动弹幕,25,0xffffff,0,9c24d8ac,45260542418878467,银行可以破产了
11,15.84100,滚动弹幕,25,0xffffff,0,15e177d7,45259984783540231,原来催更使你感到
12,335.01500,滚动弹幕,25,0xffffff,0,9bc0f7af,45229392756473859,其实只要一线城市买不起房。。人口就会流动了到二三线城市了！！！
13,464.73200,滚动弹幕,25,0xffffff,0,c62df3be,45211311540273157,把风险从银行转移到人民的钱袋子，干的真妙呀
14,48.13900,滚动弹幕,25,0xffffff,0,2d5cf30d,45210567487520775,背景音乐:Promise  山冈晃
15,28.87600,滚动弹幕,25,0xffffff,0,6bb5ae8b,45206466067955719,反手一个赞！
16,350.92500,滚动弹幕,25,0xfef102,0,529fc51b,45205084380856327,房子价格会变泡沫
17,8.07900,底端弹幕,25,0xe70012,0,79364093,45166916554194947,卡单视角
18,270.36200,滚动弹幕,25,0xffffff,0,10ca951a,45136765539844101,完全没懂会对自己产生什么影响，听了个寂寞
19,12.79400,滚动弹幕,25,0xffffff,0,3fea5b97,45082350329528323,上升通道被焊死了
20,383.89900,顶端弹幕,25,0xe70012,0,26aca36b,45016261662867463,所以买房子越来越难贷款了？
21,262.02700,滚动弹幕,25,0xffffff,0,307c9a87,44993065404858375,口袋开始收口
22,320.40400,滚动弹幕,25,0xffffff,0,36ef33e2,44974315531665413,转嫁到个人身上了
23,212.97900,滚动弹幕,25,0xffffff,0,77e3dd62,44971649917255685,羊毛出在羊身上，风险最后转移到消费者身上，
24,434.49300,滚动弹幕,25,0xffffff,0,bc607d9c,44970662822936581,好家伙，赶紧跑路
25,497.00200,滚动弹幕,25,0xffffff,0,35d366a0,44956291004628997,老家的大门也迈不进
26,195.14700,滚动弹幕,25,0xffffff,0,a9e80826,44948407304847365,钱会从银行流进实业，然后再从实业流入房地产
27,353.47500,滚动弹幕,25,0xffffff,0,ee90feb9,44933055934103555,lpr还没尝到甜头 就被坑了
28,5.53900,滚动弹幕,25,0xffffff,0,71840963,44929861401706501,不是卷，说白了就是让下一代背锅
29,479.18900,滚动弹幕,25,0xffffff,0,8ab26e33,44905629916594181,分析的很到位了，但仍然只是表面分析
30,98.92400,滚动弹幕,25,0xffffff,0,f6af581f,44903900774400007,感觉限制的还是普通人
31,368.20600,滚动弹幕,25,0xffffff,0,524a6bd2,44884355862495239,长沙：没我的事
32,267.21200,滚动弹幕,25,0xffffff,0,2697ca10,44856219965325319,经营性贷款都是用房地产抵押的
33,369.94600,滚动弹幕,25,0xfef102,0,564268dc,44850645084667911,问题来了，年轻人一套房那么高利率？
34,163.98700,滚动弹幕,25,0xffffff,0,28294e12,44841027707076613,关注了，作为一个从业者，瑞思拜
35,363.22200,滚动弹幕,25,0xffffff,0,ab5732f,44794182598918151,到头了还是刚需的人买单。。。
36,241.40200,滚动弹幕,25,0xffffff,0,ab5732f,44794075761606659,问题就是各种贷款最终流向还是房地产
37,357.82600,滚动弹幕,25,0xffffff,0,d0a5f0d1,44791414865788935,永动机  在中国可以实现哈哈
38,57.44100,滚动弹幕,25,0xffffff,0,8a01acb2,44720329869230087,你要知道，我们买的房子只有七十年，七十年后还要再掏钱，惊不惊喜意不意外
39,133.47300,顶端弹幕,25,0xe70012,0,2e6fa773,44633698082488323,你说的太好了
40,37.85700,滚动弹幕,25,0xffffff,0,e08de7d8,44631297310064643,三元九运 诚不欺我
41,151.12200,滚动弹幕,25,0xffffff,0,4ab5da7e,44583733874393159,但凡家里能有相同工资的钱，我也不往北上广跑啊
42,6.45900,滚动弹幕,25,0xffffff,0,e1411e84,44540062417289221,城中村自建房居民表示吓的瑟瑟发抖。
43,375.80800,顶端弹幕,25,0xfef102,0,5de4b824,44533888306380803,是缩水8/9……
44,462.52700,滚动弹幕,25,0xffffff,0,c4940a87,44524442515144707,会玩，意思消费者压力越来越大了么
45,51.09200,滚动弹幕,25,0xfef102,0,a705b281,44435750179045379,一套房一台车，中青年生活就没有了色彩
46,115.56700,滚动弹幕,25,0xffffff,0,20e8ca6b,44428661455060995,供需关系不变，限制开发商没用
47,188.67000,滚动弹幕,25,0xffffff,0,ad8ebb4,44390821326225415,国家现在的大方向不是开发 而是保护
48,166.73900,滚动弹幕,25,0xffffff,0,ad8ebb4,44390797012893701,应该是相减的关系 而不是相加
49,199.38400,滚动弹幕,25,0xffffff,0,b095d01d,44385723479490565,未来一个人的出租屋会有很多人
50,266.89900,滚动弹幕,25,0xffffff,0,e9e7ead1,44362953036660743,其实是先知先觉
51,213.51900,滚动弹幕,25,0xffffff,0,46991b60,44343356845195271,两眼逐渐失去焦点
52,257.15100,滚动弹幕,25,0xffffff,0,b7468f35,44342130279710723,永远都是后知后觉
53,342.98200,滚动弹幕,25,0xffffff,0,e189bf3d,44339992532090887,果然lpr是个大坑
54,43.01900,滚动弹幕,25,0xffffff,0,3dbf47bb,44334134970023941,不生孩子是最好的反抗 
55,162.81000,滚动弹幕,25,0xffffff,0,8ab26e33,44319217090560005,实际是与既存利益者的博弈
56,186.81400,滚动弹幕,25,0xffffff,0,d04fdc2f,44317711925772295,沙哑磁性的声音
57,251.87900,滚动弹幕,25,0xfef102,0,85c5f28d,44312955315552261,一花开，百花杀
58,33.62600,滚动弹幕,25,0xffffff,0,54530bf9,44270463067619331,做，好好做，做好每一件事
59,313.04000,滚动弹幕,25,0xffffff,0,aacc167a,44264758279929863,这种金融游戏就离谱，背离了按劳分配的宗旨
60,194.96300,滚动弹幕,25,0xffffff,0,9e178975,44250126788067333,他涨的还是少在疯长一倍，多好我就不用考虑买了
61,437.77600,顶端弹幕,25,0x78ffff,0,6c591652,44249889469628423,不啊，我们三线城市也一直在涨
62,52.02400,滚动弹幕,25,0xffffff,0,1c75c785,44247793154916357,这个兄弟的声音像是芒果冰的音线
63,99.80000,滚动弹幕,25,0xffffff,0,6055551,44246107197276163,现在大部分的钱在房地产困住了
64,40.47900,滚动弹幕,25,0xffffff,0,4ec4da32,44243338576003075,祖上三代的积蓄都的拿出来
65,384.23900,滚动弹幕,25,0xffffff,0,cf7a6097,44242599686438917,汽车撞墙了知道拐了
66,411.55500,滚动弹幕,25,0xffffff,0,29c35473,44234336261636099,两三年内房子涨的会慢点
67,168.34000,滚动弹幕,25,0xffffff,0,a3d15996,44231799952375815,太晚了，已经很严重了
68,354.01800,滚动弹幕,25,0xffffff,0,fc4f32b7,44229257660989447,哈哈哈哈，让大家住街上
69,205.86000,滚动弹幕,25,0xffffff,0,4806e216,44228831788662791,听了个寂寞
70,163.42600,滚动弹幕,25,0xffffff,0,f59de761,44226206159601671,钱是最聪明的，放心他总有办法流到最赚钱的行业的
71,144.59800,滚动弹幕,25,0xffffff,0,c1971660,44225793914044423,其实是防止贷款进入金融市场。
72,250.95900,滚动弹幕,25,0xffffff,0,26d38c37,44225055600672771,房地产商就是最黑心的企业家了
73,322.23500,滚动弹幕,25,0xffffff,0,3da1875,44224990470995975,为了国家崛起资金必须流向高科技实业
74,490.02800,滚动弹幕,25,0xffffff,0,ed0cdf4e,44222005207629827,老家的大门永远向你敞开
75,86.65500,滚动弹幕,25,0xffffff,0,9670faaa,44221794433368067,我都是全款然后抵押套现
76,432.87800,顶端弹幕,25,0xe70012,0,33e26e39,44221303260446787,唉！没房的也得跟着倒霉了
77,98.21900,滚动弹幕,25,0xe70012,0,cd714e25,44219043440230403,大行超的多，小行和股份影响有限
78,497.00200,滚动弹幕,25,0xffffff,0,4d24e7e7,44217749168193603,把大城市的人挤出来，回到鹤岗那样房价低的地方。让小城市获得更多人才，城市回乡村建设家乡。区域固化那么教育 医疗 消费 娱乐 产业就会下放，可是真的有那些工作岗位吗？当然还是要靠创业创新产业升级。
79,473.49100,滚动弹幕,25,0xffffff,0,dbd8cfad,44212643523723269,大天津已经从直辖市退位到二线城市了
80,441.02000,滚动弹幕,25,0xffffff,0,c79e9d73,44212252429516807,一二线绝对限制不住
81,11.73900,滚动弹幕,25,0xffffff,0,be83c184,44210536038006787,倒是有人敢站起来才行啊
82,80.09900,滚动弹幕,25,0xffffff,0,4b7abbc9,44210135247093765,旧村改造分完房的人表示:涨不涨的和我无关
83,404.15900,滚动弹幕,25,0xffffff,0,621b17db,44208452164124677,至于刚需，这需要熬过这段时间。
84,227.64700,滚动弹幕,25,0xffffff,0,8cbf8f2b,44208421399429123,减少了供应端，楼价更升了。
85,394.64800,滚动弹幕,25,0xffffff,0,662a163b,44206433264205827,刚需永远是最惨的
86,17.92600,滚动弹幕,25,0xffffff,0,86868f97,44206312510717957,好品味《寂静岭》
87,494.74000,滚动弹幕,25,0xffffff,0,cc3d38f5,44201582227619843,回家宅基地盖房，还能传给孩子，何乐不为？
88,163.38600,滚动弹幕,25,0xffffff,0,f8720c91,44191784681603075,好家伙，讲的我都想睡觉了。
89,302.03500,滚动弹幕,25,0xffffff,0,1e47167f,44190802962808837,房价跌最怕的是可能产生通缩，因为大家财富缩水都不会消费了
90,66.43300,滚动弹幕,25,0xffffff,0,beb28f9d,44184890605830149,我就是来B站看长篇大论的
91,410.27500,滚动弹幕,25,0xffffff,0,2896c793,44183635373326339,好家伙彻底买不起了
92,338.28000,滚动弹幕,25,0xffffff,0,51726791,44182927778512903,首先银行最先倒霉
93,377.39600,滚动弹幕,25,0xffffff,0,b351ae8f,44181521960534021,突然听到熟悉的bgm 寂静岭
94,172.01000,滚动弹幕,25,0xffffff,0,4061a722,44175141426429955,等等再看，不着急买房
95,73.40800,滚动弹幕,25,0xffffff,0,345c6e9e,44174276014637063,bgm: promise(来自寂静岭2)
96,457.17900,滚动弹幕,25,0xffffff,0,5e7e1333,44172894299226119,这说明了什么为了年轻人回自己的家乡发展
97,126.35700,滚动弹幕,25,0xffffff,0,15bbc6d5,44172744719859715,炒房都是现金买，苦了刚需
98,422.95900,滚动弹幕,25,0xffffff,0,aa8fa480,44171537219584003,跟股市基金经理抱团白酒的逻辑一样
99,342.33000,顶端弹幕,25,0xffffff,0,18fda510,44164500577320963,房价从现在正式开启下一个黄金五年
100,241.15000,滚动弹幕,25,0xffffff,0,5b953ec4,44164211119489031,要把房地产池子里的钱都掏出来
101,241.17900,滚动弹幕,25,0xffffff,0,664b396e,44162726487916549,说白了，就是提高行业门槛
102,287.12300,滚动弹幕,25,0xffffff,0,e8d1d31d,44162582246850567,羊毛出在羊身上
103,105.50800,滚动弹幕,25,0xfef102,0,630d9d15,44162393809879047,幼儿园化一下
104,490.71900,滚动弹幕,25,0xffffff,0,ceaa401,44162109653647365,上帝的归上帝，撒旦的归撒旦
105,292.90200,滚动弹幕,25,0xffffff,0,91b4b8f2,44161915400749059,这么多空款，怕楼市大跌
106,35.22200,滚动弹幕,25,0xffffff,0,6e5e48d7,44161633244676101,说好的“房住不炒”呢？
107,385.99900,滚动弹幕,25,0xffffff,0,c309a7c4,44161571132276739,房价降了，其他生活用品的价格就会涨
108,339.45900,滚动弹幕,25,0xffffff,0,aeb05bcf,44160662244425733,许老板开的好头啊
109,223.37800,滚动弹幕,25,0xffffff,0,b9a53c4c,44160289420607495,其他类型的贷款最终也会流向楼市
110,50.57300,滚动弹幕,25,0xffffff,0,ffa9cc3b,44159935072174085,我还以为bgm是王力宏的爱错
