,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,75.99300,滚动弹幕,25,0xffffff,0,10ad8dea,53339644566797312,上海表示这个朱迪怎么嗲nini的
2,26.14700,顶端弹幕,25,0xe70012,0,44874049,33243873447247941,日语本来就是借吴语发音
3,37.65800,滚动弹幕,25,0x84c0cb,0,2d81533c,22710344909062144,又要查车牌号？
4,55.07100,滚动弹幕,25,0xfe0302,0,34794aee,22627527660404740,武汉人只听懂了那句日语
5,98.17600,滚动弹幕,25,0xffffff,0,9c2a48cb,4903792378118144,没有字幕的话我会全程懵逼
6,13.13900,滚动弹幕,25,0xffffff,0,eca3cbe8,485578565484546,等会，你确定这是上海话而不是日语？
7,93.35400,滚动弹幕,25,0xfef102,0,57539f67,4554683844,等会儿，这个笑话好像不大对
8,37.05900,滚动弹幕,25,0xe70012,0,9960fbbc,3801940733,重庆人表示懵逼
9,90.06000,滚动弹幕,25,0xffffff,0,54218335,3664758428,翻译：蚊子叮了py里，你猜一个名字
10,67.08400,滚动弹幕,25,0x0,0,a751daef,3459515525,全听懂的啊
11,38.75400,滚动弹幕,25,0xffffff,0,ff6ce5c1,3457574980,刚才兔子那句不错好可爱哦哦哦哦哦哦
12,62.37800,滚动弹幕,25,0xffffff,0,ecc71b92,3231316268,嘉兴人表示毫无感觉
13,65.10900,滚动弹幕,25,0xffffff,0,349de92b,2816064115,魔都人民听着毫无压力，好亲切
14,101.89300,滚动弹幕,25,0xffffff,0,26eb9265,2782314569,我班上有个同学李向阳哈哈
15,112.56000,滚动弹幕,25,0xffffff,0,41649ba9,2747972855,四川人已崩溃
16,79.77100,滚动弹幕,25,0xff0000,0,fb9527bc,2735093323,没有字母感觉就懵逼了
17,78.84000,滚动弹幕,25,0xffffff,0,83c4b3bf,2689123415,江西新余听得懂
18,55.65000,滚动弹幕,25,0xffffff,0,90d1349a,2545725471,上海话好像比其他吴语容易听懂的样子
19,83.46700,滚动弹幕,25,0xffffff,0,80fd0502,2411126071,天津人一脸懵逼路过。。。。
20,130.17300,滚动弹幕,25,0xffffff,0,6058ba15,2306742621,绵阳表示一脸懵逼
21,12.98600,滚动弹幕,25,0xffffff,0,4d490cda,2294744647,树獭的你后了，明明是树懒……
22,65.72200,滚动弹幕,25,0xffffff,0,8c2d32ec,2275426255,湖北蕲春人一脸懵逼
23,93.44100,顶端弹幕,25,0xfef102,0,55baf16f,2225810047,刚刚这个一个字都没听懂
24,82.33600,滚动弹幕,25,0xffffff,0,d22381e9,2138348231,苏北表示一脸懵逼
25,88.44900,滚动弹幕,25,0xffffff,0,d22381e9,2138297509,苏北表示一脸懵逼
26,122.00100,滚动弹幕,25,0xff0000,0,5458bcff,2096628015,大写的懵逼
27,92.70200,滚动弹幕,25,0xfef102,0,3496106d,2066044717,四川人民表示一脸懵逼……
28,45.72200,滚动弹幕,25,0xfef102,0,3496106d,2066035101,这说的哪个星球的话……
29,81.67900,滚动弹幕,25,0xffffff,0,9242b9d5,2036805071,这里我懂了哈哈哈
30,108.20100,顶端弹幕,25,0xa0ea,0,25349fa6,1989908703,这里四川人懵逼死咯
31,1.17300,顶端弹幕,25,0xffff,0,148344bc,1989337641,推荐平记的上海话版那个是标准的上海话
32,10.51300,滚动弹幕,25,0xffffff,0,22890a22,1743801875,桥豆麻袋？！你告诉我这是上海话？
33,72.59700,滚动弹幕,25,0xffffff,0,f8d0bde9,1735309221,嘉兴人！毫无压力哈哈哈
34,92.95500,滚动弹幕,25,0xffffff,0,6dc21e1d,1721786719, hhhhhhhhhhhhhhhh杭州没压力但你这笑话哈哈哈哈哈哈哈
35,57.71300,顶端弹幕,25,0xffffff,0,c7de38b8,1721683793,上海人民毫无压力2333333
36,64.58800,顶端弹幕,25,0xff3300,0,fc0b105a,1717787231,完全听不懂【躺
37,95.79700,滚动弹幕,25,0xffffff,0,7eba4a70,1716311839,四川人已崩溃
38,101.58300,滚动弹幕,25,0xffffff,0,6dfbeddc,1715836537,李向阳哈哈哈哈哈哈哈哈哈哈哈
39,99.53700,滚动弹幕,25,0xffffff,0,5604327b,1715458507,四川人真的是懵逼的。。。。
40,0.00000,滚动弹幕,25,0xffffff,0,a934ebf1,1714612373,兔子声音超萌的~考拉的声音太慢了，慢得特别搞笑，哈哈哈哈~
41,90.53800,滚动弹幕,25,0xffffff,0,c15655a4,1714027161,蚊子叮在菊花里 猜个名字
42,73.69600,顶端弹幕,25,0xe70012,0,f5f414d5,1709942975,无锡的表示无压力，毕竟都是吴侬软语
43,70.92500,滚动弹幕,25,0xffffff,0,4fcfbb18,1709752317,常州人毫无压力和哈哈哈哈哈哈哈哈
44,22.76200,滚动弹幕,25,0xffffff,0,3dbecbe3,1707934727,我为什么听到了快抢手
45,16.42600,滚动弹幕,25,0xffffff,0,9cfb685c,1705344065,因为上海人讲话喜欢夹外语，比如格则case
46,119.86700,滚动弹幕,25,0xffffff,0,abae308d,1704112579,李向阳=里面痒
47,30.97600,滚动弹幕,25,0xffffff,0,12119c0f,1704114275,卧槽听都听不懂！！！四川人民表示疯了
48,99.28200,顶端弹幕,25,0xffffff,0,d36e242,1704011195,李向陽！…………
49,96.55500,顶端弹幕,25,0xffff00,0,db629c6d,1703432003,李向阳
50,84.52700,滚动弹幕,25,0xffffff,0,c37a0c95,1702410653,hhhhh李向阳上线
51,26.17400,滚动弹幕,25,0xe2027f,0,2456947d,1701733335,狐狸的声音好苏！！！！！！！！
52,72.78700,滚动弹幕,25,0xffffff,0,d0fc62ea,1700977467,狐狸表情好棒
53,104.37100,滚动弹幕,25,0xffffff,0,6d668d38,1697526749,字正腔圆的李向阳哈哈哈哈
54,34.85800,滚动弹幕,25,0xffffff,0,ec556fad,1696908731,这个狐狸好慵懒 帅哭
55,60.77500,滚动弹幕,25,0xffffff,0,ec556fad,1696909729,兔子好萌！！！
56,39.36900,滚动弹幕,25,0xff9900,0,f87313d8,1696787401,声音好可爱
57,116.26600,滚动弹幕,25,0xffffff,0,422bf05d,1695062059,李向阳=里面痒
58,85.28400,滚动弹幕,25,0xffffff,0,410cdcce,1694777231,兔子声音好可爱
59,102.18600,底端弹幕,25,0xe70012,0,d76db073,1691837545,李向阳(上海话中的里面痒)
60,107.13400,滚动弹幕,25,0xffffff,0,2e766e8,1691040373,李向阳=里厢痒23333
61,61.19900,滚动弹幕,25,0xffffff,0,1c38abab,961410954290143232,保定人真懵逼
62,132.91500,滚动弹幕,25,0xa0ea,0,7a4255d2,32765668806361091,李向阳太草了
63,33.34100,滚动弹幕,25,0xffffff,0,71a4bb60,31517713369661445,这是南汇本地话吧。。郊区那边的
64,71.21700,滚动弹幕,25,0xffffff,0,e7fdd7ca,24154555167014916,北方人完全懵了
65,49.99800,滚动弹幕,25,0xffffff,0,6af4e1e8,16708428251529220,前面的，这还有个连蒙带猜能懂的
66,26.87100,滚动弹幕,25,0xffffff,0,a6069166,15935229430071298,原版中文配音里面就配有桥豆麻袋
67,75.97400,滚动弹幕,25,0xffffff,0,7cf70b6f,2188963397763076,阳江的举个手我看看
68,11.55700,滚动弹幕,25,0xffffff,0,d41c4ef7,4293107057,我怎么听见一句日语。。。
69,57.83000,顶端弹幕,25,0xe70012,0,b31e57fe,3551847981,好可爱啊！！！
70,50.68800,滚动弹幕,25,0xffffff,0,4e3d45fd,3516152403,还有那么一点像四川话就是说得太快了
71,94.11700,滚动弹幕,25,0xe70012,0,954df9fb,3485347759,真的完全没听懂啊
72,37.11200,滚动弹幕,25,0xe70012,0,954df9fb,3485344275,武汉人表示语速太快了
73,57.48800,滚动弹幕,25,0xe70012,0,954df9fb,3485345688,上海话有压力武汉人听不懂
74,43.98700,滚动弹幕,25,0xffffff,0,4e8d8587,3436153899,四川人能听懂的就我一个？
75,102.19400,滚动弹幕,25,0xffffff,0,b348ae03,3420027331,哈哈哈哈哈哈哈哈哈哈哈哈这个笑话听爷爷讲过！
76,71.89900,滚动弹幕,25,0xffffff,0,11a1f5f0,2500454571,江苏人表示还能接受
77,41.32000,滚动弹幕,25,0xffffff,0,ba600a7c,2421049971,广东人表示完全无压力！！！上海话超级好懂
78,115.98100,滚动弹幕,25,0xffffff,0,96520172,2123460577,一脸懵逼。。
79,64.99400,滚动弹幕,25,0xffffff,0,9242b9d5,2036803711,输下车牌号是吧
80,111.19900,滚动弹幕,25,0xffffff,0,b72c2673,1906641963,表情绝了
81,70.67900,滚动弹幕,25,0xffffff,0,b72c2673,1906639235,江苏人表示完全听得懂
82,99.95500,滚动弹幕,25,0xffffff,0,303428b9,1852073163, 台州人表示要笑死了
83,20.66800,滚动弹幕,25,0xffffff,0,262c837c,1798589907,上海话和日语听起来很像
84,13.67300,滚动弹幕,25,0xffffff,0,42aaf5f4,1785931325,等等，怎么听到日语了
85,103.62800,滚动弹幕,25,0xff,0,324aff43,1777707239,李向阳是谁？》
86,100.75400,顶端弹幕,25,0xff0000,0,df370760,1773859743,23333李向阳
87,100.62000,滚动弹幕,25,0xffffff,0,ba93d67c,1772349897,李向阳23333333333
88,87.53800,滚动弹幕,25,0xffffff,0,4b422139,1770055749,作为广东人，全国方言里面吴语我最听不懂23333
89,91.10000,滚动弹幕,25,0xffffff,0,206fa49,1756454987,上海人笑的颤抖。。。。。。。
90,107.07000,滚动弹幕,25,0xffffff,0,cf3c72e1,1742793533,成都，无压力
91,113.52000,滚动弹幕,25,0xffffff,0,eeb7f747,1725275199,江苏要笑死了，不管看几遍
92,105.17300,滚动弹幕,25,0xa0ea,0,d9b7fd05,1723301805,重庆人表示方了……李向阳？……
93,72.81600,滚动弹幕,25,0xffffff,0,953c2b52,1722167643,嘉兴人无压力~~
94,80.40200,滚动弹幕,25,0xa0ea,0,c9b21dbe,1721768695,想听大连话的
95,64.61500,滚动弹幕,25,0xffffff,0,deea1a01,1718533979,感觉像是川普小妹儿的声音喃。。 
96,127.17400,滚动弹幕,25,0xffffff,0,bdf63b24,1717520109,蚊子叮了朋友〔py〕
97,25.06200,滚动弹幕,25,0xffffff,0,f4b5cb73,1713234669,上海话完全听不懂
98,79.19100,顶端弹幕,25,0x99cc33,0,b170384f,1709998483,常州人表示毫无压力
99,98.83700,滚动弹幕,25,0xffffff,0,92067100,1708817715,李向阳哈哈哈哈哈哈哈哈哈
100,89.29200,滚动弹幕,25,0xffffff,0,169cc0b4,1707256283,上海话相当于吴语里的普通话了，温州人听懂有什么好奇怪的
101,89.20800,滚动弹幕,25,0xffffff,0,5e0a6ac4,1706220513,护理的表情好看
102,71.41900,滚动弹幕,25,0xffffff,0,fb574e72,1704928443,萌和恍恍惚惚和红红火火
103,122.54500,滚动弹幕,25,0xffffff,0,e50de7b3,1703558239,我现在的表情跟judy是一样的
104,78.86200,滚动弹幕,25,0xffffff,0,54271d68,1703412497,好可爱23333萌
105,99.23000,滚动弹幕,25,0xffffff,0,467c7f5a,1703374739,李向阳？？？！！！
106,31.87200,滚动弹幕,25,0xffffff,0,7f989311,1703180195,动物派出所2333
107,69.36500,滚动弹幕,25,0xffffff,0,5c16d0fa,1699944483,声音好可爱
108,52.48000,滚动弹幕,25,0xffffff,0,98f4bb63,1699355155,温州人竟然听得懂一点
109,85.09500,滚动弹幕,25,0xffffff,0,70ed6444,1699234243,nick的小眼神
110,108.16900,滚动弹幕,25,0xffffff,0,f5124a7e,1696439369,李向阳哈哈哈哈哈哈哈哈哈
111,21.55700,滚动弹幕,25,0xffffff,0,d93d12d4,1696253365,桥度麻袋是几个意思……
112,8.09300,滚动弹幕,25,0xffffff,0,5358d1c0,1695926755,为什么上海话等等是日语...
113,11.73400,滚动弹幕,25,0xffffff,0,235f7526,1694495541,声音好可爱～
114,62.50800,滚动弹幕,25,0xffffff,0,7a4255d2,32765625577766919,宁波人亲切
115,25.00200,滚动弹幕,25,0xffffff,0,7c20e118,30592696286445573,不是日语，是上海话
116,12.85900,滚动弹幕,25,0xffffff,0,8d789ddd,27087015619067908,上海话哈灵
117,15.08800,滚动弹幕,25,0xffffff,0,e7fdd7ca,24154520804130818,君日本语本当上手
118,82.40100,滚动弹幕,25,0xffffff,0,121f435b,3221490523701252,宁波人毫无压力
119,63.91800,滚动弹幕,25,0xffffff,0,17f5cbea,122359372578818,武汉人听不懂！！！！
120,41.02000,滚动弹幕,25,0xffffff,0,5a511768,3840977370,完全听得懂
121,111.32500,滚动弹幕,25,0xffffff,0,a3059271,3608876521,李向阳我们班主任
122,68.89900,滚动弹幕,25,0xe70012,0,53b112b2,2509021717,杭州人表示听懂了(ಡωಡ) 
123,70.07100,滚动弹幕,25,0xe70012,0,98a82e06,2337866325,我还以为日语
124,77.27600,滚动弹幕,25,0xffffff,0,b3644df3,2321763601,长沙人也听懂啦
125,8.96400,滚动弹幕,25,0xffffff,0,989c98fb,2315871543,为什么有日语啊23333
126,81.84700,滚动弹幕,25,0xffffff,0,e3d2971c,2297732857,广西人表示一脸懵逼
127,30.28300,滚动弹幕,25,0xffffff,0,e152079a,2027003411,这个上海话一点都不标准！！！！！！！
128,76.76200,滚动弹幕,25,0xffffff,0,c9315bce,1992823527,海盐人在这里！
129,58.05700,滚动弹幕,25,0xffffff,0,d60db2fd,1890331819,绍兴的毫无压力
130,79.99600,滚动弹幕,25,0xffffff,0,6229ebb1,1858606275,重庆人表示听不懂……
131,79.61800,滚动弹幕,25,0xffffff,0,49c544dc,1811533417,无锡人毫无压力
132,90.06500,滚动弹幕,25,0xffffff,0,338b07d4,1778049677,配合字幕，四川人可以听
133,19.56500,滚动弹幕,25,0xffffff,0,a30b92be,1768592539,日语是不是是仿的上海话呀
134,93.64400,滚动弹幕,25,0xffffff,0,c743d925,1735671697,盐城人毫无压力
135,72.57600,滚动弹幕,25,0xffffff,0,2c0cc370,1731056785,温州人民表示毫无压力
136,85.63400,滚动弹幕,25,0xffffff,0,9fa9fe8d,1730599517,云南人表示没字幕完全是在听外文
137,44.22400,滚动弹幕,25,0xffffff,0,953c2b52,1722186031,摒牢哈哈哈哈
138,103.19100,滚动弹幕,25,0xffffff,0,56029197,1721573323,李向阳O(∩_∩)O哈哈哈~
139,92.69500,滚动弹幕,25,0xffffff,0,4c4e5081,1718992743,魔都人表示无压力
140,87.67100,滚动弹幕,25,0xffffff,0,965c3c14,1717750481,声音好可爱
141,97.68500,滚动弹幕,25,0xa0ea,0,a00ee1d,1716074475,李向阳是什么鬼！！！
142,41.71600,滚动弹幕,25,0xa0ea,0,a00ee1d,1716070369,重庆人表示听不懂
143,70.95800,滚动弹幕,25,0xffffff,0,3b97b9bc,1715165793,宁波人毫无压力！
144,100.56800,滚动弹幕,25,0xffffff,0,effa3a01,1708862523,李向阳23333
145,47.83900,滚动弹幕,25,0xffffff,0,aee611,1708108227,完全听不懂hh
146,73.61200,滚动弹幕,25,0xffffff,0,e5d66312,1707222759,这不是平纪组
147,115.02200,滚动弹幕,25,0x6666cc,0,303277d4,1705006243,av4181336这版的疯狂动物城笑尿了
148,70.10900,滚动弹幕,25,0xffffff,0,57f4079f,1703741479,温州人表示听懂了
149,54.34100,滚动弹幕,25,0xffffff,0,353c8c7b,1703214557,摒牢摒牢2333
150,100.09500,滚动弹幕,25,0xffffff,0,4b71880a,1702062567,李向阳...
151,100.14000,滚动弹幕,25,0xffffff,0,b2394680,1701205637,李向阳等我！！！
152,125.12000,滚动弹幕,25,0xffffff,0,b79f19ee,1700463583,李向阳~\(≧▽≦)/~
153,127.91400,滚动弹幕,25,0xffffff,0,d899310c,1697385257,哈哈哈哈哈哈，李向阳
154,107.61300,滚动弹幕,25,0xffffff,0,8afc15bb,1696898121,李向阳~！！
155,101.94000,滚动弹幕,25,0xffffff,0,7de57e0a,1694060157,卧槽。。弹幕这么少不科学
156,33.03200,滚动弹幕,25,0xffffff,0,10ad8dea,53339609968611840,上海话有很多跟日语像的，不是喜欢夹外语。。
157,92.67600,滚动弹幕,25,0xffffff,0,77c0dce9,35938848348307463,黑字儿是什么等级？
158,109.76500,滚动弹幕,25,0xffffff,0,c5faae35,27145847528488960,哈哈哈哈哈哈哈哈
159,10.12500,滚动弹幕,25,0xffffff,0,8711158b,20204305277517824,日语混入
160,89.68400,滚动弹幕,25,0xffffff,0,59d611d,15958710435184644,虽然听不懂但是感觉还挺好听的
161,65.07100,滚动弹幕,25,0xffffff,0,9e12d5a,15355262177116164,无锡表示毫无压力
162,69.97300,滚动弹幕,25,0xffffff,0,b1d8073c,15229010914050052,2单独可以读两也可以读2的
163,8.11100,滚动弹幕,25,0xffffff,0,7da74edf,3737496356,ちょっと待って??????????
164,48.63900,滚动弹幕,25,0xffffff,0,6954da32,3412923578,嘉兴人无压力
165,79.86000,滚动弹幕,25,0xffffff,0,641f2822,2970963504,无锡人表示完全没问题
166,53.89900,滚动弹幕,25,0xe70012,0,b7627df8,2929829302,上海人表示听惯了
167,40.29700,滚动弹幕,25,0xffffff,0,ea838110,2349689165,上海人表示毫无压力
168,68.30900,滚动弹幕,25,0xffffff,0,57776e5c,2329246151,南昌人懵逼
169,84.98800,滚动弹幕,25,0xffffff,0,50a8ed6c,2074878169,和温州话有点像
170,47.85000,滚动弹幕,25,0xffffff,0,81ab321,1960612781,只听懂了桥豆麻袋
171,87.72500,滚动弹幕,25,0xffffff,0,d60db2fd,1890335629, 四就是四吧就一二三和日语差不多
172,88.33300,滚动弹幕,25,0xffffff,0,3dc51d15,1830280793,重庆的笑了
173,69.33900,滚动弹幕,25,0xffffff,0,eeb7f747,1725270933,江苏，毫无压力
174,96.67600,滚动弹幕,25,0xffffff,0,e93e5c38,1720263291,常州人表示听懂无压力
175,60.77500,滚动弹幕,25,0xffffff,0,e296c519,1716301681,好多完全听不懂
176,80.46400,滚动弹幕,25,0xffffff,0,2b845874,1715511791,常州的别跑！！
177,18.93100,滚动弹幕,25,0xffffff,0,5a3137cc,1715042475,没有唐山话？？？？？？？？？
178,117.16300,滚动弹幕,25,0xffffff,0,987487ce,1714684315,张家港人表示毫无压力
179,120.91100,滚动弹幕,25,0xffffff,0,ee93fa1,1712403899,卧槽我LOLID是李向阳。。。
180,105.10900,滚动弹幕,25,0xffffff,0,ca5bfc10,1711059569,李向阳？！
181,74.32400,滚动弹幕,25,0xffffff,0,7ae3e51f,1710691485,四川人以崩溃
182,71.11800,滚动弹幕,25,0xffffff,0,1d5adbe8,1710591591,苏州的别跑，同无压力
183,107.93100,滚动弹幕,25,0xffffff,0,291f8555,1710013239,杭州人表示听懂没压力，不需要字幕23333
184,2.25900,滚动弹幕,25,0xffffff,0,18631234,1708991975,哈哈哈
185,74.12000,滚动弹幕,25,0xffffff,0,9781cd48,1708654807,温州人表示听得懂
186,57.04500,滚动弹幕,25,0xffffff,0,ad592eed,1707705785,前面那个温州人憋走 我也是！！
187,30.20800,滚动弹幕,25,0xffffff,0,330ce6f8,1707390255,上海话闪电是HOXI
188,62.70400,滚动弹幕,25,0xffffff,0,ba90c3f2,1707226987,台州人表示无压力
189,99.88200,滚动弹幕,25,0xffffff,0,fb574e72,1704931145,李向阳？？？？？
190,102.80200,滚动弹幕,25,0xffffff,0,67a9a510,1703133009,好萌！
191,79.72500,滚动弹幕,25,0xffffff,0,7910fed2,1701832663,李向阳要来了
192,14.22300,滚动弹幕,25,0xffffff,0,64ce010e,1700564829,另外一个上海话版本更好听
193,71.64200,滚动弹幕,25,0xffffff,0,8ecd4290,1699989055,兔子像曼丽
194,103.40100,滚动弹幕,25,0xffffff,0,c7c2eca8,1699944731,(ノ°ο°)ノ前方高能预警
195,15.43800,滚动弹幕,25,0xffffff,0,6692b711,1698638553,为什么是日语的等等
196,109.80600,滚动弹幕,25,0xffffff,0,feedc480,1696604515,萌哭
197,23.03300,滚动弹幕,25,0xffffff,0,6a86558d,1696522299,这个版本好嘲
198,96.28800,滚动弹幕,25,0xffffff,0,641d5e5d,1695705189,李向阳23333333
199,132.64700,滚动弹幕,25,0xffffff,0,68c4570b,1691698569,树懒跟我回家
200,114.60400,滚动弹幕,25,0xffffff,0,f667a2b7,1691591079,2333333333333李向阳
201,103.22600,滚动弹幕,25,0xffffff,0,f667a2b7,1691590569,？？？！
202,67.31500,滚动弹幕,25,0xffffff,0,d80daa8b,29172939120705541,武汉人连蒙带猜
203,106.21700,滚动弹幕,25,0xffffff,0,29b0c19f,16221792885014532,哈哈哈哈哈哈哈哈
204,133.37800,滚动弹幕,25,0xa0ea,0,2e58a8d6,10753119114231808,完全听不懂啊。。。。。。
205,41.07900,滚动弹幕,25,0xffffff,0,1957be60,4266434273,重庆人表示听不懂。。。
206,103.91100,滚动弹幕,25,0xffffff,0,364f8494,3953701166,李向阳
207,78.64200,滚动弹幕,25,0xffffff,0,4dd370c5,3820501637,说甚嘞
208,75.91300,滚动弹幕,25,0xffffff,0,2ff784f0,3625460991,宁波人无压力
209,110.34700,滚动弹幕,25,0xffffff,0,5725cf8e,3509987005,2333333333333333333333333333333333333333333333333333333333
210,25.32700,滚动弹幕,25,0xffffff,0,9691d721,3492472362,我怎么感觉在听日语
211,61.01300,滚动弹幕,25,0xffffff,0,26c6549b,2644446071,诸暨人表示毫无压力
212,66.35500,滚动弹幕,25,0xffffff,0,add1688e,2358805093,表示完全听不懂
213,60.23500,滚动弹幕,25,0xffffff,0,989c98fb,2315875803,杭州人表示无压力
214,53.88800,滚动弹幕,25,0xffffff,0,60d6f18c,2234446751,完全听不懂
215,76.12800,滚动弹幕,25,0xffffff,0,62793695,2216343099,四川有点懵
216,103.25700,滚动弹幕,25,0xffffff,0,92580406,2049500953,哈哈哈哈哈
217,95.06800,滚动弹幕,25,0xffffff,0,9242b9d5,2036806165,名字
218,60.41500,滚动弹幕,25,0xfef102,0,5dfc4ba2,2009988585,听去很像杭州化
219,81.23600,滚动弹幕,25,0xffffff,0,764887e6,1894982197,绍兴的等等我
220,23.60300,滚动弹幕,25,0xffffff,0,d60db2fd,1890330827,闪电应该叫huasa
221,12.54300,滚动弹幕,25,0xffffff,0,dcf404b6,1828847315,这个上海话一点都不正宗
222,73.21500,滚动弹幕,25,0xffffff,0,fd5534a0,1759129737,绍兴的路过
223,91.76800,滚动弹幕,25,0xff0000,0,e743abb1,1742998567,四川人民在看字幕
224,86.27200,滚动弹幕,25,0xffffff,0,5cc863ca,1727664701,绍兴人表示无压力
225,80.54800,滚动弹幕,25,0xfef102,0,7d642216,1722373273,同无锡
226,102.77300,滚动弹幕,25,0xffffff,0,953c2b52,1722189551,哈哈哈哈哈哈哈
227,84.02300,滚动弹幕,25,0xffffff,0,6cbffb29,1719115735,绍兴人无压力
228,40.49400,滚动弹幕,25,0xffffff,0,fafd8a9c,1717658977,binglao233333
229,104.24500,滚动弹幕,25,0xffffff,0,7c79b003,1717623979,天津的我来了
230,105.85800,滚动弹幕,25,0xffffff,0,f5c4136,1715029991,哈哈哈
231,101.06100,滚动弹幕,25,0xffffff,0,a8ba86c6,1714695797,同为台州，等我…
232,76.73600,滚动弹幕,25,0xffffff,0,ca5bfc10,1711058239,台州人等等我
233,114.61900,滚动弹幕,25,0xfef102,0,c6b34e28,1710411581,ahahahahaha~
234,65.32200,滚动弹幕,25,0xa0ea,0,e236cc78,1709151283,前面苏州的同志好，我也觉得无压力
235,30.20800,滚动弹幕,25,0xffffff,0,330ce6f8,1707391809,上海话闪电是hoxi
236,68.78300,滚动弹幕,25,0xffffff,0,6c8bfd8f,1706938621,好萌
237,90.54800,滚动弹幕,25,0xffffff,0,999107a0,1700528019,怎么会听不懂啊
238,43.52200,滚动弹幕,25,0xffffff,0,7db97358,1700433923,南方人表示听得懂一点
239,15.62200,滚动弹幕,25,0xffffff,0,c896dd01,1698755545,桥豆麻袋!
240,43.32900,滚动弹幕,25,0xffffff,0,a676aeaf,1698607621,平纪组的这是
241,121.81700,滚动弹幕,25,0xffffff,0,e92555e5,1698585281,李向阳是什么梗
242,9.15700,滚动弹幕,25,0xffffff,0,f8843630,1691907527,找到麻袋
243,98.72100,滚动弹幕,25,0xffffff,0,f491bc60,1690681301,李向阳？？
244,100.18100,滚动弹幕,25,0xffffff,0,7c20e118,30592745869934595,李向阳
245,83.80900,滚动弹幕,25,0xffffff,0,bcfa4f79,28528898282618882,杭州人毫无压力
246,104.94300,滚动弹幕,25,0xffffff,0,b1542ad5,28372662883975168,哈哈哈哈哈哈哈
247,50.57900,滚动弹幕,25,0xffffff,0,5e65be32,15855472672768002,绍兴人无压力
248,108.90000,滚动弹幕,25,0xffffff,0,8fd10d91,15806910971772932,哈哈哈哈哈哈哈
249,84.10700,滚动弹幕,25,0xffffff,0,2aa20d78,4226019403,宜兴的呢
250,77.13900,滚动弹幕,25,0xffffff,0,b8204ab0,3966174547,上海人无压力~
