,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,4.90300,顶端弹幕,25,0xe70012,0,cbe413fe,1025494137467995136,移 船 挑 灯 遥 相 见
2,58.29800,顶端弹幕,25,0xe70012,0,ed05ef3,38931984254763013,战 术 踉 跄
3,59.95300,顶端弹幕,25,0xffff00,0,f939947b,36917738676420613,老 夫 撩 发 少 年 狂
4,79.17400,滚动弹幕,25,0xffaa02,0,741c8189,24827148326928384,物业敲门笑死哈哈哈哈哈哈哈
5,59.23000,顶端弹幕,25,0xfef102,0,103cb542,20693754871021572,战   术   踉   跄
6,56.90800,滚动弹幕,25,0xffffff,0,d603c0da,20479991579410432,战术踉跄哈哈哈哈哈哈
7,79.68000,滚动弹幕,25,0xff7204,0,e4750882,1026057476182766592,娇  羞  敲  门
8,60.64600,顶端弹幕,25,0xe2027f,0,ea8bcd58,1021920249320197632,老 夫 撩 发 少 年 狂
9,80.42300,顶端弹幕,25,0xffff00,0,c496495a,1019437640321087488,这一脚，踢出了整个盛夏
10,0.05200,顶端弹幕,25,0xd32d26,0,3de9dac3,1019344703218285056,茄   子   甩   狙
11,0.00000,顶端弹幕,18,0xe70012,0,9a5190e7,1018722581995690496,《众神归位 经典永不过时》
12,60.12200,顶端弹幕,25,0xffd302,0,f939947b,38763264275382275,老 夫 撩 发 少 年 狂
13,39.03900,顶端弹幕,25,0xffff00,0,6e98644e,28199677086138368,牧 童 遥 指 杏 花 村
14,66.13600,顶端弹幕,25,0xffff00,0,111fe796,27895431270760450,一  睹  芳  容
15,7.41500,顶端弹幕,25,0xe70012,0,83a6f65e,18038691817062404,领                    衔                    主                    演
16,11.99800,顶端弹幕,25,0xe70012,0,83a6f65e,18038673756389378,领                    衔                    主                    演
17,6.49200,顶端弹幕,25,0xffff00,0,e7a368a6,42089198082064387,请  选  择     您  的  英  雄
18,78.11900,顶端弹幕,25,0xfef102,0,9aee9b79,39137634753708037,震  荡  试  管
19,2.41900,顶端弹幕,25,0xe70012,0,bd011edf,1023735891228770304,请 选 择 你 的 英 雄
20,43.15400,滚动弹幕,25,0xfef102,0,6f073349,1023070851874283520,人类反祖现场
21,48.65900,滚动弹幕,25,0xe70012,0,bf67f791,1021737517814488576,后排日常稳定输出
22,23.09900,顶端弹幕,25,0xfe0302,0,72def90c,1017573891591524352,社区送温暖
23,44.31900,顶端弹幕,25,0xe70012,0,926105e6,50284724295303175,Pdd后排稳定输出
24,0.87900,顶端弹幕,25,0xe70012,0,9b9d95bb,40905579079139335,请 选 择 你 的 英 雄
25,39.65500,顶端弹幕,25,0xfef102,0,643c7838,38993969714561027,仙    人    指    路
26,3.83500,顶端弹幕,25,0xe70012,0,1123739c,22510371072901122,众               神               归               位
27,65.90800,顶端弹幕,25,0xfef102,0,34b7af67,19623403966169088,这充满不羁的眼神
28,58.99400,顶端弹幕,25,0x19899,0,8de824af,1025464139604282368,《食堂刷脸付款》
29,44.00900,滚动弹幕,25,0xffffff,0,4239c06a,1025239496658005504,好果厨，你让我陷入 疯狂。
30,9.24900,滚动弹幕,25,0xe70012,0,fff25e72,1024592353475865600,《果宝机甲 合体》
31,0.00000,顶端弹幕,25,0xffffff,0,cccc6dbd,1023255060161093120,原著：石之森章太郎
32,18.99700,滚动弹幕,18,0xa0ea,0,259697e8,1021070543878753280,《 六 道 仙 人 》
