,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,421.85200,滚动弹幕,25,0x9843,0,8a058d2a,1022205796345572864,一个崭新的植物人即将诞生
2,167.14000,滚动弹幕,25,0x9843,0,8a058d2a,1022203327292948480,欲擒故纵计
3,495.25900,滚动弹幕,25,0xffffff,0,64a41d70,1022096664086981120,左手六右手七左脚画圆右脚踢
4,268.28200,滚动弹幕,25,0xffffff,0,32508620,1013848287951868416,这么问谁都有不一样的地方
5,647.53800,滚动弹幕,25,0xffffff,0,49ba08fd,1008745283837852672,这句第三部还有返场
6,434.86100,滚动弹幕,25,0xffffff,0,713a63a8,1008503276901175296,拖拉机启动时的笑声哈哈哈
7,68.87400,滚动弹幕,25,0xffffff,0,ad85829,1008166805597969408,都是有高瞻远瞩性的市场敏锐度
8,4.73900,滚动弹幕,25,0xe70012,0,737a4db1,1004253086987876352,梦开始的地方！
9,618.22600,滚动弹幕,25,0xfef102,0,c2584443,1003842384129412096,笑喷两口饭
10,537.94600,滚动弹幕,25,0xfef102,0,c2584443,1003841649153179136,节奏拿捏得真好啊
11,466.93900,滚动弹幕,25,0xffffff,0,c4aea8ac,1001466113739166208,敏敏噘嘴好可爱
12,359.97700,滚动弹幕,25,0xffffff,0,e41ef95a,1001345471874178560,当时观众都是由衷的哈哈大笑，这种感觉似乎已成昨天
13,431.03700,滚动弹幕,25,0xffffff,0,c74de10,999820365083772416,《智慧的眼神》
14,456.46000,滚动弹幕,25,0xffffff,0,b684c1e0,997248738192228352,感觉这一段动作技巧在姜文的电影里也有体现
15,570.37200,滚动弹幕,25,0xffffff,0,59b39a9e,992072620717088768,哈哈哈哈才知道梗出自这里
16,580.49900,滚动弹幕,25,0xa0ee00,0,135308e7,990536846241218560,头给老子笑飞掉了
17,443.83200,滚动弹幕,25,0xffffff,0,3741dc81,988966854775275520,高老师其实担任一个评价的视角
18,558.02600,滚动弹幕,25,0xffffff,0,6df92071,986082617757179904,要啥自行车啊！！！！这个梗真的绝了！！！
19,315.01800,滚动弹幕,25,0xffffff,0,6df92071,986079947064254464,死根儿滴！哈哈哈哈哈哈这句太好笑了
20,611.07700,滚动弹幕,25,0xffffff,0,8f662e2e,984826358996320256,警世名言
21,568.46100,滚动弹幕,25,0xffffff,0,235dee5a,984194603819229184,要啥自行车哈哈哈哈哈
22,560.21100,滚动弹幕,25,0xffffff,0,8d5e8b48,984183213504602112,这一句！贯穿星尘！！！！
23,455.39900,滚动弹幕,25,0xffffff,0,9f6f5813,982194814128529408,这个小品高秀敏老师表演的太牛了
24,437.69800,滚动弹幕,25,0xffffff,0,a9a757e1,982129771403665408,高老师的笑声太有感染力了哈哈哈哈
25,611.00900,滚动弹幕,25,0xe70012,0,43114d1e,980478311606886400,高老师看不下去了
26,434.67700,滚动弹幕,25,0xfef102,0,43114d1e,980476284330991616,这笑声太绝了！
27,647.21600,滚动弹幕,25,0xffffff,0,f0c5bd9d,979919200966393856,以前是小品创造流行语
28,264.86900,滚动弹幕,25,0xffffff,0,f0c5bd9d,979915776721510400,范伟表情哈哈哈哈
29,574.85900,滚动弹幕,25,0xffffff,0,266b5fae,979898627361677312,从小培养要啥自行车
30,583.89200,滚动弹幕,25,0xffffff,0,93377e0e,979873361656496128,哈哈哈这词用的太好笑了告别自行车了
31,5.95900,滚动弹幕,25,0xfef102,0,93377e0e,979866206876524544,最经典的小品
32,181.01900,滚动弹幕,25,0xffffff,0,87b385bb,979136535712645120,这个心理属实是拿捏住了
33,430.35400,滚动弹幕,25,0xf0ab2a,0,3ad534b5,979094751798476800,把大忽悠还吓一机灵这笑的
34,418.89400,滚动弹幕,25,0xffffff,0,47e91309,979081196721922048,高秀敏在台上看小品
35,14.22800,滚动弹幕,25,0xffffff,0,18ea59f6,978785192391090176,经典永流传哈哈
36,361.28600,滚动弹幕,25,0xffffff,0,38b7b3a7,978497539051560960,当年的观众是真的看得高兴
37,541.91400,滚动弹幕,25,0xffffff,0,77e63e50,978367613428236288,哈哈哈哈哈哈哈哈哈思路清晰啊
38,167.74300,滚动弹幕,25,0xffffff,0,cdfffc61,978350076835340288,大声密谋
39,15.33600,滚动弹幕,25,0xffffff,0,7a947527,978333159876378624,走两步没事走两步
40,339.00300,滚动弹幕,25,0xffffff,0,73e74cb,978252067952066560,《心眼儿好》
41,186.73700,滚动弹幕,25,0xffffff,0,36b78348,978236888083685376,范老师的铁道英雄不错
42,101.39900,滚动弹幕,25,0xffffff,0,f1a4159e,978172824438341632,艺名：大忽悠
43,609.02300,滚动弹幕,25,0xffffff,0,d4f180c4,978128133163753472,句句都是经典
44,457.74000,滚动弹幕,25,0xffffff,0,6cfba850,978093974620979200,图穷匕见了属于是
45,620.68400,滚动弹幕,25,0xffffff,0,e92b2a56,978057567965028352,每句都是名言
46,622.75500,滚动弹幕,25,0xffffff,0,aa3913e6,978008204587401216,这个小品竟然只有十分钟，笑点太密集了
47,224.66700,滚动弹幕,25,0xffffff,0,63757c65,977712352606814208,赵本山瞪眼睛也太可爱了小老头哈哈哈哈哈哈
48,557.97900,滚动弹幕,25,0xffffff,0,a3612256,976814872345616384,要啥自行车=还有非分之想
49,257.67500,滚动弹幕,25,0xe70012,0,83b49795,976813731116859392,这是几几年的春晚
50,589.97900,滚动弹幕,25,0xffffff,0,6f620376,976191918137057280,科普：这车当年新车价498
51,4.33900,滚动弹幕,25,0xe70012,0,1495ca6a,976102028599902208,经 典 老 番
52,238.91800,滚动弹幕,25,0xffffff,0,d53a7f97,975346593941692416,经典台词来了
53,565.78000,滚动弹幕,25,0xe2027f,0,5ffff66a,974907650622226432,这句名言至今网上还在用
54,408.55300,滚动弹幕,25,0xffffff,0,fd6fb54a,974806949354135552,哈哈哈哈。每一句每一个字都是重点 牛逼
