,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,351.41800,滚动弹幕,25,0xffffff,0,7081db02,1023856631911643136,何止90年最佳，迄今为止最佳
2,705.52600,顶端弹幕,25,0xe70012,0,1ff286e6,1021656384992919040,神来之笔
3,735.30700,顶端弹幕,25,0xfef102,0,a3541945,1021483767128306176,盆腔共鸣
4,3.21900,滚动弹幕,25,0xffffff,0,238e1b74,1019741188175084032,这是中国小品节目的天花板，没有之一!
5,7.21600,滚动弹幕,25,0xffffff,0,43991005,1018177426410274304,《全文背诵》
6,334.74000,滚动弹幕,25,0xffffff,0,281e5c41,1016400695865363456,80后小时候，这样的艺术家数不胜数，大家都有真功夫
7,191.75500,滚动弹幕,25,0xffff00,0,621c0be2,1016029775099246592,随机任务：修复枪带
8,1003.15500,滚动弹幕,25,0xffffff,0,86b029ff,1015867645259665408,刻进DNA了
9,66.76900,滚动弹幕,25,0xffffff,0,1ce829a6,1014974387658504704,小品的巅峰作品
10,77.98000,顶端弹幕,25,0xffff00,0,9447587,1013938116781980160,还有一句是“别打了，我招”（doge
11,375.36700,滚动弹幕,25,0xffffff,0,8b87ebed,1012286330274803200,大声密谋
12,100.55500,顶端弹幕,25,0xe70012,0,48190cb3,1011756488915675648,《老茂》
13,48.51800,顶端弹幕,25,0xe70012,0,48190cb3,1011755592181679104,《一枪把你崩了》
14,872.60000,滚动弹幕,25,0xfe0302,0,621c0be2,1011654409177958912,你俩这台词不对啊
15,302.85900,滚动弹幕,25,0xffffff,0,f74464f9,1008142452512939008,朱时茂要憋不住了哈哈哈哈
16,540.30700,顶端弹幕,25,0xe70012,0,a768f97,1006667491495320064,这个倒地姿势哈哈哈
17,913.44600,顶端弹幕,25,0xfef102,0,d9df9a9c,1005929312538409472,重新定义“浓眉大眼”
18,817.89400,顶端弹幕,25,0xfef102,0,d9df9a9c,1005927375784969728,《样板戏》
19,287.91000,顶端弹幕,25,0xfef102,0,d9df9a9c,1005921496092205568,《前传·蛋哥崛起》
20,155.36900,顶端弹幕,25,0xffffff,0,429cc930,1005824285522046464,这俩人都好帅呀
21,108.19000,滚动弹幕,25,0xffffff,0,a9fe9beb,1003873743195422208,这两位都是八一厂的电影演员，台词功底很深的。
22,692.51800,滚动弹幕,25,0xffffff,0,9c092620,1000843020729564672,这演主角多是一件美事啊
23,976.48700,顶端弹幕,25,0x9843,0,11a80495,1000798196395813376,反主为客
24,5.58600,滚动弹幕,25,0xffffff,0,13ceedc2,999591709757445632,经典咏流传，
25,121.59500,滚动弹幕,25,0xffffff,0,b71bc9cf,999424056749129728,为什么那时候的小品，不看字幕我都能听懂
26,254.37900,滚动弹幕,25,0xffffff,0,1bf81422,996385752702320640,这发音好清晰，根本不用字幕
27,443.54300,顶端弹幕,25,0xffffff,0,7719454a,994788062876147712,羊肉串
28,443.54300,顶端弹幕,25,0xffffff,0,7719454a,994787969931460608,姐夫与小舅子
29,434.33900,顶端弹幕,25,0xa0ea,0,f4bdadc6,994317132887597056,一语成谶啊
30,255.13300,滚动弹幕,25,0xffffff,0,4808fe67,994102975530303488,经典喜剧大师，太可惜了
31,200.89800,滚动弹幕,25,0xffffff,0,4808fe67,994102333002588160,完全没注意枪带断了，太牛了
32,184.61900,顶端弹幕,25,0xe70012,0,e1441217,992898646570041344,但是他俩小品朱时茂全是配角
33,220.51800,顶端弹幕,25,0xfef102,0,74231744,992662482169389056,《只要你能够投降黄金》
34,667.15600,滚动弹幕,25,0xffffff,0,27c4880,992169887900000256,没想到，枪带着断了，节目效果却炸了
35,967.45900,滚动弹幕,25,0xffffff,0,99cf9565,990759291861221376,他们俩个角色有悄无声息的换回来了
36,941.59000,滚动弹幕,25,0xffffff,0,bb67d4df,988956386416656384,太熟练了这iOS流程
37,839.93500,滚动弹幕,25,0xffffff,0,b3ed12d5,987084036078854144,立功的消息哈哈哈哈哈哈哈
38,738.81900,滚动弹幕,25,0xffffff,0,5707d1e3,987075000015822848,嘴角没下去过哈哈哈哈哈
39,16.97900,滚动弹幕,25,0xffffff,0,75835c47,986899891312181248,这才叫小品！
40,919.63300,顶端弹幕,25,0xfef102,0,c9409573,986462631953547264,直到今天还时不时能见到的梗！
41,842.97900,顶端弹幕,25,0xe70012,0,325e7e69,986333771867004928,太牛了这一段肢体语言
42,724.33000,顶端弹幕,25,0xe70012,0,69d887b7,986306886320783360,诶，这，这不对吧（doge
43,425.93100,滚动弹幕,25,0xffffff,0,188159c0,985693932154929152,这台词写给央视的吧，当时陈朱的小品在台里很有阻力
44,680.13500,顶端弹幕,25,0xcc0273,0,71a6015d,985536549140504576,朱时茂是真帅啊，完爆小鲜肉
45,425.87400,顶端弹幕,25,0xcc0273,0,71a6015d,985533998731411456,当年真的太敢说了，这才是真正的艺术家啊
46,592.75900,滚动弹幕,25,0xfef102,0,8f0697a7,985358266173202432,这脚腕力量一般人做不出来啊！
47,111.38000,滚动弹幕,25,0xffffff,0,514dcdea,984864817637974016,用播音的发音演小品
48,3.58000,滚动弹幕,25,0xffffff,0,514dcdea,984863780612104192,经典咏流传
49,911.63900,滚动弹幕,25,0xe2027f,0,8f0697a7,984836904942518272,史前核武器登场
50,650.16100,滚动弹幕,25,0xffffff,0,ec61278e,984825429049417728,发动群众斗群众
51,750.87200,顶端弹幕,25,0x927939,0,91aef496,984806618837008384,《叛徒神气什么？！》
52,704.01400,顶端弹幕,25,0x9843,0,91aef496,984806194705203200,带子短了反而成就经典
53,652.48200,顶端弹幕,25,0xe2027f,0,91aef496,984805352783839232,群众的眼睛自然雪亮的嘛
54,651.86600,顶端弹幕,25,0x9843,0,91aef496,984805290179518464,群众的眼睛自然雪亮的嘛
55,559.51300,顶端弹幕,25,0x84c0cb,0,91aef496,984804612265713664,《哎呦，这不显得您枪法准嘛》
56,134.95500,顶端弹幕,25,0xfef102,0,269a3705,984480755861602304,《  氪  气  》
57,780.75900,滚动弹幕,25,0xffffff,0,5a47380,984159010953248768,贾队长:原来我的枪长这样
58,840.58900,滚动弹幕,25,0xffff00,0,dc0b80d5,984124602280747008,一段节目出仨手办
59,156.45900,滚动弹幕,25,0xffffff,0,882a2f91,983964543810625536,这衣服太适合他了哈哈哈哈哈
60,859.21500,滚动弹幕,25,0xffffff,0,68dfa1a,983798765718380544,朱时茂这句“什么！？”哈哈哈哈
61,424.54700,顶端弹幕,25,0xffffff,0,c444916f,983350749852360704,这句话厉害了
62,694.82500,滚动弹幕,25,0xffffff,0,47d65dde,983051813524570112,老茂还专门检查了一下枪带
63,233.13900,滚动弹幕,25,0xffffff,0,22023bb6,982806223741419520,抢位子呢哈哈
64,199.96200,顶端弹幕,25,0xffffff,0,8e684c41,982804490694549504,这里朱时茂给了一个手势，陈佩斯注意到了
65,52.58500,顶端弹幕,25,0xffff00,0,4124264b,982794164048560128,这台词功底，根本就不需要看字幕
66,34.41900,滚动弹幕,25,0xffffff,0,d3e940ec,982777650332532736,陈佩斯爸是黄世仁专业户，所以说又叛变了
67,453.52100,滚动弹幕,25,0xffffff,0,1516be29,982770305385119744,这句笑死我了哈哈哈哈
68,607.67700,滚动弹幕,25,0xffffff,0,a1e24866,982560044973867008,多谢提醒，还真的和《论捧逗》对的上……
69,286.63100,滚动弹幕,25,0xffffff,0,a1e24866,982557425134731264,真默契，一个挡住的时候，另一个立刻低头查看情况。
70,519.46300,顶端弹幕,25,0xe70012,0,6201cf08,982025539878117376,前方持续高能
71,680.14300,滚动弹幕,25,0xfef102,0,cd486fa4,982020339769786368,这个小品再过一百年也是经典。
72,871.86800,滚动弹幕,25,0xffffff,0,9516e57,982020023553695744,笑岔气了哈哈哈哈哈
73,6.69900,滚动弹幕,25,0xe70012,0,312ce577,981917651098329088,什么叫小品天花板？这就是。
74,951.09500,顶端弹幕,25,0xfef102,0,74231744,981834095722651648,这个“扣”踩点太好玩了
75,447.05300,顶端弹幕,25,0xfef102,0,74231744,981829024171376640,然后后面全演了。
76,695.19300,滚动弹幕,25,0xffffff,0,2bd1d532,981761615170879488,代号:穿山甲
77,406.65800,滚动弹幕,25,0xffffff,0,cd78bbd2,981711928536088576,那时候哪有那个意思，就是走到画的圈外面了…
78,972.61800,滚动弹幕,25,0xffffff,0,737a9d9e,981670078497013760,《反客为主》
79,758.83300,顶端弹幕,25,0xffffff,0,19b5e700,981291133469974528,全是金句
80,2.89900,滚动弹幕,25,0xffffff,0,2a86a0f9,981207831899545600,最喜欢的哈哈哈哈哈啊哈哈哈
81,673.45700,滚动弹幕,25,0xffffff,0,3e4b3f3c,981078605178626048,台下的观众也是看热闹不嫌事大
82,639.54200,滚动弹幕,25,0xffff00,0,427c0454,980658262331121664,第一个喊行的是工作人员！
83,872.58200,滚动弹幕,25,0xffffff,0,79079fd7,980650150976561152,《无 间 道》
84,719.46600,滚动弹幕,25,0xfef102,0,fe45a32,980630554659643392,名词解释：点头哈腰
85,10.65100,滚动弹幕,25,0xffffff,0,fac41692,980617616026845184,我好喜欢这对黄金搭档
86,319.84100,顶端弹幕,25,0xffff00,0,6d6482d9,980596082760204288,要不是后来曝光谁注意能到带子断了这演技神了
87,564.90700,滚动弹幕,25,0xffffff,0,7e1e5144,980509397440413696,这就是优秀的作品，看到都会背了依然觉得好笑
88,734.50000,滚动弹幕,25,0xffffff,0,9de63b2c,980432762922967040,演的太好了，眼神表情到位了
89,686.85900,顶端弹幕,25,0xfef102,0,a224b76b,980428740071989248,高级特工穿山甲
90,168.15500,滚动弹幕,25,0xffffff,0,923ec3f8,980334807947313152,“谁有戏”
91,205.53900,滚动弹幕,25,0xffffff,0,eb31d3f3,980235932411248640,想杀一个人的眼神
92,699.91900,滚动弹幕,25,0xfef102,0,1b3c6c98,980232025112084480,确实了哈哈哈哈哈
93,727.46800,滚动弹幕,25,0xffffff,0,e5ad9b92,980205679371960320,我看了快一百遍了，还是会笑出声
94,855.75000,滚动弹幕,25,0xffffff,0,432acbe7,979943495708975104,一直蚌到这儿没绷住
95,15.33900,滚动弹幕,25,0xffffff,0,c45a02b4,979906530525290496,从倒放过来温习一下正放的
96,668.17900,顶端弹幕,25,0xffffff,0,20dda104,979887060823490560,“您一直都是主角”
97,453.17800,滚动弹幕,25,0x683a7b,0,f02adc33,979873883980800000,《几千年就出这么个东西》
98,9.37900,滚动弹幕,25,0xffffff,0,18617f17,979870214605660160,已经开始笑了哈哈哈哈哈哈哈哈
99,130.84100,滚动弹幕,25,0xffffff,0,79b638e1,979807741954670592,真正的经典啊！
100,348.05900,滚动弹幕,25,0xffffff,0,53bd47b7,979784527358042112,小品就是他俩开创的，吃面条是春晚历史上的第一个小品
101,2.45900,滚动弹幕,25,0xffffff,0,8b3860c3,979734771149889536,经典咏流传
102,446.96200,顶端弹幕,25,0xe70012,0,19ae696c,979679242826588160,这一家出了3个
103,703.33800,顶端弹幕,25,0xffffff,0,5b993450,979603944079761408,枪简直点睛之笔
104,99.51900,滚动弹幕,25,0xffffff,0,5b993450,979597839717343232,一分钟内交代清楚前因后果，绝！
105,518.64700,滚动弹幕,25,0xffffff,0,c283e1be,979586452242284544,这表情笑死我了
106,451.02300,顶端弹幕,25,0xe70012,0,11554a4f,979509566864236544,想刀一个人的眼神是藏不住的
107,590.09900,顶端弹幕,25,0xe70012,0,4994c5a5,979482194563309568,出手办！！！
108,625.73900,滚动弹幕,25,0xffffff,0,19b6f8e3,979477552557031424,这个节奏转变的挺自然
109,742.12500,滚动弹幕,25,0xffffff,0,9a399aeb,979472116708179968,这一年我9岁，已经回忆不起当时自己的笑声
110,903.07500,滚动弹幕,25,0xffffff,0,8d1e176b,979206496193929216,我一直以为挑眉这个表情是这么来的
111,968.55800,滚动弹幕,25,0xffffff,0,e298a8c0,979200368016515072,哈哈哈无缝转场
112,51.60400,顶端弹幕,25,0xe70012,0,d6277788,979119328948584448,这个小品需要背诵全文。谢谢。
113,209.82500,顶端弹幕,25,0xe70012,0,4ec9154d,979111126177521664,大家认识看节目
114,744.21000,滚动弹幕,25,0xe70012,0,2738c9cd,979096195320274944,不愧是小品天花板
115,99.95100,滚动弹幕,25,0xe70012,0,5bef8a48,979095518777729024,改编不是乱编(doge
116,97.21500,滚动弹幕,25,0xffffff,0,d5e7b3c0,979059817441247232,眼神里全是戏啊！
117,109.61900,滚动弹幕,25,0xffffff,0,67899003,979020793507717120,表情很棒说词很清晰
118,936.66200,顶端弹幕,25,0xfe0302,0,718f0807,979009660533424128,挑眉绝了
119,858.34600,顶端弹幕,25,0xfe0302,0,718f0807,979008807745404928,哈哈哈，太熟练
120,10.89900,滚动弹幕,25,0xffffff,0,c3affb03,978998669843038208,一代经典咏流传
121,975.64900,滚动弹幕,25,0xffffff,0,eb93573f,978989098530873344,攻守之势异也
122,906.38100,顶端弹幕,25,0xfef102,0,d04dd39c,978906062708875264,心里话输出
123,486.23500,顶端弹幕,25,0xfef102,0,d04dd39c,978901804559679488,出手办！！！！
124,420.26800,顶端弹幕,25,0xfef102,0,d04dd39c,978901075718127616,金句合影
125,19.75500,滚动弹幕,25,0xffffff,0,3a4c697f,978895766598443008,337个人，都是看完春晚来这儿的吧
126,688.27900,滚动弹幕,25,0xfef102,0,779eb029,978863865946775552,代号，穿山甲
127,31.26600,滚动弹幕,25,0xffffff,0,e2f034c3,978860677876596736,除了台词表情也很棒！所以才能笑出声来
128,151.46200,滚动弹幕,25,0xffffff,0,45c0628c,978816842483523584,佩斯叔叔其实你是主角（指小品里）。
