,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,52.12400,滚动弹幕,25,0xffffff,0,b6deb45f,54062315065848832,前面还行，后面代入感简直身临其境；
2,21.73300,滚动弹幕,25,0xffffff,0,e0c4301a,53724027474228224,一行一个：wq你怎么说
3,59.93900,滚动弹幕,25,0xffffff,0,b63d8026,51822837029666823,猿鸣三声泪沾裳
4,39.47900,滚动弹幕,25,0xffffff,0,6a3580a6,43190347687788551,shader很多时候其实往往是一个代码结构错误导致后面全错了
5,51.87600,滚动弹幕,25,0xfef102,0,608aa630,42764156781199365,你看他开心得都哭了起来
6,52.31900,滚动弹幕,25,0xcc0273,0,8631dfb0,41521558624141319,不是程序员看到这个也要崩溃了。
7,52.56900,顶端弹幕,25,0xffffff,0,6053a9f9,39759176396701699,心肺停止
8,38.01900,滚动弹幕,25,0xffffff,0,f6a6bd3e,39676739009380359,这个error太真实了哈哈哈哈哈哈哈哈
9,46.93900,滚动弹幕,25,0xffffff,0,6ce1a7fb,39099050908712965,你看他笑的多开心
10,28.32100,滚动弹幕,25,0xffffff,0,c40e11ce,38728882265260037,他哭的越大声，我笑的越开心
11,36.07000,滚动弹幕,25,0xe70012,0,debeefe7,38474256396845059,他现在这一通操作是想赶紧保存。。。
12,14.47100,滚动弹幕,25,0xffffff,0,deb78086,37684032073891845,代入感很强，我已经开始生气了
13,22.37900,滚动弹幕,25,0xe70012,0,fbfe530,36799586978758661,下意识地摸了摸头发
14,8.72200,滚动弹幕,25,0xffffff,0,27ac167a,36787653713592323,可以说非常传神了哈哈哈哈啊哈哈哈哈哈
15,59.90800,滚动弹幕,25,0xffffff,0,ecdfa34,36711165909270531,十个泪目九个笑，还有一个在狂笑
16,51.09400,滚动弹幕,25,0xffffff,0,6e2b23eb,36696756469628931,你看他笑的多开心
17,8.04600,滚动弹幕,25,0xffffff,0,25566fc3,36566708069072903,生无可恋的表情
18,7.60100,顶端弹幕,25,0xffffff,0,c4051492,36470759333822469, 不  可  恢  复
19,33.67000,滚动弹幕,25,0xffffff,0,3eb87dd,36421547890573315,真正的程序员已经开始哭了
20,55.58900,滚动弹幕,25,0xe70012,0,c3d39f66,36372065817722885,xp界面后突然混入win10的东西
21,14.25900,滚动弹幕,25,0xe70012,0,67bebebf,36302502763692037,锟斤拷烫烫烫
22,56.91900,滚动弹幕,25,0xffffff,0,c5ecdd77,36249581200605191,十个泪目九个笑，还有一个在狂笑
23,51.65200,滚动弹幕,25,0xffffff,0,9af8ee3a,36211139696132101,十个哭九个笑还有一个在狂笑
24,43.23400,滚动弹幕,25,0xffffff,0,ad42e5ea,36169146608123909,哭着把代码敲完了哈哈哈哈
25,56.81900,顶端弹幕,25,0xe70012,0,2012df98,36090492491399175,他  在  狂  笑
26,0.76800,滚动弹幕,25,0xffffff,0,f648f837,36065363553681415,3万的分享量也太真实了
27,52.21500,顶端弹幕,25,0xffffff,0,20dce064,36048617214050311,你看他啸得多开心
28,4.39400,滚动弹幕,25,0xffffff,0,f79ec642,36026558407770115,带入感很强，已经开始生气了
29,36.01200,滚动弹幕,25,0xffffff,0,38089482,35936313516490757,啧，像极了我打了一篇很长的作文却在保存时丢失的心情
30,21.37100,滚动弹幕,25,0xffffff,0,5da28d36,35935945203122181,我做毕设的时候，都被自己气笑了
31,53.86300,滚动弹幕,25,0xfef102,0,22f25a57,35896205972602885,写入受保护的内存哈哈哈哈
32,10.92200,滚动弹幕,25,0xffffff,0,5cd356c8,35888379378794565,真实，而且我有时还会暴躁到摔鼠标(主要是键盘不敢锤)
33,2.73000,滚动弹幕,25,0xffffff,0,d16629b2,35848583094206471,软件工程的直呼内行
34,47.25900,滚动弹幕,25,0xffffff,0,7d59871e,35846039006609413,被代码支配的恐惧
35,22.37900,滚动弹幕,25,0xffffff,0,cf2c08e5,35797536792379399,代入感太强，我已经开始崩溃了
