,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,146.46400,滚动弹幕,25,0xffffff,0,f4238b71,1023052307321005056,我的天，他的歌一般人唱不了，调太高了
2,60.43200,滚动弹幕,25,0xffffff,0,b07f7442,1019682037726431232,那年我后妈说我一岁了
3,21.42700,滚动弹幕,25,0xffffff,0,e7ffc270,1019503716799129600,姑苏城外寒山寺，夜半钟声到客船。
4,85.73900,滚动弹幕,25,0xffffff,0,dc1b2b9f,1016888431554633216,走位和郑少秋的笑看风云不分伯仲
5,38.33900,滚动弹幕,25,0xffffff,0,d2a63d3e,1010268296446169600,这一年我爸妈相亲了
6,57.59500,滚动弹幕,25,0xffffff,0,32e25e71,1001631105587249664,两年后有个靓仔诞生了
7,49.85900,滚动弹幕,25,0xe70012,0,ca410692,993733634129199104,那几年最火的几个小伙，无外乎毛宁和费翔，帅的惨绝人寰
8,155.67500,滚动弹幕,25,0xffffff,0,b3a5b485,990744589416726528,好有年代感的舞步
9,55.94000,滚动弹幕,25,0xffffff,0,12b841e4,980684443025547264,这首歌曲适合在海边唱
10,46.83800,滚动弹幕,25,0xffffff,0,cc2a5d7d,973182375641694208,还有记忆，啊，我流逝的青春啊
11,25.81900,滚动弹幕,25,0xffffff,0,5a4915ab,972618132212776960,妈妈生前最喜欢的歌
12,68.32600,滚动弹幕,25,0xffffff,0,399c36da,970440421106843648,这身西装真的好帅，永不过时
13,28.21200,滚动弹幕,25,0xffffff,0,5d0e006b,968980997070684160,灯光师打光都不往脸上打的吗？
14,78.60000,滚动弹幕,25,0xffffff,0,931f328f,966785186151505920,带围巾这么帅除了许文强，他是第二个
15,141.56000,滚动弹幕,25,0xffffff,0,dc999b23,962148514716737536,啊啊啊，这个男生已经帅到成为全国男生情敌
16,12.91900,滚动弹幕,25,0xffffff,0,673e675e,960296062288289792,曲词唱。都美，出来数学到，上年纪，一直爱​
17,110.15000,滚动弹幕,25,0xffffff,0,2def988e,959152199248142336,小学的时候老师教过这首歌
18,177.61800,滚动弹幕,25,0xffffff,0,a6e4978e,958179914183245824,我这张旧船票能否登上你的破船
19,37.57900,滚动弹幕,25,0xffffff,0,28c0567,59483646011386368,当年内地偶像第一人吧
20,187.89300,滚动弹幕,25,0xffffff,0,4aae1891,59223590780109312,天呐！这大辫子！好多头发！！！
21,72.23300,滚动弹幕,25,0xffffff,0,bc01b3e4,58607237989801472,他算是中国初代city boy系艺人
22,64.13900,滚动弹幕,25,0xffffff,0,46df76da,58374694345947648,我们以前学这个舞，哈哈哈
23,52.73100,顶端弹幕,25,0xe70012,0,8b6a9db8,58023070934837760,月落乌啼总是千年的风霜
24,73.32000,滚动弹幕,25,0xffffff,0,54a1aa3c,57069688152658432,那时还是个细胞
25,178.80200,滚动弹幕,25,0xffffff,0,870abb8c,56627990798173184,春晚一直都是现场直播的
26,96.68000,滚动弹幕,25,0xffffff,0,75ff860f,56524358984826880,黑设会老要登上你的破船
27,27.16000,滚动弹幕,25,0xffffff,0,e9d2e77a,56072908230040576,这首歌想起了《帝女花》
28,69.73900,滚动弹幕,25,0xffffff,0,e7a3d07e,56068787108792832,那时候我还在村里放羊
29,81.54000,滚动弹幕,25,0xffffff,0,45c21255,55655591904951296,我这张旧船票还能否登上你的破船
30,169.95600,滚动弹幕,25,0xffffff,0,8bc43e9d,55250213437395456,这张船票好贵
31,162.97300,滚动弹幕,25,0xffffff,0,98260db5,54741255389935104,天呐，又高又帅
32,123.39300,滚动弹幕,25,0xffffff,0,98260db5,54741222248624640,毛宁当年可是顶流
33,66.74000,滚动弹幕,25,0xffffff,0,a513c2ca,54491724724639744,霸哥的别走！说道说道
34,69.18000,滚动弹幕,25,0xfef102,0,6b3d9058,54488265011213824,这时候我爸才十七岁
35,24.48200,滚动弹幕,25,0xffffff,0,f3a27bbc,53449355390858240,哇仿佛回到童年
36,59.70900,滚动弹幕,25,0xfef102,0,4b1795c,53218271087474176,那时我还上幼儿园
37,73.24300,滚动弹幕,25,0xffffff,0,f6ad511c,52511061584642053,可惜后面走了一段弯路
38,84.15700,滚动弹幕,25,0xffffff,0,10a405d6,51959730399608839,后面伴舞也是大长腿哎！
39,54.44000,滚动弹幕,25,0xffffff,0,ff7907e1,49690648193269765,还记得林依轮说，毛宁不会跳舞，但他有那个范，给人感觉好像很会
40,52.01900,滚动弹幕,25,0xffffff,0,ae269bc0,48896863577309187,歌词和唱的都顶级
41,106.06900,滚动弹幕,25,0xffffff,0,24ed3078,48802354715164675,原来那时候就唱跳了
42,10.89900,滚动弹幕,25,0xffffff,0,770c49b1,46706675553927175,人都没出来就喊帅了哈哈哈哈
43,83.85700,滚动弹幕,25,0xffffff,0,cdfa78cd,46616586709630983,宋丹丹：这个必须能登上！
44,25.37700,滚动弹幕,25,0xffffff,0,cdfa78cd,46616549208358917,一听就是真唱，跟录音室不同
45,51.02000,滚动弹幕,25,0xffffff,0,63e6e99c,45179772011020293,现在才能真正感受到歌词的魅力
46,69.75000,滚动弹幕,25,0xffffff,0,1052b0b,45121522072289283,现在春晚都没有爱情歌曲了
47,50.33600,滚动弹幕,25,0xffffff,0,5ab40ce2,45114543835185159,我这张旧船票，还能否登上你的破船
48,186.78400,滚动弹幕,25,0xffffff,0,244b6410,45084194947727365,这服装放现在也很漂亮啊
49,79.39800,滚动弹幕,25,0xffffff,0,4287664f,44735770105741319,回忆好像回到这个年代
50,74.30200,顶端弹幕,25,0xe70012,0,fcfe0b3f,44398313590489093,舞虽简单 但非常有意境！！
51,164.26800,滚动弹幕,25,0xffffff,0,1f44f811,43863897173655559,他当年真的好红啊
52,137.15800,滚动弹幕,25,0xffffff,0,627e1b24,43480179364331527,看看人家陈小奇失眠写出了这种千古绝唱
53,32.69900,滚动弹幕,25,0xe70012,0,59117cdf,42448305090723843,当时听完这歌秒变小迷妹，旋律优美动听
54,59.63900,滚动弹幕,25,0xffffff,0,59206224,42211291491205123,这舞步也很经典
55,39.50700,顶端弹幕,25,0xe70012,0,2de20dfd,42081533799956485,从小妈妈就说毛宁是真的很好看！
56,41.73900,滚动弹幕,25,0xffffff,0,2095384b,41768540972777479,第一眼看成了沙溢
57,14.35100,滚动弹幕,25,0xffffff,0,7d1b1104,41707942371655683,我这张旧船票还能不能登上你的破船
58,159.79800,滚动弹幕,25,0xffffff,0,eb43aee6,41193001485598727,那年代的舞蹈，哈哈
