,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,201.60200,底端弹幕,25,0xe70012,0,27286219,1023975233859928576,选择你的角色
2,179.58300,顶端弹幕,25,0x9843,0,878ea224,1022339039476360192,请选择你的英雄
3,157.38700,滚动弹幕,25,0xffffff,0,40726eac,1018910199907484160,这不是台球桌只是赌场的桌子
4,206.54600,顶端弹幕,25,0xffffff,0,5510e999,1018130488390610944,兄弟会的这是？
5,65.60100,滚动弹幕,25,0xffffff,0,a795a062,1017514925213407232,看这大哥想到偷袈裟的那位
6,266.35200,滚动弹幕,25,0xffffff,0,4b9b4c5c,1016024468935615488,这其实是非常正式的决斗方式，两人手牵住，另外一个手打架，谁松手谁就输了
7,29.03000,顶端弹幕,25,0xffffff,0,7cc3c7ae,1015403841271007232,胡  志  明  小  道
8,4.62800,顶端弹幕,25,0xe70012,0,a701838f,1015073491965263872,梦开始的地方
9,53.98000,滚动弹幕,25,0xffffff,0,d478a1a4,1014514956709776896,迈神请来真正的黑帮来给他拍MV
10,55.88900,顶端弹幕,25,0xe70012,0,68b4e8f1,1013307704602616320,这首歌真带劲
11,41.63900,滚动弹幕,25,0xffffff,0,5598916,1006460732189069312,从小听到大都歌（2008年出生的我）
12,223.11600,顶端弹幕,25,0xa0ea,0,6152cfc2,998800864594427904,隔 山 打 牛
13,157.72200,滚动弹幕,25,0xe70012,0,47482f89,995834867660800000,beat it就是美国俚语“避开”的意思，并不是字面意思
14,140.83200,滚动弹幕,25,0xffffff,0,77874f37,994981660084183040,这一转头就是20年
15,180.21100,滚动弹幕,25,0xffffff,0,101ac2fc,994791364910899200,这里卷帘门莫名有科幻片感觉
16,184.02700,顶端弹幕,25,0xe70012,0,111cce12,992206441973571584,那个时候的约架到现在也不过时
17,192.15800,顶端弹幕,25,0xfef102,0,cced53f2,988367765080375296,你们不要再打了啦！（大声）
18,29.34300,滚动弹幕,25,0xffffff,0,b40f3931,987684300786073600,《地下舞者》
19,24.39900,顶端弹幕,25,0xfef102,0,72835fc,987585947458240512,黑帮：俺也是歌迷
20,236.42700,顶端弹幕,25,0xfef102,0,8fe7e376,980184299656044544,同化成功
21,212.01600,底端弹幕,25,0xff00ff,0,7231aa54,979137501067681792,假 面 歌 剧
22,109.13700,底端弹幕,25,0xff00ff,0,7231aa54,979136084508016640,大 炮 班
23,194.54100,滚动弹幕,25,0xffffff,0,8f35c1f0,972986188419194880,这里是真·黑帮...
24,18.66000,滚动弹幕,25,0xffffff,0,b1b94f77,962303760536354816,原来这些演员是真的黑帮
25,194.01000,顶端弹幕,25,0xe70012,0,5312c374,961337955868917760,这段solo真的绝了太好听了
26,151.87800,顶端弹幕,25,0xe70012,0,98b381d3,960967294511669248,币来～ 币来～
27,235.24100,滚动弹幕,25,0xffffff,0,3079ece5,960023886633394176,mj：不如来一起跳舞
28,248.75100,顶端弹幕,25,0xcd00,0,942bec18,959503382677422080,后面那些站着看戏的才是黑帮，跳舞的不是
29,43.71700,顶端弹幕,25,0xcd00,0,942bec18,959501454818009088,这些跳舞的不是黑帮，仓库里那些做背景的才是真的黑帮
30,192.86100,滚动弹幕,25,0xffffff,0,5f387e8a,959437866388684800,时尚是个圈，MV里混混的衣服放到现在依然能打
31,77.04900,滚动弹幕,25,0xffffff,0,a8a8ee5f,958050115882893312,六亲不认的步伐
32,215.10200,滚动弹幕,25,0xffffff,0,f839a8b,957261638691454976,打着打着就相爱了
33,9.55900,顶端弹幕,25,0xffffff,0,9f7e01a6,956289649473888256,两伙真正的美国黑帮不求酬劳只求上镜
34,249.23000,滚动弹幕,25,0xffffff,0,5a5eea6e,955828426396073984,我猪肉佬何尝不想成为一个舞蹈家
35,179.55600,滚动弹幕,25,0xfef102,0,4c63da34,59652426569944576,截图选老婆的那个过分了
36,85.68000,顶端弹幕,25,0xfef102,0,2a0bdcbb,59637197929386496,拍摄时找的真黑帮
37,131.89000,滚动弹幕,25,0xffffff,0,c1bcc242,59636993814002176,但是白迈克神秘感拉足，毕竟是超级超级巨星
38,233.54800,滚动弹幕,25,0xffffff,0,a0e9b4b8,59107464373926912,蓝  牙  已  连  接
39,277.13800,底端弹幕,25,0xa0ea,0,152fca68,59093524860228608,问：MJ的币呢？
40,211.64500,顶端弹幕,25,0x9843,0,152fca68,59093437531360256,跳舞打架
41,181.65000,顶端弹幕,25,0x9843,0,152fca68,59093364968294912,好多莱德尔！！！
42,181.77800,底端弹幕,25,0xa0ea,0,152fca68,59093350546214400,莱德尔？（圣安地列斯）
43,191.14200,顶端弹幕,25,0xffaa02,0,3cdf102a,59064486023531008,请选择你的英雄
44,244.40600,底端弹幕,25,0xe70012,0,62a828ec,58974771026404352,边唱边跳，老迈天赋太强了
45,87.50700,底端弹幕,25,0xffffff,0,a464354f,58933144802585088,吵毛吵大晚上不睡觉吗？
46,169.12100,顶端弹幕,25,0xfe0302,0,25165da5,58825916488723456,空气烫嘴
47,61.39300,滚动弹幕,25,0xffffff,0,7158468,58750329453081600,《从百草园杀到三味书屋》
48,205.79700,滚动弹幕,25,0xffffff,0,5becbf91,58749875738654720,住手快住手，你们不要再打了啦
49,98.32400,滚动弹幕,25,0xfef102,0,9d08242c,58748473680983552,这时候真的好帅，阳光小伙子！
50,97.38500,滚动弹幕,25,0xfef102,0,9d08242c,58748464989767168,只要心中有爱，就不会迷失 ——迈克尔·杰克逊
51,91.41200,滚动弹幕,25,0xffffff,0,9d08242c,58748451835988992,在一个充满仇恨的世界，我们仍然要满怀希望；在一个充满绝望的世界，我们仍然要敢于梦想 ——迈克尔.杰克逊
52,63.02600,顶端弹幕,25,0x90c320,0,4ba6794f,58613515174524416,有人在菜里下毒大伙不敢吃。
53,11.77400,滚动弹幕,25,0xffffff,0,6a3b2a61,58502796380260864,一直被模仿从未被超越
54,25.85400,顶端弹幕,25,0xffff00,0,c2c5d462,58454778953120768,正是这猴性顽劣（doge）
55,187.05900,顶端弹幕,25,0xffffff,0,d5dca96c,58451462256986112,那个时代的穿搭放到现在似乎仍不过时
56,169.45800,顶端弹幕,25,0xe70012,0,e2750eea,58295736124432384,声卡甘拜下风
57,34.33400,顶端弹幕,25,0xe70012,0,764e1568,58206515066835456,维 希 法 国 游 击 队
58,258.49900,滚动弹幕,25,0xffffff,0,a75be264,58156216047886848,跟着一起跳的都是舞蹈演员，尤其是演两个大哥的
59,265.41600,滚动弹幕,25,0xffffff,0,a4150479,58069043500667904,其实在后面的才是真正的黑帮
60,222.60000,滚动弹幕,25,0xffffff,0,e7926c9f,58022620704244736,《你发起了帮派斗殴》
61,120.08300,顶端弹幕,25,0xfef102,0,aa4ab223,57999555143405568,空耳想笑死我继承我的硬币？
62,256.56000,滚动弹幕,25,0xffffff,0,762df572,57939953948920320,前面这几个都是百老汇舞蹈团的老师
63,212.17900,顶端弹幕,25,0xe70012,0,7dca7124,57929553536937984,《击 剑》
64,213.02500,滚动弹幕,25,0xffffff,0,5e4ae74f,57657331851258368,住手！你们不要再打了
65,214.76200,滚动弹幕,25,0xffffff,0,4df4e828,57388102822707200,这样打是打不死人的啦（doge）
66,200.92600,滚动弹幕,25,0xffffff,0,f3570efc,57384846448142336,打输住院，打赢坐牢
67,252.44500,滚动弹幕,25,0xffffff,0,e4ca207f,57121392920090624,出现了人传人
68,244.29300,顶端弹幕,25,0xffffff,0,597a8b4,57056010627221504,那是还得教黑道大哥们跳舞迈
69,264.36400,滚动弹幕,25,0x9843,0,a8a8ee5f,56851571056907264,植物大战僵尸的灵感来源哈哈哈哈
70,50.25800,滚动弹幕,25,0xffffff,0,a8a8ee5f,56851422118726144,妈呀这个节奏太带劲了
71,201.75300,滚动弹幕,25,0xe70012,0,e3f02370,56754741553935872,这就是近藤静也与板本建的战争
72,6.20000,顶端弹幕,25,0x2e72,0,550cf3bc,56661734389040128,梦开始的地方！！
73,232.82000,滚动弹幕,25,0xfef102,0,41c9afc0,56490133363107840,那次也是这个场面，我唱着去拉架，快被打死了。。。
74,235.90800,顶端弹幕,25,0xfef102,0,cbd83299,56483451028903424,白鹤亮翅！
75,294.08300,滚动弹幕,25,0xffffff,0,e417e77,56481006596727296,功夫前面斧头帮也模仿
76,35.58300,顶端弹幕,25,0xfef102,0,df3b3265,56437139452464128,法国游击队
77,126.60900,滚动弹幕,25,0xffffff,0,f4c82551,56285686435897856,小时候还是在电视上看的这个Mv
78,30.34100,顶端弹幕,25,0xe70012,0,b5bddfc5,56252881039275520,忍 者 神 龟
79,190.56400,滚动弹幕,25,0xffffff,0,9d6cda6a,56231478451463168,葛洛夫Ⅴs巴拉斯
80,109.04900,滚动弹幕,25,0xfef102,0,3b0c630b,56166300639618560,拜托，beat it在这里就是“避开”的意思
81,209.97500,顶端弹幕,25,0xfe0302,0,9f8b5510,56120839249140736,你们不要再打啦！！！
82,98.91100,滚动弹幕,25,0xffffff,0,64cec644,56112185769750528,哈哈 迈克标准站姿
83,97.24300,特殊弹幕,30,0xfe0302,0,da629ab5,55961509425725440,"[""160"",""552"",""1-1"",""3.5"",""其实对错并不重要\nIt Doesn't Matter Who's Wrong Or Right\n"",0,0,""160"",""552"",500,0,1,""SimHei"",0]"
84,137.00000,特殊弹幕,30,0xfe0302,0,da629ab5,55961438612804608,"[""160"",""552"",""1-1"",""3.5"",""其实对错并不重要\nIt Doesn't Matter Who's Wrong Or Right"",0,0,""160"",""552"",500,0,1,""SimHei"",0]"
