,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,122.20900,顶端弹幕,25,0xcc0273,0,35a9f326,1025323528557448704,致逝去的青春
2,236.54400,特殊弹幕,44,0xcc0273,0,a716025a,1024531513762534400,"[""112"",""64"",""1-1"",""3.4"",""音乐皇帝"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
3,227.67200,特殊弹幕,44,0xcc0273,0,a716025a,1024531440094021120,"[""112"",""64"",""1-1"",""3.4"",""周杰伦周杰伦"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
4,184.90100,特殊弹幕,44,0xcc0273,0,a716025a,1024531080616736768,"[""112"",""64"",""1-1"",""3.4"",""Jay"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
5,166.08500,特殊弹幕,44,0xcc0273,0,a716025a,1024530922667725312,"[""112"",""64"",""1-1"",""3.4"",""周杰伦"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
6,137.62600,特殊弹幕,44,0xcc0273,0,a716025a,1024530620300528128,"[""112"",""64"",""1-1"",""3.4"",""感谢地心引力\n让我碰到你"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
7,133.39300,特殊弹幕,44,0xcc0273,0,a716025a,1024529699994461184,"[""112"",""64"",""1-1"",""3.4"",""这样的甜蜜让我开始相信这个命运"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
8,128.73900,特殊弹幕,44,0xcc0273,0,a716025a,1024529394590805504,"[""112"",""64"",""1-1"",""3.4"",""我每天每天每天在想着你"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
9,121.71000,特殊弹幕,44,0xcc0273,0,a716025a,1024528968994268672,"[""112"",""64"",""1-1"",""3.4"",""想要和你融化在一起"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
10,118.61200,特殊弹幕,44,0xcc0273,0,a716025a,1024528790870755328,"[""112"",""64"",""1-1"",""4"",""想要和你飞到宇宙去"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
11,87.52700,特殊弹幕,44,0xcc0273,0,a716025a,1024528202829498368,"[""112"",""64"",""1-1"",""4"",""坏坏的让我疯狂的可爱女人"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
12,82.28100,特殊弹幕,44,0xcc0273,0,a716025a,1024528003096719360,"[""112"",""64"",""1-1"",""4"",""透明的让我感动的可爱女人"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
13,78.44600,特殊弹幕,44,0xcc0273,0,a716025a,1024527808824984064,"[""112"",""64"",""1-1"",""4"",""温柔的让我心疼的可爱女人"",0,0,""121"",""164"",500,0,1,""SimHei"",1]"
14,72.17900,特殊弹幕,44,0xcc0273,0,a716025a,1024526880910380544,"[""53"",""43"",""1-1"",""6"",""漂亮的让我面红的可爱女人"",0,0,""144"",""203"",500,0,1,""SimHei"",1]"
15,75.47800,特殊弹幕,127,0xfe0302,0,e41394f4,1023860821425567744,"[0,0,""1-1"",""5"",""开启一个时代！！！"",0,0,""1000"",0,500,0,1,""SimSun"",1]"
16,64.33900,顶端弹幕,25,0x2e72,0,c78b7b7d,1023659847775922688,聪明的让我感动的可爱女人
17,13.60300,顶端弹幕,25,0xe70012,0,339a6ab1,1021636397070583296,一个时代的开启
18,0.61900,顶端弹幕,25,0xa0ea,0,f8728afd,1020086755808227328,一个时代开启了
19,10.13900,底端弹幕,25,0xe70012,0,142fb7cc,1019660537472279040,一个时代开始了
20,5.49800,底端弹幕,25,0xfef102,0,55bf1851,1018654302065010688,一声“喔”，开启华语乐坛新时代！
21,1.04500,特殊弹幕,127,0xffffff,0,72f27ab0,1016396758110215168,"[""359"",""148"",""1-1"",4.5,""jay"",""3"",""2"",""445"",""312"",500,""200"",1,""SimHei"",1]"
22,9.99300,顶端弹幕,25,0xe70012,0,709e9f63,1014618197212732416,出道即巅峰
23,20.78000,底端弹幕,25,0xe2027f,0,e74fae85,1014012898034523648,音乐上的皇帝！！！
24,20.78000,底端弹幕,25,0xa0ea,0,e74fae85,1014012864312415232,音乐上的皇帝！！！
25,20.78000,底端弹幕,25,0xfef102,0,e74fae85,1014012788907188736,音乐上的皇帝！！！
26,20.78000,底端弹幕,25,0x2e72,0,e74fae85,1014012662515921408,音乐上的皇帝！！！
27,20.78000,底端弹幕,25,0x683a7b,0,e74fae85,1014012624238781440,音乐上的皇帝！！！
28,20.78000,底端弹幕,25,0xe2027f,0,e74fae85,1014012585684694528,音乐上的皇帝！！！
29,20.78000,底端弹幕,25,0xa0ea,0,e74fae85,1014012544060295168,音乐上的皇帝！！！
30,20.78000,底端弹幕,25,0x9843,0,e74fae85,1014012505472831488,音乐上的皇帝！！！
31,20.78000,底端弹幕,25,0xfef102,0,e74fae85,1014012463999417344,音乐上的皇帝！！！
32,20.78000,底端弹幕,25,0xe70012,0,e74fae85,1014012428272584192,音乐上的皇帝！！！
33,20.78000,底端弹幕,25,0xffffff,0,e74fae85,1014012383183789056,音乐上的皇帝！！！
34,17.77900,滚动弹幕,25,0xe70012,0,c0ba4d55,1012240458765707776,一个新的时代开始了。
35,16.74700,滚动弹幕,25,0xffffff,0,9606a15b,1011142769646916096,贫穷使我们相遇
36,74.92700,底端弹幕,25,0xfe0302,0,abc9cabc,1009244183304690176,学校信息课听了一整节
37,19.97900,滚动弹幕,25,0xffffff,0,854117d9,1007837558438289408,一个传奇诞生了
38,0.93400,顶端弹幕,18,0xa0ea,0,1661418,1004208414865494528,一个时代开始了
39,21.02500,顶端弹幕,25,0xcc0273,0,de488e5d,1003015479922721792,一个时代开始了
40,61.94900,顶端弹幕,25,0xfef102,0,b8ce550a,997258753991319552,歌名：《可爱女人》
41,65.73000,特殊弹幕,100,0xcc0273,0,bfe11ab7,997211098327818240,"[0,0,""1-1"",4.5,""五千万播放\n五千万播放\n五千万播放"",0,0,0,0,500,0,1,""SimHei"",1,""M345,338L346,338L347,338L350,338L356,340L360,342L360,342""]"
