,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,584.06200,滚动弹幕,25,0xffffff,0,c4cf2d69,57297009586759680,想要这开始的一段手机铃声
2,266.83000,滚动弹幕,25,0xffffff,0,4b286261,55219350590497792,重新定义才疏学浅
3,437.45100,滚动弹幕,25,0xffffff,0,22603ce1,50425685414510595,选路遇，满工的话更能朗朗上耳
4,402.26800,滚动弹幕,25,0xffffff,0,22603ce1,50425666957475847,选更熟知的路遇，满工，不好吗
5,343.87800,滚动弹幕,25,0xffffff,0,72b8e59c,49007938083749891,这个手手   摄影师好评
6,614.76300,滚动弹幕,25,0xfe0302,0,f5e4779b,48804603173535749,婷婷的眼睛在为大家讲故事！！！
7,557.89900,滚动弹幕,25,0xffffff,0,f5e4779b,48804532697169927,她的眼睛在讲故事！！！
8,308.29000,滚动弹幕,25,0xffffff,0,7f564ec4,47102081887109123,跨服聊天
9,307.41000,滚动弹幕,25,0xffffff,0,7f564ec4,47102079382585351,跨服聊天
10,305.17000,滚动弹幕,25,0xffffff,0,7f564ec4,47102076321267715,跨服聊天
11,431.27800,滚动弹幕,25,0xffffff,0,db0e74b8,47042721875492871,单恋失恋！这唱的就是现在的我啊！
12,260.70500,滚动弹幕,25,0xffffff,0,c3679faa,45750660276158467,黄梅戏是以安庆方言为唱腔
13,238.14900,滚动弹幕,25,0xffffff,0,c3679faa,45750646265085959,欢迎来中国黄梅戏之乡——安徽省安庆市
14,263.82700,滚动弹幕,25,0xffffff,0,9cc7f3bd,44906794935386115,《才疏学浅》
15,293.07700,顶端弹幕,25,0xe70012,0,6fa775b4,44488733298786311,跨服聊天
16,480.14700,顶端弹幕,25,0xe70012,0,4f1caa9a,44443977700081671,安庆话太好听了！！！！！
17,595.36300,顶端弹幕,25,0xe70012,0,4f1caa9a,44443964927901699,安庆话太好听了！
18,317.19000,滚动弹幕,25,0xffffff,0,e1a67140,43865087830654979,才疏学浅？我直接好家伙
19,422.09800,滚动弹幕,25,0xffffff,0,791ac814,43816728613355523,啊啊鸡皮疙瘩立刻出来了，想哭
20,265.22200,滚动弹幕,25,0xffffff,0,2fb34e2c,43183834593230851,我嵩哥:《才疏学浅》
21,557.63100,滚动弹幕,25,0xffffff,0,58f35e48,43045738640310277,三河，在我家乡拍的唉
22,571.97800,顶端弹幕,25,0xe70012,0,d77dab4c,42082313231663109,朱老师眼睛.awsl
23,264.42400,滚动弹幕,25,0xffffff,0,40a1128f,41679960928681987,战术后仰
24,267.72600,滚动弹幕,25,0xffffff,0,40a1128f,41679940554850309,才疏学浅哈哈哈哈
25,494.02400,滚动弹幕,25,0xffffff,0,f8df18d5,41635593820045317,眼神在线！！！！
26,59.30000,滚动弹幕,25,0xffffff,0,f8df18d5,41635540643610629,前面的细节也很走心
27,267.33600,滚动弹幕,25,0xffffff,0,849c6956,41548604680175619,《才疏学浅》
28,261.96700,滚动弹幕,25,0xffffff,0,849c6956,41548592562831365,《才疏学浅》
29,132.45400,滚动弹幕,25,0xffffff,0,cc2cd90c,41536404459618309,有没有松鼠的妹妹一起谈恋爱啊
30,111.41500,顶端弹幕,25,0xa0ea,0,b510c751,41490833679581191,副歌是我高中三年的闹钟
