,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,404.03500,顶端弹幕,25,0xe2027f,0,4b3103e7,1025605045066108928,我会发着呆然后忘记你
2,408.42700,滚动弹幕,25,0xffffff,0,4b3103e7,1025604740014323712,我会发着呆然后忘记你
3,476.06500,滚动弹幕,25,0xa0ea,0,ebc09f6,1024898880191626752,我会发着呆，然后忘记你
4,378.83000,滚动弹幕,25,0xe2027f,0,4719b3fc,1024777261389290496,我会发着呆，然后忘记你
5,468.16300,滚动弹幕,25,0xffffff,0,5e641e19,1024716758470408704,我会发着呆，然后忘记你
6,480.40000,滚动弹幕,25,0xffffff,0,737caf6e,1024430272097081856,我会发着呆，然后忘记你
7,404.65100,滚动弹幕,25,0xffffff,0,51d8ab59,1023116070824823296,我会发着呆，然后忘记你
8,409.88300,滚动弹幕,25,0xe2027f,0,9bb7c3be,1023112050953790976,我会发着呆，然后忘记你
9,399.41500,滚动弹幕,25,0xffffff,0,b651be8,1021737658877321728,我会发着呆，然后忘记你
10,397.39500,滚动弹幕,25,0xffffff,0,b651be8,1021737514291352064,鬼姬03年的歌了
11,462.26100,滚动弹幕,25,0xe2027f,0,58cad714,1021590533807586816,心里的眼泪～
12,472.54100,滚动弹幕,25,0xffffff,0,7421a91b,1021030237649335296,我会发着呆，然后忘记你
13,474.63900,滚动弹幕,25,0xffffff,0,99389e3c,1020510353861128192,我会发着呆，然后忘记你
14,455.44400,滚动弹幕,25,0xffffff,0,4c2966c4,1019416444020349952,我会发着呆，然后忘记你！！
15,465.54100,滚动弹幕,25,0xffffff,0,c41e8867,1016172870281541120,我会发着呆，然后忘记你
16,440.06200,滚动弹幕,25,0xffffff,0,545557b7,1015764046420699136,我会发着呆，然后忘记你
17,464.83300,滚动弹幕,25,0xffffff,0,2eb5b67c,1015759643584099328,我会发着呆，然后忘记你
18,451.93700,滚动弹幕,25,0xe2027f,0,7af2781c,1015039972354704896,我会发着呆，然后忘记你
19,472.39300,滚动弹幕,25,0xffffff,0,1d83d467,1013300288385370624,演唱会的感觉啊啊啊啊啊啊
20,404.76000,底端弹幕,25,0xe2027f,0,4f98f47a,1012323428751363584,我会发着呆，然后忘记你
21,404.76000,顶端弹幕,25,0xe2027f,0,4f98f47a,1012323320521394176,我会发着呆，然后忘记你
22,403.56300,滚动弹幕,25,0xe2027f,0,4f98f47a,1012322886603881472,我会发着呆，然后忘记你
23,452.82100,顶端弹幕,25,0xa0ea,0,abf7214b,1012234098414326784,我会发着呆，然后忘记你
24,451.33200,滚动弹幕,25,0xffffff,0,1d06360c,1012199346885675008,我会发着呆，然后忘记你
25,403.01900,滚动弹幕,25,0xffffff,0,aaa01805,1010920467348941824,我会发着呆，然后忘记你
26,404.73300,顶端弹幕,25,0xe2027f,0,f0b9bf20,1010021749611340800,我会发着呆，然后忘记你！！
27,403.82700,滚动弹幕,25,0xffffff,0,82fd45f3,1009582480950516736,我会发着呆，然后忘记你
28,434.84500,滚动弹幕,25,0xcc0273,0,5bff7972,1009244395352094208,我会发着呆，然后忘记你
29,461.03200,滚动弹幕,25,0xffffff,0,2a4bc278,1009165393236892672,我会发着呆，然后忘记你
30,403.95600,滚动弹幕,25,0xe70012,0,3442636b,1008750214099828224,我会发着呆，然后忘记你
31,403.02600,滚动弹幕,25,0xffffff,0,35e42c13,1008203606580563456,我会发着呆，然后忘记你
32,188.78500,滚动弹幕,25,0xffffff,0,cae1e3ff,1007389371495755264,呜呜呜 过期糖我还能再磕
33,452.96200,滚动弹幕,25,0xffffff,0,71f89166,1007146019378516992,我会发着呆，然后忘记你
34,409.72500,滚动弹幕,25,0xe2027f,0,ce4d0f37,1007133264181555712,我会发着呆，然后忘记你
35,419.64100,底端弹幕,25,0xe2027f,0,4b6959d0,1006395139674908672,我会发着呆，然后忘记你
36,65.10800,滚动弹幕,25,0xffffff,0,fb97aa0d,1005869871424309248,好像雷佳音哈哈
37,432.25900,滚动弹幕,25,0xffffff,0,190168f4,1005252459196622848,我会发着呆，然后忘记你
38,403.99100,滚动弹幕,25,0xfef102,0,f12bcb57,1003751317081967104,我会发着呆，然后忘记你
39,404.93200,滚动弹幕,25,0xffffff,0,45eae37b,1003452934974867968,我会发着呆，然后忘记你
40,411.18500,滚动弹幕,25,0xffffff,0,44f44218,1002321085666104320,我会发着呆，然后忘记你
41,407.54500,滚动弹幕,25,0xffffff,0,44f44218,1002320994582492672,我会发着呆，然后忘记你
42,401.70500,滚动弹幕,25,0xffffff,0,44f44218,1002320912970082304,我会发着呆，然后忘记你
43,460.39900,滚动弹幕,25,0xffffff,0,9dbdc8aa,1002100700492278784,我会发着呆，然后忘记你
44,404.46200,顶端弹幕,25,0xcc0273,0,5e2d10fa,1000800420290940928,我会发着呆，然后忘记你
45,423.05900,滚动弹幕,25,0xffffff,0,f8020ad9,999438618491745792,我会发着呆，然后忘记你
46,430.14300,底端弹幕,25,0xe2027f,0,b8b0bf23,999268835959827456,我会发着呆，然后忘记你
47,475.52500,滚动弹幕,25,0xcc0273,0,3c841b17,996435735494361088,我会发着呆，然后忘记你
48,423.47800,滚动弹幕,25,0xe2027f,0,9fc7a41f,992578575848579072,我会发着呆，然后忘记你
49,426.08000,滚动弹幕,25,0xe70012,0,e607b328,991764235537309696,我会发着呆，然后忘记你
50,362.30100,滚动弹幕,25,0xffffff,0,18b14a00,990527747246039040,带来最后一首歌曲《鬼姬》
51,407.47800,顶端弹幕,25,0xe2027f,0,cc999b8e,988238035372507136,我会发着呆，然后忘记你
52,442.67500,底端弹幕,25,0xe70012,0,9fc7a41f,987079962025009152,我会发着呆，然后忘记你
53,415.79900,底端弹幕,25,0xe70012,0,9fc7a41f,987069765709742080,我会发着呆，然后忘记你
54,405.04100,顶端弹幕,25,0xe70012,0,f2b2d4a8,986105296172408832,我会发着呆，然后忘记你
55,450.31300,滚动弹幕,25,0xe2027f,0,8940102d,986006427981520896,我会发着呆，然后忘记你
56,414.04700,顶端弹幕,25,0xe2027f,0,11cb8454,985290765804060672,我会发着呆，然后忘记你
57,468.11500,滚动弹幕,25,0xe2027f,0,a1161830,984989019664990208,我会发着呆然后忘记你
58,371.55100,滚动弹幕,25,0xe2027f,0,57181bc,984941582933360640,我会发着呆，然后忘记你
59,425.28000,滚动弹幕,25,0xe2027f,0,354d520b,983603717665325056,我会发着呆，然后忘记你
60,444.34700,顶端弹幕,25,0xe2027f,0,ec17c68a,976365398115696640,我会发着呆，然后忘记你
61,426.91900,滚动弹幕,25,0xe2027f,0,b7cf7eb7,976308960611704832,我会发着呆，然后忘记你
62,425.08900,滚动弹幕,25,0xe2027f,0,62a45c7c,974891169449852928,我会发着呆，然后忘记你
63,373.04900,滚动弹幕,25,0xffffff,0,2e350a57,974774615392616448,感谢这样的时刻  依旧还能听到杰伦
64,456.03100,滚动弹幕,25,0xcc0273,0,c76302f8,973175436351127552,我会发着呆，然后忘记你
65,404.47000,顶端弹幕,25,0xe2027f,0,6aa0990a,972704802115518464,我会发着呆，然后忘记你
66,404.14800,顶端弹幕,25,0xffff00,0,6e27dc5c,970214257211162624,我会发着呆，然后忘记你
67,209.05200,滚动弹幕,25,0xffffff,0,65c9bf66,968090991899107328,今天1.18，祝杰伦生日快乐，永远幸福快乐健康！
68,368.19000,顶端弹幕,25,0xfe0302,0,b1c98b4d,967324909005758464,直接梦回2004无与伦比呜呜呜泪目了
69,430.85200,顶端弹幕,25,0xe2027f,0,5020676b,966851079452082176,我会发着呆，然后忘记你
