,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,93.64900,顶端弹幕,25,0xcc0273,0,ee4e3cbf,1016517257502685184,【圣地亚哥金曲】
2,46.28000,底端弹幕,25,0xfef102,0,b0bcc982,1001339847547476480,早已不需要字幕了
3,21.88300,滚动弹幕,25,0xffffff,0,477d626e,980724935907344384,你站的方位，跟我中间隔着泪，街景一直在后退，你的崩溃在窗外零碎
4,9.36400,顶端弹幕,25,0xe70012,0,a6a643ce,960136742750519296,警官好！（乖巧）
5,149.66700,顶端弹幕,25,0x9843,0,76df04e,59481632440175616,有没有唱歌的灵魂
6,142.11200,顶端弹幕,25,0x9843,0,76df04e,59481626348138496,还有桃花石头
7,130.63700,顶端弹幕,25,0x9843,0,76df04e,59481612843983872,传说中的桃花难和桃花源记
8,86.73300,顶端弹幕,25,0xa0ea,0,76df04e,59481566869595136,罗老师说刑法还治不了你
9,78.11500,顶端弹幕,25,0xa0ea,0,76df04e,59481556035355136,快点借我就想到了司徒
10,67.65900,顶端弹幕,25,0xa0ea,0,76df04e,59481547452670976,看见你我就变成了冷空气炸锅
11,7.41600,顶端弹幕,25,0xe2027f,0,76df04e,59481490153289728,变成大西瓜
12,217.68100,顶端弹幕,25,0xe2027f,0,76df04e,59481478941368320,我不想去不丹和印度
13,169.00100,滚动弹幕,25,0x683a7b,0,76df04e,59481441055038464,还有第三颗小虎牙导致的
14,130.02500,顶端弹幕,25,0x9843,0,76df04e,59476110423690752,一个是不锈钢这个是一块冰凉的心
15,81.76900,顶端弹幕,25,0x9843,0,76df04e,59476071029477888,钦利铁也打不动你
16,51.60100,顶端弹幕,25,0xe2027f,0,76df04e,59476013367311360,三角恋结束
17,49.12900,滚动弹幕,25,0xe2027f,0,76df04e,59476007351813120,三角恋结束
18,23.31600,滚动弹幕,25,0xe2027f,0,76df04e,59475989061454336,我喜欢贴心的小棉袄那就是天蝎男朋友
19,219.07100,滚动弹幕,25,0xffffff,0,249f2187,59140975470450688,喝大力不能解决的喝诸葛
20,218.06500,滚动弹幕,25,0xe70012,0,76df04e,59076025492331520, 原谅我，因为英文写的不好
21,10.81500,滚动弹幕,25,0xe70012,0,76df04e,59075913773708800,君不见黄河之水天上来
22,3.65900,滚动弹幕,25,0xffffff,0,8f0e8465,58965968995622400,就考虑他他脱光光
23,42.91500,滚动弹幕,25,0xffffff,0,c174b9c3,58753189352189440,音悦台 时代的泪
24,35.40700,滚动弹幕,25,0xffffff,0,95d1d50d,58619995334252032,出门右转有惊喜
25,44.39900,滚动弹幕,25,0xcd00,0,12d50438,57957635251165696,听到这个就想到二仙桥
26,56.99300,滚动弹幕,25,0xe70012,0,caa9498a,57853138488300544,以前总是听成等到天色看不到，你说的话莫名其妙
27,17.45900,顶端弹幕,25,0xa0ea,0,c85dff80,57652987209435136,空输！忠诚！必胜！
