,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,195.76000,顶端弹幕,25,0xe70012,0,c133801a,1023691570161208320,总结一下：天下大同
2,45.68000,滚动弹幕,25,0xffffff,0,36ea16cc,1019504708642933248,现在的灯塔国不再有这样的艺术境界和高度了，充满了杀戮
3,260.67300,滚动弹幕,25,0xffffff,0,6f43534b,1016894828547638272,调音师：那天是我三岁儿子负责调音的。
4,368.94500,滚动弹幕,25,0xffffff,0,7725067,1013906506762071552,每个人，都似乎散发着光芒
5,203.17700,滚动弹幕,25,0xffffff,0,4777d4a5,1012803645923847168,指挥：指挥了一个团
6,235.82000,滚动弹幕,25,0xffffff,0,19a2837a,1009944821277712384,调音师:摸鱼真好
7,197.26700,滚动弹幕,25,0xffffff,0,da73d17f,1009321395408323072,这一屋子的有120多个格莱美和一个诺贝尔
8,189.82800,滚动弹幕,25,0xffffff,0,b871bf50,1008681698709355008,欢迎收看《失业の调音师》
9,329.31600,滚动弹幕,25,0xa0ea,0,f4d62834,1004372749667310080,隔着屏幕都能闻到一股味
10,238.94500,滚动弹幕,25,0xffffff,0,6e90025d,1002719345635514368,好家伙，一句都不在调上
11,267.30000,滚动弹幕,25,0xffffff,0,5eea63eb,1000246357648569344,何年何月还能再出现如此神仙阵容的一刻
12,4.89100,顶端弹幕,25,0xfe0302,0,ed223bdc,995088399052431360,偶像行为不要上升到国家
13,239.51900,顶端弹幕,25,0xa0ea,0,c93f4a64,993991325204496384,给bob一个特供调音师
14,89.39000,滚动弹幕,25,0xffffff,0,64a94e84,991926220356059136,三界之外的男人
15,204.82000,滚动弹幕,25,0xffffff,0,cc8cbec0,991352017157120000,调音师：咖啡外卖怎么还没到？
16,290.77100,顶端弹幕,25,0xffffff,0,739fb41e,991084113977868288,众 神 之 王
17,0.88000,顶端弹幕,25,0xa0ea,0,b7fff203,988965604187955200,全屋顶级艺术家
18,89.48700,滚动弹幕,25,0xffffff,0,40daed4e,987064948919951360,青年意气风发的迈神
19,81.76500,顶端弹幕,25,0xfef102,0,40daed4e,987064496925319168,意气风发的青年迈神
20,321.91800,滚动弹幕,25,0xffffff,0,bbdf37c4,986027605584830464,调音师：你们这样显得我很呆
21,240.15300,滚动弹幕,25,0xffffff,0,64a94e84,985369274458038272,又是调音师白领工资的一天doge
22,362.20800,滚动弹幕,25,0x84c0cb,0,2edca4fa,982560417132544000,每份善意，每个人每个国都是灯塔！
23,0.00000,顶端弹幕,25,0x683a7b,0,3dde6e90,980985519520694272,人类永远需要科学和音乐！
24,0.00000,顶端弹幕,25,0x2e72,0,3dde6e90,980985460272054272,人类永远需要科学和音乐！
25,210.38500,顶端弹幕,25,0xfef102,0,b40f3931,978074419773112320,人 类 群 星 闪 耀 时
26,379.08400,滚动弹幕,25,0xffffff,0,139cdded,970477528749596672,看到这个指挥骄傲的笑了吗？
27,233.10500,顶端弹幕,25,0xe70012,0,68ef3eee,967604471369400320,不愧是诺贝尔奖获得者，连调音师都帮助到了
28,141.54500,滚动弹幕,25,0xffffff,0,1b63ba03,967425945434120192,一开口就老摇滚了哈哈哈
29,172.45800,滚动弹幕,25,0xcc0273,0,1574c927,961381794165301248,感受到了灯塔的光
30,91.99000,顶端弹幕,25,0xe70012,0,51008955,957151830686941184,神，见到您很高兴
31,30.31500,滚动弹幕,25,0xffffff,0,2d797f47,59691483062980096,众神与他们的王
32,388.55800,滚动弹幕,25,0xe70012,0,6287f6c6,59653166677057024,在次起立为这位大佬致敬
33,241.71500,滚动弹幕,25,0xffffff,0,60b2d0c9,59651960685644288,调音师：我为啥要来这儿？都没事做的，可愁死我了
34,149.17700,滚动弹幕,25,0xfe0302,0,b0b20a0c,59644360284326400,金馆长！你怎么跑去唱歌了！
35,228.00100,顶端弹幕,25,0xe70012,0,f1957d95,59469638346539008,调音师：来活了
36,415.58000,滚动弹幕,25,0xffffff,0,92859445,59461720459220480,灯塔最明亮的时候，是因为苏联来过
37,184.00000,滚动弹幕,25,0xffffff,0,74dd7514,59268424554151424,西班牙佬：哈哈，简单让杨基佬背个锅
38,163.75800,滚动弹幕,25,0xffffff,0,b778ae,59249612251580416,！！！！迈迈的声音太空灵了！！！自带回音！！爱死他了
39,229.98000,滚动弹幕,25,0x683a7b,0,d7680428,59019145388868096,调音师:终于来大活了
40,104.92200,滚动弹幕,25,0xffffff,0,fcecc33f,59000848125799424,神：迈克尔.杰克逊
41,76.34000,滚动弹幕,25,0xe70012,0,f6760ef8,58955206185480192,妈耶！神仙打架的时期哦
42,231.18800,滚动弹幕,25,0xa0ea,0,9d08242c,58884645293300224,在一个充满仇恨的世界，我们仍然要满怀希望；在一个充满绝望的世界，我们仍然要敢于梦想 ——迈克尔.杰克逊
43,396.88400,滚动弹幕,25,0xffffff,0,c5d57a2,58870537715936768,《人类群星闪耀时》
44,200.25500,滚动弹幕,25,0xffffff,0,1d1ddb0b,58741444423888384,被邀请就是一种肯定啊
45,292.16500,滚动弹幕,25,0xffffff,0,2044128e,58723288461465088,国内只知道一首《手牵手》
46,286.33400,滚动弹幕,25,0xffffff,0,144b7f9a,58709932212761088,真·大佬儿来了
47,110.39900,滚动弹幕,25,0xfef102,0,1c64d82,58708185139119104,一屋子神！
48,403.15900,滚动弹幕,25,0xffaa02,0,204ec553,58615348459358720,老大哥一倒，美国彻底放飞自我
49,199.79500,滚动弹幕,25,0xffffff,0,d8cac1cd,58466888798983168,指挥、调音：这TM我们干啥
50,30.02000,滚动弹幕,25,0xffffff,0,df280738,58261086122626048,这才是音乐真正的魅力而不是去唱情啊爱的
51,255.44500,滚动弹幕,25,0xffffff,0,e7ef106f,58192276415502336,全明星和声阵容可怕
52,342.54000,滚动弹幕,25,0xffffff,0,4b721554,58152646524914176,他是用着灵魂在歌唱
53,85.60700,滚动弹幕,25,0xffffff,0,1780228,58150073863293440,一群名人堂大神打架
54,201.04600,顶端弹幕,25,0xe70012,0,92d19ff5,57977923923153408,他们的笑容都是发自内心的
55,424.63800,顶端弹幕,25,0xffffff,0,3425068c,57668638421531648,这首歌真是每次听都想哭啊
56,383.47400,滚动弹幕,25,0xffffff,0,101d7334,57551946179478016,调音师：到家了，到家了
57,88.11600,顶端弹幕,25,0xe70012,0,910e626c,57513422116696064,流行乐之王，世界舞王，慈善之王
58,249.09500,顶端弹幕,25,0xcd00,0,708317b1,57435377226551296,和声，人家用的合唱
59,226.69900,顶端弹幕,25,0xcd00,0,708317b1,57435335834102272,国际主义浓度过高（歌曲本身）
60,228.81300,顶端弹幕,25,0xffffff,0,96fe7d85,56888098184829440,调音师:我来上班了
61,189.93000,顶端弹幕,25,0xfef102,0,967045ce,52382446185873415,这才是人类该有的样子↓
62,168.84900,滚动弹幕,25,0xcd00,0,4fb38de4,1025400827726135296,迈：好好一首慈善歌瞧给你们喊的
63,370.36200,滚动弹幕,25,0xffaa02,0,4fb38de4,1024649762550612480,他们才是真正意义上的明星！！
64,362.15900,滚动弹幕,25,0xffffff,0,7503539a,1024474783527568384,世界上只有一个迈克尔杰克逊 再也不会有人能组织起这么一票人了
65,402.16500,滚动弹幕,25,0xffffff,0,8e8b5a04,1023170960406160384,绝唱了，从此不再有
66,428.42000,滚动弹幕,25,0xffffff,0,9262f514,1022598238932375552,全体起立。泪目
67,184.07500,滚动弹幕,25,0xfef102,0,c1843a50,1022378312825087488,转的真牛逼。无缝衔接。
68,328.21000,滚动弹幕,25,0xffffff,0,d8bc6684,1020369743217292288,黑白这段很有意义
69,364.68900,滚动弹幕,25,0xffffff,0,ca20229f,1019675881360165888,我知道变得是组成美国的人
70,410.61300,滚动弹幕,25,0xffffff,0,6e264d2e,1019008885438113280,艺术真实的力量
71,371.01300,滚动弹幕,25,0xffffff,0,97d15bb9,1016937130871506944,国内后来效仿做了《明天会更好》，就是轻轻敲醒沉睡的心灵
72,15.91900,顶端弹幕,25,0xe70012,0,ec303635,1016671433348164096,全世界的无产者们联合起来
73,208.46700,滚动弹幕,25,0xffffff,0,c0ee5c35,1015902694113658368,压力给到了指挥这边
74,223.98400,滚动弹幕,25,0xffffff,0,4fb38de4,1015805608483686400,音乐史上最伟大的一次合唱
75,372.55500,顶端弹幕,25,0xffff00,0,edb10ef3,1014940799420667392,地球球歌我不知道是用什么语言唱的，但肯定不是单单用英语唱的！
76,117.65500,滚动弹幕,25,0xffffff,0,7eba86d6,1014554201487012352,现实中的神话，迈克尔杰克逊
77,77.08500,滚动弹幕,25,0xffffff,0,f4e15cf8,1013717923287759360,美国建国200多年打老板一直都在打仗
78,81.26200,滚动弹幕,25,0xffffff,0,63cd56d4,1011418762106237440,奇怪，为什么我一肚子话到这时却一个合适的字都找不出来
79,408.66400,滚动弹幕,25,0xffffff,0,cbb28f42,1008193102332271616,世间再没有另一个迈克尔杰克逊了
80,133.70000,滚动弹幕,25,0xe70012,0,2f42d49d,1000906460802466304,释放自己！！！
81,31.90500,顶端弹幕,25,0xfef102,0,89ab1df7,999891380807669248,毛利小五郎
82,101.43400,滚动弹幕,25,0xffffff,0,352abb00,999825684870358016,祖师爷追着喂饭
83,408.00300,滚动弹幕,25,0xffffff,0,85d4268e,998797389554888192,灯塔国建国以来只有20年没打仗，现在看来这首歌虽然纯粹，其实也是多么讽刺和伪善
84,359.78200,滚动弹幕,25,0xffffff,0,7563340b,997168340359127040,疫情时期 这真的是我们现在需要听到的声音
85,315.17900,滚动弹幕,25,0xffffff,0,9a3d3fc7,995010119719010304,他的声音真的干净
86,360.70100,滚动弹幕,25,0xffffff,0,fdb6fad,994991559711350784,泪目
87,1.42700,滚动弹幕,25,0xffffff,0,5608c86b,994342452728168448,全全全全宇宙最善良的人
88,253.07300,滚动弹幕,25,0xffffff,0,cf387d1d,994088041016549376,一屋子神仙
89,149.16500,滚动弹幕,25,0xe70012,0,b700eb9d,993306673825292288,灯塔国最后的荣光！
90,361.80400,滚动弹幕,25,0xffffff,0,33902c57,992685003059339264,。。。。。。。。。。。
91,425.02200,滚动弹幕,25,0xffffff,0,5128b107,989226717367361536,太阳远看光芒万丈，细看却全是黑子
92,164.98000,滚动弹幕,25,0xe70012,0,4e0ed754,987367702650380288,国际著名男高音迈克尔杰克逊
93,250.47100,滚动弹幕,25,0xffffff,0,c12e8a46,985490515776176128,给世界一个和平的机会
94,220.83800,滚动弹幕,25,0xf0ab2a,0,d3965472,980725396174807040,昆西也是一位非常值得敬佩的人物，相信很多人都听过他从黑帮流氓到一位音乐教父的成长过程。
95,205.21200,滚动弹幕,25,0xffffff,0,98d01c0,980510287749136384,这一屋子人，老厉害了
96,241.37900,滚动弹幕,25,0xffffff,0,65915bbb,978022098848268288,听这首歌能让人思想得到升华，心灵得到洗涤
