,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,68.66300,顶端弹幕,25,0x683a7b,0,3742043a,968194040081719296,暂 无 途 径 获 取 
2,25.58400,顶端弹幕,25,0x2e72,0,58d79d17,58380906589422080,夺宝限定
3,23.05700,滚动弹幕,25,0xe70012,0,9e68eeb4,57523581538335232,《卡點的星球》
4,59.07300,顶端弹幕,25,0xa0ea,0,43264edf,57347468211293184,限定:活动剩余3日-首充11415元即可获得
5,39.22000,顶端弹幕,25,0xe70012,0,92e7e84e,57166971391981056,掩  体  计  划
6,56.29400,顶端弹幕,25,0x84c0cb,0,a0b5cb7d,55525557294891520,骑士团限定
7,42.58600,顶端弹幕,25,0xff7204,0,6fcfa46d,55431482875999232,官方限定
8,37.13900,顶端弹幕,25,0xe70012,0,a196ef44,55204708768293888,大佬登场
9,66.41400,底端弹幕,25,0xe70012,0,32a35223,55123378933853696,封 号 人 员 限 定
10,68.57900,顶端弹幕,25,0xe70012,0,c7f932ec,54250357094304256,累计充话费50W限定
11,63.73900,顶端弹幕,25,0xe70012,0,c7f932ec,54250347469833216,万圣节整蛊活动限定
12,37.65900,顶端弹幕,25,0xe70012,0,c7f932ec,54250326345699328,累计充话费5W限定
13,31.99800,顶端弹幕,25,0xfef102,0,de3e1830,53167188473473536,神秘抽奖活动获得
14,11.60300,顶端弹幕,25,0xe70012,0,de3e1830,53167136253935616,火焰之树活动获得
15,4.49900,顶端弹幕,25,0xfef102,0,de3e1830,53167073271149568,新手村通关获得
16,4.57900,顶端弹幕,25,0xe70012,0,5ed5c304,52629937821581317,《热死了》
17,43.41900,滚动弹幕,25,0xe70012,0,99ae77c0,51875145014837251,那么问题来了 :这个人究竟站在哪颗星球上
18,67.37900,底端弹幕,25,0xfef102,0,1b295f56,45073026244935687,官方测试人员限定
19,26.71200,底端弹幕,25,0x222222,0,9a0016ce,45043542681714695,通过《流浪者.海王星》系列自动解锁
20,30.36000,顶端弹幕,25,0xfe0302,0,e952c6a0,45043492920492037,罗 辑 皮 肤 赠 送
21,16.35900,顶端弹幕,25,0xe70012,0,7fb96651,44992203394121735,史诗限定
22,10.04600,顶端弹幕,25,0xfef102,0,a7e66577,44944867994370055,预 言 石 板
23,48.18200,顶端弹幕,25,0xe70012,0,ce4c7308,44902216423178245,璀   璨   之   环
24,44.37100,滚动弹幕,25,0xffffff,0,1e2bb255,44895011760242695,大人：时代变了
25,1.77900,滚动弹幕,25,0xffffff,0,5f856b1,44864230802325511,《星 际 穿 越》
26,59.12600,顶端弹幕,25,0xe70012,0,eec2c5d8,44817162851319811,余烬副本限定
27,73.21500,滚动弹幕,25,0xffffff,0,f359b479,44799155440713733,小人：你觉着你很幽默？
28,16.85000,顶端弹幕,25,0xe70012,0,aa1ced3e,44765652986626053,升 级 经 典 版——新年限定
29,59.04800,顶端弹幕,25,0xe70012,0,6ceee3d8,44638423870341123,限定:活动剩余3日-首充16888元即可获得
30,68.69900,顶端弹幕,25,0xe70012,0,50336a0f,44628163069739011,限  时  出  售
31,65.29900,顶端弹幕,25,0xe70012,0,50336a0f,44628133897306115,成就限定
32,36.25900,顶端弹幕,25,0xe70012,0,50336a0f,44628049432412165,新  春  限  定
33,20.33100,顶端弹幕,25,0xe70012,0,c8af2e4b,44588473638191111,星  球  大  战
34,46.87800,顶端弹幕,25,0xfef102,0,768283cb,44587053578977287,幸运大转盘中奖礼品..春节限定
35,52.71900,顶端弹幕,25,0xe70012,0,4eeed02,44583146524508165,内 测 限 定
36,2.97900,顶端弹幕,25,0xfef102,0,85f87d98,43864195013804039,首   充   获   取
37,10.75900,顶端弹幕,25,0xe70012,0,b0447031,43851521133117447, 带 火 星 的 小 木 条
38,55.60700,顶端弹幕,25,0xa0ea,0,8ec31f99,43845587014516739,天王星之前被陨石砸到翻了个头，就再也没正过来，始终是一个方向朝着太阳……
39,60.71900,顶端弹幕,25,0xe2027f,0,70fac69f,43844134626656261,情   人   节   限   定
